fold,horizon_sessions,mean_weight,median_weight
WF_2019_2020,5,0.42739355577294813,0.4191748340511745
WF_2019_2020,10,0.21918171392960484,0.21826494082364822
WF_2019_2020,20,0.1889595556385014,0.19159818261805237
WF_2019_2020,60,0.07060121900991409,0.07576895196531147
WF_2019_2020,120,0.08327992442053923,0.09567972538346428
WF_2019_2020,252,0.01058403122849226,0.010084783399844546
WF_2021_2022,5,0.21521310830767737,0.20036514904562486
WF_2021_2022,10,0.21014159042477268,0.20534557733453662
WF_2021_2022,20,0.4312061231907139,0.4445381587111543
WF_2021_2022,60,0.06682951809814135,0.07206808292712504
WF_2021_2022,120,0.05930381831122606,0.06884190317936084
WF_2021_2022,252,0.017305841667468628,0.0199004622424499
WF_2023_2024,5,0.2946288279795712,0.2821697292435557
WF_2023_2024,10,0.22204598725266558,0.2188788746811957
WF_2023_2024,20,0.2776000504501163,0.2825539136182635
WF_2023_2024,60,0.11061949892787856,0.11850921586185041
WF_2023_2024,120,0.07787665368559941,0.08835009824465989
WF_2023_2024,252,0.017228981704168915,0.01782706885607114
