fold,group,mean_weight,median_weight
WF_2019_2020,LONG_60_252,0.05507478332546472,0.06080037771827779
WF_2019_2020,SHORT_5_20,0.27825855000786864,0.2760506422243101
WF_2021_2022,LONG_60_252,0.051364000714968945,0.05783124294569619
WF_2021_2022,SHORT_5_20,0.2819693326183644,0.27923479422450276
WF_2023_2024,LONG_60_252,0.0662924531534078,0.07245205271370532
WF_2023_2024,SHORT_5_20,0.2670408801799255,0.2637211271093037
