benchmark,n,alpha_ann,beta,r2
SPY,1510,0.10296900385142073,1.1976835722203336,0.7769320007000481
QQQ,1510,0.08257437424441856,0.9878578987526229,0.7952757901641537
UEW,1510,0.03363142295108592,0.7588391560227495,0.5226888705671223
