horizon_sessions,family,candidates,median_dev_ic,median_dev_excess_uew,median_validation_excess_uew
5,FUNDAMENTAL_CHANGE_FRESHNESS,4,0.0163516275039532,0.00014445913228262517,0.0021468843486762154
5,PRICE_TREND_RISK,32,0.017690398729939216,0.001408337706476199,-9.282120245156128e-05
5,QUALITY_BALANCE_SHEET,2,0.023201653913570246,0.0008151468678950424,0.003980822256061164
5,SIZE_SINGLE_FACTOR,1,-0.030676838648940552,0.0022055307200570845,0.0038313982884695262
5,VALUATION,1,0.013306417585082152,0.0010155315918357309,0.0014015800318767392
10,FUNDAMENTAL_CHANGE_FRESHNESS,5,0.016195983626884933,0.0009865529785149532,0.0017831246653152353
10,PRICE_TREND_RISK,31,0.018414953343661524,0.0025057472864263557,0.00013220643326952602
10,QUALITY_BALANCE_SHEET,2,0.02886848990010866,0.0027957856398856404,0.008378738918771288
10,SIZE_SINGLE_FACTOR,1,-0.04263283488538491,0.005611707983043441,0.007860769352985646
10,VALUATION,1,0.019034535825128658,0.0034170398432841744,0.0031147517943971867
20,FUNDAMENTAL_CHANGE_FRESHNESS,5,0.018293508765569757,0.0013890776901776575,0.004172094460012612
20,PRICE_TREND_RISK,26,0.0016737124374814633,0.001009514205472239,-0.0011022153740326947
20,QUALITY_BALANCE_SHEET,2,0.03584089108763456,0.006002057132347897,0.01769829313533914
20,SIZE_SINGLE_FACTOR,1,-0.05887471610556857,0.011604426883039675,0.017159800390433157
20,VALUATION,1,0.027138621581216545,0.00779416836957376,0.0070404959930213725
60,FUNDAMENTAL_CHANGE_FRESHNESS,5,-0.019370297716364178,0.004154895096771157,0.023970226050484923
60,PRICE_TREND_RISK,17,0.05007298504907928,0.04327283381834661,0.0091591043608631
60,QUALITY_BALANCE_SHEET,1,0.05802113938612061,0.022589086031397,0.03781925309373934
60,SIZE_SINGLE_FACTOR,1,-0.10255437546239435,0.034568588473935145,0.04993641781312479
120,FUNDAMENTAL_CHANGE_FRESHNESS,4,-0.02907159218045692,0.009252546096676474,0.03803433845888526
120,PRICE_TREND_RISK,32,0.048381929661148626,0.06815875964821871,0.0232919106547488
120,QUALITY_BALANCE_SHEET,2,0.06537263599940338,0.045590743277699526,0.09761625013593483
120,SIZE_SINGLE_FACTOR,1,-0.13018814795415018,0.06965666498861581,0.08411590226483516
120,VALUATION,1,0.05458135638691855,0.052825263967352876,0.04154791680085913
252,FUNDAMENTAL_CHANGE_FRESHNESS,1,-0.03182711365099178,0.05943751734346573,0.10863524187437004
252,PRICE_TREND_RISK,34,0.04361775342816496,0.10547924057887136,0.1329107291100542
252,QUALITY_BALANCE_SHEET,2,0.08019522187236082,0.09968524897522807,0.23454070206424138
252,SIZE_SINGLE_FACTOR,1,-0.18793640915601595,0.1903034232250376,0.25469084720650137
252,VALUATION,2,0.024109305955302758,0.10570485292455128,0.11761244545030486
