fold,horizon_sessions,prior_active_skill_20eq,prior_reliability_weight,training_rows
WF_2019_2020,5,0.011501662433749876,0.4024623498967689,148752
WF_2019_2020,10,0.009637647287137998,0.20997200203793975,147532
WF_2019_2020,20,0.009289327694687845,0.18593452161668775,145092
WF_2019_2020,60,0.006739073353411342,0.07634313089495533,135386
WF_2019_2020,120,0.007661940251738993,0.10535769904237555,120944
WF_2019_2020,252,0.0023407751505987694,0.01993029651127284,89533
WF_2021_2022,5,0.010581881515451832,0.1912867299996651,263424
WF_2021_2022,10,0.010640490719616988,0.19857852991479963,261049
WF_2021_2022,20,0.01185530733236996,0.431220802129396,256299
WF_2021_2022,60,0.009055479876207558,0.07220061034363082,237386
WF_2021_2022,120,0.009098426868653786,0.07420727619603729,209486
WF_2021_2022,252,0.007805278525564,0.03250605141647126,148722
WF_2023_2024,5,0.008956406169321286,0.268792252526297,377432
WF_2023_2024,10,0.008362931542066616,0.2095090968410584,373947
WF_2023_2024,20,0.008986792923208652,0.2722434577290504,366977
WF_2023_2024,60,0.007018234422643358,0.11912735383728854,339214
WF_2023_2024,120,0.006546662578195982,0.09772942067989208,298127
WF_2023_2024,252,0.003931602123949651,0.03259841838641354,208586
