window_sessions,observations,avg_pairwise_corr,median_pairwise_corr,min_pairwise_corr,max_pairwise_corr,pc1_variance_share,focus_factor_ann_vol,focus_factor_max_drawdown,portfolio_corr_to_focus_factor,portfolio_beta_to_focus_factor,all_four_negative_day_share,three_plus_negative_day_share,stress_days,stress_focus_factor_mean_return,stress_target_portfolio_mean_return
60,60,0.3189896677295198,0.3537090201323036,-0.14024673914339494,0.8081502120349969,0.5331267309354666,0.26655333832452355,-0.12138050033895664,0.6782886319614778,0.3883433211863059,0.2,0.4,6,-0.028934465164750137,-0.011921357148628499
120,120,0.3007865163743561,0.32322029050109646,-0.15565899447702003,0.7500117976215107,0.50017993843114,0.28646676541082483,-0.12991516876445597,0.6476652005484358,0.3855648559216752,0.175,0.35833333333333334,12,-0.028189080776497306,-0.01410722574802809
252,252,0.5944773106287228,0.6145565388440108,0.2929385614377224,0.7975264441350908,0.701525406892356,0.44720164415490415,-0.19061102570954513,0.7194449708260904,0.31346921416527246,0.21031746031746032,0.38492063492063494,26,-0.03653086580280784,-0.013058766910077244
