fold,rows,all_six_horizon_rows,all_six_horizon_coverage
WF_2019_2020,114672,59189,0.5161591321333892
WF_2021_2022,114008,59864,0.5250859588800786
WF_2023_2024,107087,55599,0.5191946734897793
