sample,group,horizon_sessions,events_total,events_resolved,unique_signal_dates,unique_tickers,mean_active,median_active,hit_rate_active_gt0,std_active,mean_raw_return,target_weighted_mean_active,date_cluster_mean_active,hac_se,hac_t,hac_lag,bootstrap_ci_low,bootstrap_ci_high,bootstrap_block_length
PRE2025_OOF,ALL,20,5216,5178,1399,240,-0.0023709329721071726,-0.0074390932818785005,0.46349942062572425,0.13624369782784093,0.022403320912836363,-0.004233119939659206,-0.00016307258776079395,0.004189889367360772,-0.03892049967503415,20,-0.007707191424504978,0.009107679917316954,20
PRE2025_OOF,WEAK_60_Q25,20,1542,1531,894,205,-0.004918669063474344,-0.012354218346916107,0.4519921619856303,0.19160548271248018,0.02147796201952643,-0.00754637915344735,0.0002148365914085442,0.008512716944641443,0.02523713554739757,20,-0.01528091887156268,0.01828089199897596,20
PRE2025_OOF,NORMAL_60,20,3669,3642,1253,215,-0.0012726653990219321,-0.005791462662469257,0.4684239428885228,0.1046581717884425,0.022805198915249673,-0.003182417355644472,3.7390454086516956e-05,0.003543047460383988,0.010553190298631974,20,-0.006386064975297067,0.007533467817993008,20
PRE2025_OOF,DEEP_DD252_Q25,20,1399,1384,851,151,-0.006746150681550915,-0.014830526708808744,0.45736994219653176,0.2155656429561026,0.015210256649175923,-0.002401684485573816,0.0018459857600831425,0.009888332764164705,0.18668321587770495,20,-0.0159367479145874,0.021902142407240387,20
PRE2025_OOF,NOT_DEEP_DD252,20,3817,3794,1278,206,-0.0007749125952304891,-0.0058344501637385,0.4657353716394307,0.0915563987230923,0.025027253685874325,-0.0045268636080575825,-0.0009432232709911405,0.002899869120586656,-0.3252640832288053,20,-0.006245277823482506,0.005123222361424898,20
PRE2025_OOF,REVERSAL_Q4,20,1490,1476,894,188,-0.0037310144990286074,-0.012081492992309761,0.45528455284552843,0.19808027472918877,0.022266831558790653,-0.002925641520171987,-0.001059184397473245,0.0088325662320485,-0.11991808152313088,20,-0.01638223953946383,0.018446548406695535,20
PRE2025_OOF,REVERSAL_Q1_Q3,20,3726,3702,1264,212,-0.0018286638381968437,-0.00626840129287215,0.46677471636953,0.10162240265688337,0.022457739682844858,-0.004569488319887044,-0.0007872274089037168,0.003333459416310034,-0.2361592899712385,20,-0.006664282836457142,0.006133522659560247,20
PRE2025_OOF,BROKEN_1Y_REVERSAL_Q4,20,941,932,618,153,-0.0031196737818770994,-0.013460256494718534,0.45278969957081544,0.2221113311340565,0.025700956265797045,0.0004375420010119753,-0.001173589643313624,0.013005434003694794,-0.09023840672908044,20,-0.024298432464618682,0.026862114730965475,20
PRE2025_OOF,POSITIVE_1Y_REVERSAL_Q4,20,478,476,387,120,0.003968902493679071,-0.006984498596046551,0.47058823529411764,0.14457162819731786,0.02798908642033467,-0.005563195457330518,0.0004144727970112723,0.008690231932230771,0.047694100714856025,20,-0.015031671611327924,0.017760340439688677,20
PRE2025_OOF,WEAK60_BROKEN_1Y,20,876,870,579,146,-0.006085955970163133,-0.013460256494718534,0.4540229885057471,0.22017003080574832,0.023595503552736343,7.326569912554806e-05,-0.004889743553749911,0.012735157223441788,-0.38395627693934464,20,-0.029062287267244413,0.02222144965459195,20
