horizon_sessions,scheme,fold,expert_weights,economic_score,worst_cut_robust_excess,mean_rank_ic,positive_cut_share,winner_lift
5,ADAPTIVE_T250,WF_2023_2024,"{""HGB_ABS_RETURN_DECAY"": 0.15575833730738983, ""HGB_BENCH_EXCESS_DECAY"": 0.1897269930321217, ""HGB_RANK_DECAY"": 0.04675207349881594, ""HGB_WINNER_DECAY"": 0.48883565288877207, ""RIDGE_RANK_DECAY"": 0.11892694327290043}",-0.0019963731105429538,-0.0022120424961008353,0.0024712024272409653,0.0,1.5329556818952121
10,EQUAL,WF_2017_2018,"{""HGB_ABS_RETURN_DECAY"": 0.2, ""HGB_BENCH_EXCESS_DECAY"": 0.2, ""HGB_RANK_DECAY"": 0.2, ""HGB_WINNER_DECAY"": 0.2, ""RIDGE_RANK_DECAY"": 0.2}",0.0040140397046200356,0.002723179697765545,0.05504038860273526,1.0,1.6085215516079534
10,EQUAL,WF_2019_2020,"{""HGB_ABS_RETURN_DECAY"": 0.2, ""HGB_BENCH_EXCESS_DECAY"": 0.2, ""HGB_RANK_DECAY"": 0.2, ""HGB_WINNER_DECAY"": 0.2, ""RIDGE_RANK_DECAY"": 0.2}",0.009120873729534967,0.003297602654037245,0.061534302569043166,1.0,1.5727656200169793
10,EQUAL,WF_2021_2022,"{""HGB_ABS_RETURN_DECAY"": 0.2, ""HGB_BENCH_EXCESS_DECAY"": 0.2, ""HGB_RANK_DECAY"": 0.2, ""HGB_WINNER_DECAY"": 0.2, ""RIDGE_RANK_DECAY"": 0.2}",-0.006500073070314229,-0.008756721078527678,0.010594511373888022,0.0,1.6039743843340697
10,EQUAL,WF_2023_2024,"{""HGB_ABS_RETURN_DECAY"": 0.2, ""HGB_BENCH_EXCESS_DECAY"": 0.2, ""HGB_RANK_DECAY"": 0.2, ""HGB_WINNER_DECAY"": 0.2, ""RIDGE_RANK_DECAY"": 0.2}",-0.001388377566682019,-0.0027101363529784877,0.05599044836408854,0.3333333333333333,1.298574899757636
10,ADAPTIVE_T075,WF_2017_2018,"{""HGB_ABS_RETURN_DECAY"": 0.2, ""HGB_BENCH_EXCESS_DECAY"": 0.2, ""HGB_RANK_DECAY"": 0.2, ""HGB_WINNER_DECAY"": 0.2, ""RIDGE_RANK_DECAY"": 0.2}",0.0040140397046200356,0.002723179697765545,0.05504038860273526,1.0,1.6085215516079534
10,ADAPTIVE_T075,WF_2019_2020,"{""HGB_ABS_RETURN_DECAY"": 0.5464921146515888, ""HGB_BENCH_EXCESS_DECAY"": 0.3347900720678144, ""HGB_RANK_DECAY"": 0.042014192330747, ""HGB_WINNER_DECAY"": 0.038351810474924856, ""RIDGE_RANK_DECAY"": 0.038351810474924856}",0.005370501272909218,0.00206858362983615,0.04822569104382931,1.0,1.467622727318446
10,ADAPTIVE_T075,WF_2021_2022,"{""HGB_ABS_RETURN_DECAY"": 0.07878550984025197, ""HGB_BENCH_EXCESS_DECAY"": 0.03796488681076846, ""HGB_RANK_DECAY"": 0.03796488681076846, ""HGB_WINNER_DECAY"": 0.8073198297274425, ""RIDGE_RANK_DECAY"": 0.03796488681076846}",-0.007639486206249675,-0.00883914411676797,-0.0533177417002459,0.0,2.0901989915334416
10,ADAPTIVE_T075,WF_2023_2024,"{""HGB_ABS_RETURN_DECAY"": 0.48423802484437034, ""HGB_BENCH_EXCESS_DECAY"": 0.051248261349846, ""HGB_RANK_DECAY"": 0.05761960468073868, ""HGB_WINNER_DECAY"": 0.20988389808955654, ""RIDGE_RANK_DECAY"": 0.19701021103548827}",-0.0008748514253500055,-0.002979919779050485,0.050372914771185696,0.3333333333333333,1.3273088371439725
10,ADAPTIVE_T150,WF_2017_2018,"{""HGB_ABS_RETURN_DECAY"": 0.2, ""HGB_BENCH_EXCESS_DECAY"": 0.2, ""HGB_RANK_DECAY"": 0.2, ""HGB_WINNER_DECAY"": 0.2, ""RIDGE_RANK_DECAY"": 0.2}",0.0040140397046200356,0.002723179697765545,0.05504038860273526,1.0,1.6085215516079534
10,ADAPTIVE_T150,WF_2019_2020,"{""HGB_ABS_RETURN_DECAY"": 0.41316398578489627, ""HGB_BENCH_EXCESS_DECAY"": 0.3233827082971059, ""HGB_RANK_DECAY"": 0.1145588164324019, ""HGB_WINNER_DECAY"": 0.07582376027134052, ""RIDGE_RANK_DECAY"": 0.0730707292142555}",0.006824718142653032,0.002552336555695863,0.05123504313203763,1.0,1.4902402008558877
10,ADAPTIVE_T150,WF_2021_2022,"{""HGB_ABS_RETURN_DECAY"": 0.1759224373277583, ""HGB_BENCH_EXCESS_DECAY"": 0.09785669806481873, ""HGB_RANK_DECAY"": 0.050863852929734686, ""HGB_WINNER_DECAY"": 0.5631458246122761, ""RIDGE_RANK_DECAY"": 0.11221118706541215}",-0.006910699340441436,-0.010302436141788777,-0.03541428397159554,0.0,1.9289646168867771
10,ADAPTIVE_T150,WF_2023_2024,"{""HGB_ABS_RETURN_DECAY"": 0.33710113713213363, ""HGB_BENCH_EXCESS_DECAY"": 0.10966558024250177, ""HGB_RANK_DECAY"": 0.11628291493077444, ""HGB_WINNER_DECAY"": 0.22193220779823197, ""RIDGE_RANK_DECAY"": 0.21501815989635822}",-0.0008784220435580198,-0.002795853543680814,0.05347206541555498,0.3333333333333333,1.3102460036488874
10,ADAPTIVE_T250,WF_2017_2018,"{""HGB_ABS_RETURN_DECAY"": 0.2, ""HGB_BENCH_EXCESS_DECAY"": 0.2, ""HGB_RANK_DECAY"": 0.2, ""HGB_WINNER_DECAY"": 0.2, ""RIDGE_RANK_DECAY"": 0.2}",0.0040140397046200356,0.002723179697765545,0.05504038860273526,1.0,1.6085215516079534
10,ADAPTIVE_T250,WF_2019_2020,"{""HGB_ABS_RETURN_DECAY"": 0.32876387026276616, ""HGB_BENCH_EXCESS_DECAY"": 0.283818490353046, ""HGB_RANK_DECAY"": 0.15227468864914645, ""HGB_WINNER_DECAY"": 0.1188758951671825, ""RIDGE_RANK_DECAY"": 0.11626705556785899}",0.008066099797148398,0.0028023303326100255,0.055030593832138826,1.0,1.519559148034053
