date,nav,net_return,turnover,entry_exit_notional,resize_notional,cost_fraction,holdings,cash_weight,max_name_weight,requested,executed,blocked,deviation
2019-01-02,1.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0
2019-01-03,0.9983554132360445,-0.0016445867639555134,0.8222933819777344,0.8222933819777345,0.0,0.0016445867639554687,43,0.17770661802226562,0.047708256867716584,0.9734228856349436,0.8222933819777344,0.15112950365720923,0.15112950365720923
2019-01-04,1.0300831711125047,0.03178002288144932,0.1620870901451174,0.17036229830735838,0.11466774835607922,0.0005700600933268751,45,0.13299073100744252,0.041876917437289905,0.3835431895761387,0.28503004666343756,0.09851314291270113,0.09851314291270113
2019-01-07,1.0460545986629899,0.015504988333355563,0.08070647679914697,0.04600664813230186,0.06164159536601611,0.00021529648699663594,43,0.18469670954635053,0.04336103071476164,0.2740622492497564,0.10764824349831796,0.16641400575143844,0.16641400575143844
2019-01-08,1.0547805432489537,0.008341767817011458,0.07679426017369702,0.07353384765843542,0.06624093005639185,0.00027954955542965456,42,0.1969312961809545,0.04258806323715134,0.3367060738957817,0.13977477771482727,0.19693129618095448,0.19693129618095448
2019-01-09,1.0664677005292473,0.011080179052501915,0.09801068037147223,0.07936036082080716,0.10774059570245269,0.00037420191304651974,43,0.20362069425767448,0.04621018297299758,0.39072165078093424,0.18710095652325986,0.2036206942576744,0.2036206942576744
2019-01-10,1.0725189691839203,0.005674122762152178,0.11961787512563954,0.12576354581171326,0.08575100850840725,0.00042302910864024096,44,0.2301073886054421,0.0387497257517027,0.43832859634501065,0.21151455432012048,0.22681404202489014,0.22681404202489014
2019-01-11,1.072486869143718,-2.9929578053811134e-05,0.05195604147978693,0.049477869905369995,0.049038675155345574,0.00019703309012143117,44,0.2354644736006325,0.039148999340724695,0.333981018661348,0.09851654506071558,0.23546447360063244,0.23546447360063244
2019-01-14,1.0676469363237424,-0.0045128131254789094,0.0299029913436859,0.014845406447581536,0.04302506465894766,0.0001157409422130584,45,0.2345690098482982,0.040695086551105715,0.28273475454550767,0.0578704711065292,0.2248642834389785,0.2248642834389785
2019-01-15,1.0746741339649772,0.006581948959111683,0.11556047289464634,0.08040785079333686,0.1077475152158644,0.0003763107320184025,44,0.18998191073964787,0.04073739078240145,0.3781372767488492,0.18815536600920127,0.18998191073964796,0.18998191073964796
2019-01-16,1.0722010477284811,-0.0023012429147910574,0.13413530694102901,0.16035618831674314,0.09142095426314954,0.0005035542851597855,43,0.17383075551069294,0.049060593772929255,0.38707623717001743,0.2517771425798927,0.13529909459012476,0.13529909459012476
2019-01-17,1.0801109201580064,0.007377228782123213,0.06652047076455336,0.06425330780917327,0.036834893374183206,0.00020217640236671296,41,0.20447561069495868,0.046603981848904893,0.21873220856641187,0.10108820118335647,0.1176440073830554,0.1176440073830554
2019-01-18,1.090331090659461,0.009462149035544876,0.20177582645806455,0.23355623855677837,0.05313462599945969,0.0005733817291124761,43,0.0855820355845075,0.05490625769604695,0.37227290014074566,0.28669086455623805,0.08558203558450758,0.08558203558450758
2019-01-22,1.0734300264700567,-0.015500855046866602,0.13691376197112604,0.11990645303816368,0.13198428643192497,0.0005037814789401773,43,0.10882250842484609,0.05129072697452316,0.3117206046302611,0.2518907394700886,0.05982986516017245,0.05982986516017245
2019-01-23,1.0737902764614233,0.00033560640422125587,0.055680231672631884,0.04401017069172417,0.053429341554841234,0.00019487902449313082,40,0.12268575013614891,0.051627095222902215,0.19748397015419028,0.09743951224656541,0.10004445790762487,0.10004445790762487
2019-01-24,1.084720497944482,0.010179102682023045,0.1274428350235333,0.16456500561189602,0.060244707370873535,0.0004496194259655392,42,0.09131894005247632,0.07564671112257786,0.3161286530352459,0.2248097129827696,0.09131894005247629,0.09131894005247629
2019-01-25,1.095425669793154,0.009869060157854381,0.1251810759962334,0.09524421892124674,0.14892620628845799,0.0004883408504194095,46,0.09657408315415583,0.06627554324900384,0.3407445083638607,0.24417042520970475,0.09657408315415594,0.09657408315415594
2019-01-28,1.087598500969582,-0.007145321713201924,0.2562501150935932,0.39303883654464156,0.0702497719209911,0.0009265772169312654,47,0.047967353126453616,0.059441027479268854,0.4911701972670283,0.4632886084656327,0.02788158880139563,0.02788158880139563
2019-01-29,1.0849555380312053,-0.002430090641004634,0.1737252459808392,0.20850571265664597,0.10104714138707287,0.0006191057080874379,51,0.010156794974001238,0.05006578910337178,0.3095528540437189,0.3095528540437189,0.0,0.0
