horizon_sessions,fold,expert,weight
120,WF_2023_2024,HGB_NEWINFO_RANK,0.41483752849983707
120,WF_2023_2024,HGB_NEWINFO_RETURN,0.140382721606518
120,WF_2023_2024,HGB_NEWINFO_WINNER,0.03935652501752568
120,WF_2023_2024,HGB_NEWINFO_AVOID,0.029161991470628958
252,WF_2019_2020,BASE_OOF,0.4
252,WF_2019_2020,RIDGE_NEWINFO,0.12
252,WF_2019_2020,HGB_NEWINFO_RANK,0.12
252,WF_2019_2020,HGB_NEWINFO_RETURN,0.12
252,WF_2019_2020,HGB_NEWINFO_WINNER,0.12
252,WF_2019_2020,HGB_NEWINFO_AVOID,0.12
252,WF_2021_2022,BASE_OOF,0.5357422915749812
252,WF_2021_2022,RIDGE_NEWINFO,0.19251851631472525
252,WF_2021_2022,HGB_NEWINFO_RANK,0.02912879877739657
252,WF_2021_2022,HGB_NEWINFO_RETURN,0.09921924055810964
252,WF_2021_2022,HGB_NEWINFO_WINNER,0.11426235399739089
252,WF_2021_2022,HGB_NEWINFO_AVOID,0.02912879877739657
252,WF_2023_2024,BASE_OOF,0.7363944903761029
252,WF_2023_2024,RIDGE_NEWINFO,0.0625708645319557
252,WF_2023_2024,HGB_NEWINFO_RANK,0.028644998101326404
252,WF_2023_2024,HGB_NEWINFO_RETURN,0.06741592715770639
252,WF_2023_2024,HGB_NEWINFO_WINNER,0.07632872173158207
252,WF_2023_2024,HGB_NEWINFO_AVOID,0.028644998101326404
