sample,cohorts,median_current_positions,median_candidate_positions,median_surviving_fraction,p25_surviving_fraction,p75_surviving_fraction,share_with_fewer_names,share_25pct_plus_reduction,median_current_effective_n,median_candidate_effective_n,median_alpha_uplift_bps_daily,median_candidate_risk_ratio
FINAL_HOLDOUT,28,5.0,4.0,0.7083333333333333,0.6,1.0,0.7142857142857143,0.5357142857142857,4.6463273937736576,2.5447576843655897,0.012094712156938752,1.000000000000565
PRE2025_OOF,121,6.0,5.0,0.7777777777777778,0.5714285714285714,0.8571428571428571,0.7603305785123967,0.49586776859504134,4.237551044538721,2.959412984104351,0.010919156935848617,1.000000000000373
