feature,abs_train_ic,train_ic,selected,horizon_sessions,fold
corr_qqq_120,0.049179910023828606,0.049179910023828606,True,5,WF_2017_2018
corr_spy_120,0.04564127565024761,0.04564127565024761,False,5,WF_2017_2018
corr_qqq_60,0.04488611998557418,0.04488611998557418,True,5,WF_2017_2018
corr_spy_60,0.04362707119481166,0.04362707119481166,True,5,WF_2017_2018
fund_update_count_60d,0.036135569727151554,0.036135569727151554,True,5,WF_2017_2018
mom_skip_252_20,0.03334439299970035,0.03334439299970035,True,5,WF_2017_2018
size_log_market_cap,0.0331734386596991,-0.0331734386596991,True,5,WF_2017_2018
dist_high_252,0.03243733044933978,0.03243733044933978,True,5,WF_2017_2018
mom_skip_120_20,0.030048439093239215,0.030048439093239215,True,5,WF_2017_2018
downside_vol_120,0.029597615787917222,-0.029597615787917222,True,5,WF_2017_2018
mom_252d,0.029374450639368065,0.029374450639368065,True,5,WF_2017_2018
rel_mom_qqq_252,0.029374450639368065,0.029374450639368065,False,5,WF_2017_2018
rel_mom_spy_252,0.029374450639368065,0.029374450639368065,False,5,WF_2017_2018
vol_120,0.028161339360548734,-0.028161339360548734,False,5,WF_2017_2018
cash_yield,0.027750954821884413,0.027750954821884413,True,5,WF_2017_2018
downside_vol_60,0.026647499254959683,-0.026647499254959683,True,5,WF_2017_2018
vol_60,0.026518763095244233,-0.026518763095244233,True,5,WF_2017_2018
worst_day_60,0.025406449612137075,0.025406449612137075,False,5,WF_2017_2018
best_day_20,0.025398378358946257,-0.025398378358946257,True,5,WF_2017_2018
mom_120d,0.02539278112692542,0.02539278112692542,True,5,WF_2017_2018
mom_120d_x_breadth,0.02539278112692542,0.02539278112692542,False,5,WF_2017_2018
rel_mom_qqq_120,0.02539278112692542,0.02539278112692542,False,5,WF_2017_2018
rel_mom_spy_120,0.02539278112692542,0.02539278112692542,False,5,WF_2017_2018
cash_assets,0.025298660578875382,0.025298660578875382,True,5,WF_2017_2018
chg_cash_252d,0.02516884804506889,0.02516884804506889,True,5,WF_2017_2018
trend_sma_252,0.023813696220270554,0.023813696220270554,True,5,WF_2017_2018
best_day_60,0.023760422835912964,-0.023760422835912964,True,5,WF_2017_2018
ix_rel_mom_spy_20__regime_breadth_rel_mom_spy_20_z252,0.023402964871485913,-0.023402964871485913,True,5,WF_2017_2018
dist_high_120,0.0232869547231151,0.0232869547231151,True,5,WF_2017_2018
dist_low_20,0.02315046329549534,-0.02315046329549534,True,5,WF_2017_2018
vol_20,0.02297293930479619,-0.02297293930479619,True,5,WF_2017_2018
ix_rel_mom_qqq_20__regime_breadth_rel_mom_qqq_20_z252,0.022483045803839766,-0.022483045803839766,True,5,WF_2017_2018
downside_vol_20,0.022361364150522155,-0.022361364150522155,True,5,WF_2017_2018
worst_day_20,0.020785005205903737,0.020785005205903737,False,5,WF_2017_2018
mom_accel_60_120,0.01649959746968861,-0.01649959746968861,True,5,WF_2017_2018
mom_10d,0.01637311545848623,-0.01637311545848623,True,5,WF_2017_2018
rel_mom_qqq_10,0.01637311545848623,-0.01637311545848623,False,5,WF_2017_2018
rel_mom_spy_10,0.01637311545848623,-0.01637311545848623,False,5,WF_2017_2018
dist_low_60,0.01613855496176209,-0.01613855496176209,True,5,WF_2017_2018
vol_10,0.015369840774690027,-0.015369840774690027,True,5,WF_2017_2018
skew_20,0.015127990097084293,-0.015127990097084293,True,5,WF_2017_2018
skew_120,0.01474226751716472,-0.01474226751716472,True,5,WF_2017_2018
trend_sma_20,0.014725949124029912,-0.014725949124029912,True,5,WF_2017_2018
ix_mom_60d__regime_median_vol_60_z252,0.013791372651832794,-0.013791372651832794,True,5,WF_2017_2018
netinc_assets,0.013292124019964964,-0.013292124019964964,True,5,WF_2017_2018
dist_high_60,0.013104330681585123,0.013104330681585123,True,5,WF_2017_2018
skew_60,0.012974489834378733,-0.012974489834378733,True,5,WF_2017_2018
chg_assets_252d,0.012561845986124873,0.012561845986124873,True,5,WF_2017_2018
current_ratio,0.012226924274068926,0.012226924274068926,True,5,WF_2017_2018
mom_accel_20_60,0.011935514786274703,-0.011935514786274703,True,5,WF_2017_2018
trend_sma_120,0.011815449554585286,0.011815449554585286,True,5,WF_2017_2018
downside_vol_10,0.011557794795450872,-0.011557794795450872,False,5,WF_2017_2018
mom_1d,0.01136845349616581,-0.01136845349616581,False,5,WF_2017_2018
ocf_assets,0.011147262077033463,-0.011147262077033463,False,5,WF_2017_2018
dist_low_120,0.010513000276018817,-0.010513000276018817,False,5,WF_2017_2018
mom_5d,0.010015515723667935,-0.010015515723667935,False,5,WF_2017_2018
rel_mom_qqq_5,0.010015515723667935,-0.010015515723667935,False,5,WF_2017_2018
rel_mom_spy_5,0.010015515723667935,-0.010015515723667935,False,5,WF_2017_2018
chg_eps_diluted_252d,0.009437433054008727,0.009437433054008727,False,5,WF_2017_2018
ix_mom_20d__regime_median_vol_20_z252,0.009396576438009724,-0.009396576438009724,False,5,WF_2017_2018
mom_20d,0.009314332327034018,-0.009314332327034018,False,5,WF_2017_2018
mom_20d_x_breadth,0.009314332327034018,-0.009314332327034018,False,5,WF_2017_2018
rel_mom_qqq_20,0.009314332327034018,-0.009314332327034018,False,5,WF_2017_2018
rel_mom_spy_20,0.009314332327034018,-0.009314332327034018,False,5,WF_2017_2018
mom_skip_60_5,0.008305505389541099,0.008305505389541099,False,5,WF_2017_2018
fund_update_count_20d,0.007146284066047419,0.007146284066047419,False,5,WF_2017_2018
age_assets,0.0068280564558276325,0.0068280564558276325,False,5,WF_2017_2018
age_eps_diluted,0.006209370732879711,0.006209370732879711,False,5,WF_2017_2018
chg_net_income_252d,0.005316538019445598,0.005316538019445598,False,5,WF_2017_2018
mom_60d,0.0052167008910076335,0.0052167008910076335,False,5,WF_2017_2018
mom_60d_x_breadth,0.0052167008910076335,0.0052167008910076335,False,5,WF_2017_2018
rel_mom_qqq_60,0.0052167008910076335,0.0052167008910076335,False,5,WF_2017_2018
rel_mom_spy_60,0.0052167008910076335,0.0052167008910076335,False,5,WF_2017_2018
earnings_yield,0.004894179287003235,-0.004894179287003235,False,5,WF_2017_2018
age_cash,0.0043631191388764845,0.0043631191388764845,False,5,WF_2017_2018
ix_mom_60d__regime_breadth_mom60_z252,0.0033541954826586022,-0.0033541954826586022,False,5,WF_2017_2018
chg_operating_cash_flow_252d,0.0027070413723209613,0.0027070413723209613,False,5,WF_2017_2018
trend_sma_60,0.0024034449770867308,-0.0024034449770867308,False,5,WF_2017_2018
mom_skip_20_5,0.0023344962262127986,-0.0023344962262127986,False,5,WF_2017_2018
dist_high_20,0.001505089838985971,-0.001505089838985971,False,5,WF_2017_2018
equity_assets,0.0010695258972283994,-0.0010695258972283994,False,5,WF_2017_2018
dist_low_252,0.0007211677104579666,0.0007211677104579666,False,5,WF_2017_2018
ix_mom_20d__regime_breadth_mom20_z252,0.0004052852205006752,0.0004052852205006752,False,5,WF_2017_2018
fundamental_freshness_mean_days,0.0003502433653791834,-0.0003502433653791834,False,5,WF_2017_2018
regime_dispersion_mom60_z252,5.2702309272950855e-05,5.2702309272950855e-05,False,5,WF_2017_2018
regime_dispersion_mom20_z252,4.6045219059584366e-05,4.6045219059584366e-05,False,5,WF_2017_2018
regime_median_vol_60_z252,3.855071760396505e-05,3.855071760396505e-05,False,5,WF_2017_2018
regime_median_vol_20_z252,3.640971100992803e-05,3.640971100992803e-05,False,5,WF_2017_2018
regime_breadth_mom20_z252,3.3135561020108394e-05,-3.3135561020108394e-05,False,5,WF_2017_2018
regime_breadth_mom60_z252,2.3838291096096674e-05,-2.3838291096096674e-05,False,5,WF_2017_2018
regime_breadth_rel_mom_qqq_20_z252,2.3351379392926524e-06,-2.3351379392926524e-06,False,5,WF_2017_2018
regime_breadth_rel_mom_spy_20_z252,5.923745230704733e-07,5.923745230704733e-07,False,5,WF_2017_2018
corr_qqq_120,0.05461888226681561,0.05461888226681561,True,5,WF_2019_2020
corr_qqq_60,0.04642832097400232,0.04642832097400232,True,5,WF_2019_2020
corr_spy_120,0.04564754951304174,0.04564754951304174,True,5,WF_2019_2020
fund_update_count_60d,0.04194723219580411,0.04194723219580411,True,5,WF_2019_2020
corr_spy_60,0.04094239910299817,0.04094239910299817,True,5,WF_2019_2020
mom_skip_252_20,0.034610631102460564,0.034610631102460564,True,5,WF_2019_2020
cash_assets,0.03382140859875605,0.03382140859875605,True,5,WF_2019_2020
size_log_market_cap,0.033132448302085345,-0.033132448302085345,True,5,WF_2019_2020
mom_252d,0.03290512194589806,0.03290512194589806,False,5,WF_2019_2020
rel_mom_qqq_252,0.03290512194589806,0.03290512194589806,False,5,WF_2019_2020
rel_mom_spy_252,0.03290512194589806,0.03290512194589806,False,5,WF_2019_2020
dist_high_252,0.032852244053373406,0.032852244053373406,True,5,WF_2019_2020
mom_skip_120_20,0.031815497185980604,0.031815497185980604,True,5,WF_2019_2020
vol_60,0.02942852356554344,-0.02942852356554344,True,5,WF_2019_2020
vol_120,0.029321824142916515,-0.029321824142916515,True,5,WF_2019_2020
downside_vol_120,0.029233947071910748,-0.029233947071910748,False,5,WF_2019_2020
downside_vol_60,0.028973006659775653,-0.028973006659775653,True,5,WF_2019_2020
mom_120d,0.028839867312205784,0.028839867312205784,True,5,WF_2019_2020
mom_120d_x_breadth,0.028839867312205784,0.028839867312205784,False,5,WF_2019_2020
rel_mom_qqq_120,0.028839867312205784,0.028839867312205784,False,5,WF_2019_2020
rel_mom_spy_120,0.028839867312205784,0.028839867312205784,False,5,WF_2019_2020
trend_sma_252,0.028671390928690702,0.028671390928690702,True,5,WF_2019_2020
chg_assets_252d,0.028547308908256807,0.028547308908256807,True,5,WF_2019_2020
vol_20,0.026993674990078355,-0.026993674990078355,True,5,WF_2019_2020
best_day_20,0.026878504174693396,-0.026878504174693396,True,5,WF_2019_2020
downside_vol_20,0.02630218191345367,-0.02630218191345367,True,5,WF_2019_2020
dist_high_120,0.026105734646489253,0.026105734646489253,True,5,WF_2019_2020
best_day_60,0.02584856707374741,-0.02584856707374741,True,5,WF_2019_2020
worst_day_60,0.025036060132390674,0.025036060132390674,False,5,WF_2019_2020
worst_day_20,0.02445336909008655,0.02445336909008655,False,5,WF_2019_2020
vol_10,0.020690747494734256,-0.020690747494734256,True,5,WF_2019_2020
current_ratio,0.020278934968906235,0.020278934968906235,True,5,WF_2019_2020
ix_rel_mom_qqq_20__regime_breadth_rel_mom_qqq_20_z252,0.02027516833447782,-0.02027516833447782,True,5,WF_2019_2020
dist_low_20,0.0198490935173832,-0.0198490935173832,True,5,WF_2019_2020
chg_cash_252d,0.0190541586815633,0.0190541586815633,True,5,WF_2019_2020
dist_high_60,0.018711119197991403,0.018711119197991403,True,5,WF_2019_2020
cash_yield,0.018503655542486473,0.018503655542486473,True,5,WF_2019_2020
trend_sma_120,0.01659747936993098,0.01659747936993098,True,5,WF_2019_2020
downside_vol_10,0.016317560094892315,-0.016317560094892315,True,5,WF_2019_2020
skew_120,0.01597271784957428,-0.01597271784957428,True,5,WF_2019_2020
mom_skip_60_5,0.015037212351548047,0.015037212351548047,True,5,WF_2019_2020
dist_low_60,0.015009255830509886,-0.015009255830509886,True,5,WF_2019_2020
mom_accel_60_120,0.01484388506518201,-0.01484388506518201,True,5,WF_2019_2020
skew_60,0.014719543927953172,-0.014719543927953172,True,5,WF_2019_2020
mom_10d,0.014428438940038629,-0.014428438940038629,True,5,WF_2019_2020
rel_mom_qqq_10,0.014428438940038629,-0.014428438940038629,False,5,WF_2019_2020
rel_mom_spy_10,0.014428438940038629,-0.014428438940038629,False,5,WF_2019_2020
skew_20,0.013355065902149845,-0.013355065902149845,True,5,WF_2019_2020
fund_update_count_20d,0.01145882867360034,0.01145882867360034,True,5,WF_2019_2020
chg_operating_cash_flow_252d,0.01136910345336518,0.01136910345336518,True,5,WF_2019_2020
ix_mom_60d__regime_median_vol_60_z252,0.011186682333510596,-0.011186682333510596,True,5,WF_2019_2020
mom_5d,0.010547087588398379,-0.010547087588398379,False,5,WF_2019_2020
rel_mom_qqq_5,0.010547087588398379,-0.010547087588398379,False,5,WF_2019_2020
rel_mom_spy_5,0.010547087588398379,-0.010547087588398379,False,5,WF_2019_2020
trend_sma_20,0.010393733381364982,-0.010393733381364982,False,5,WF_2019_2020
mom_60d,0.010338953009626062,0.010338953009626062,False,5,WF_2019_2020
mom_60d_x_breadth,0.010338953009626062,0.010338953009626062,False,5,WF_2019_2020
rel_mom_qqq_60,0.010338953009626062,0.010338953009626062,False,5,WF_2019_2020
rel_mom_spy_60,0.010338953009626062,0.010338953009626062,False,5,WF_2019_2020
chg_eps_diluted_252d,0.010189901399842577,0.010189901399842577,False,5,WF_2019_2020
mom_accel_20_60,0.009450086775794725,-0.009450086775794725,False,5,WF_2019_2020
equity_assets,0.009389592703553096,0.009389592703553096,False,5,WF_2019_2020
age_assets,0.008683769236224582,0.008683769236224582,False,5,WF_2019_2020
dist_low_252,0.008278739418160274,0.008278739418160274,False,5,WF_2019_2020
ix_mom_20d__regime_median_vol_20_z252,0.007524551574685662,-0.007524551574685662,False,5,WF_2019_2020
age_eps_diluted,0.007197851565353467,0.007197851565353467,False,5,WF_2019_2020
ix_mom_20d__regime_breadth_mom20_z252,0.007040240593954546,0.007040240593954546,False,5,WF_2019_2020
ix_rel_mom_spy_20__regime_breadth_rel_mom_spy_20_z252,0.006625994027575296,-0.006625994027575296,False,5,WF_2019_2020
dist_high_20,0.006020720851926836,0.006020720851926836,False,5,WF_2019_2020
chg_net_income_252d,0.005340377878657083,0.005340377878657083,False,5,WF_2019_2020
mom_1d,0.004947061449224188,-0.004947061449224188,False,5,WF_2019_2020
dist_low_120,0.004847859269798489,-0.004847859269798489,False,5,WF_2019_2020
mom_20d,0.004416651443905823,-0.004416651443905823,False,5,WF_2019_2020
mom_20d_x_breadth,0.004416651443905823,-0.004416651443905823,False,5,WF_2019_2020
rel_mom_qqq_20,0.004416651443905823,-0.004416651443905823,False,5,WF_2019_2020
rel_mom_spy_20,0.004416651443905823,-0.004416651443905823,False,5,WF_2019_2020
earnings_yield,0.0034855308385088705,-0.0034855308385088705,False,5,WF_2019_2020
fundamental_freshness_mean_days,0.003341769091622443,-0.003341769091622443,False,5,WF_2019_2020
mom_skip_20_5,0.002753358500773286,0.002753358500773286,False,5,WF_2019_2020
netinc_assets,0.0027078920519518416,0.0027078920519518416,False,5,WF_2019_2020
trend_sma_60,0.001729075271502251,0.001729075271502251,False,5,WF_2019_2020
ix_mom_60d__regime_breadth_mom60_z252,0.0014261116802519896,0.0014261116802519896,False,5,WF_2019_2020
