program_name,current_ratio,ratio_a,ratio_b,caja_code,market_id,origin_ticker,issuer
CHINA PETROLEUM & CHEM-ADR,3:1,3,1,8373,SNPTY,SNPTY,BANCO_COMAFI
CIA BRASILEIRA DE DIS- ADR,1:1,1,1,8511,CBD,CBD,BANCO_COMAFI
CIA SANEAMENTO BASICO DE-ADR,1:2,1,2,8512,SBS,SBS,BANCO_COMAFI
CIA SIDERURGICA NACL-SP ADR,1:8,1,8,8522,SID,SID,BANCO_COMAFI
CISCO SYSTEMS INC,5:1,5,1,8014,CSCO,CSCO,BANCO_COMAFI
CITIGROUP INC,3:1,3,1,8046,C,C,BANCO_COMAFI
COCA-COLA CO/THE,5:1,5,1,8006,KO,KO,BANCO_COMAFI
COCA-COLA FEMSA SAB-SP ADR,2:1,2,1,8401,KOFM,KOF,BANCO_COMAFI
COEUR MINING INC,1:1,1,1,8418,CDE,CDE,BANCO_COMAFI
COINBASE GLOBAL INC,27:1,27,1,8562,COIN,COIN,BANCO_COMAFI
COLGATE-PALMOLIVE CO,3:1,3,1,8090,CL,CL,BANCO_COMAFI
COMMUNICATION SERVICES SELECT SECTOR SPDR FUND/THE,19:1,19,1,8667,XLC,XLC,BANCO_COMAFI
COMPANHIA PARANAENSE DE ENERGIA-COPEL - PREF.,1:3,1,3,8520,ELP,ELP,BANCO_COMAFI
CONSUMER DISCRETIONARY SELECT SECTOR SPDR FUND/THE,43:1,43,1,8668,XLY,XLY,BANCO_COMAFI
CONSUMER STAPLES SELECT SECTOR SPDR FUND/THE,16:1,16,1,8673,XLP,XLP,BANCO_COMAFI
CORNING INC,4:1,4,1,8105,GLW,GLW,BANCO_COMAFI
CORP AMERICA AIRPORTS SA,1:4,1,4,8532,CAAP,CAAP,BANCO_COMAFI
COSTCO WHOLESALE CORP,48:1,48,1,8091,COST,COST,BANCO_COMAFI
CREDIT SUISSE GROUP-SPON ADR,1:1,1,1,8247,CS,CS,BANCO_COMAFI
CVS HEALTH CORP.,15:1,15,1,8631,CVS,CVS,BANCO_COMAFI
DANAHER CORP.,54:1,54,1,8648,DHR,DHR,BANCO_COMAFI
