focus_basket_shock,direct_total_nav_impact,direct_risky_book_impact
-0.05,-0.01018998625256841,-0.010248905662217554
-0.1,-0.02037997250513682,-0.02049781132443511
-0.2,-0.04075994501027364,-0.04099562264887022
-0.3,-0.06113991751541046,-0.06149343397330531
