decile,rows,median_conviction,mean_excess_uew_20d,mean_excess_spy_20d,mean_excess_qqq_20d
1.0,32653,-0.14198475473519073,0.011908243672780745,0.014721601038902786,0.010449626823459152
2.0,33385,-0.10814243552823763,-0.006459246425393227,-0.0036778424839911993,-0.007906508109145212
3.0,33128,-0.09290960875721861,-0.006638660046194807,-0.0037884645160136503,-0.008021830091042964
4.0,33280,-0.08055641146777102,-0.005798599069144982,-0.0029916990990514485,-0.007181572070776105
5.0,33482,-0.06865210117895507,-0.0035296857200566804,-0.0007085099281969748,-0.004990475414109449
6.0,33091,-0.05634813019057375,-0.003414033727330403,-0.000603353646932434,-0.004875529738503419
7.0,33147,-0.03746280901670627,-0.0036367831993672933,-0.0008018756676246386,-0.00501776462551999
8.0,33261,-0.008900958608096227,0.0006662090166208286,0.003488319854355123,-0.0007189449897929926
9.0,33252,0.03798122984309946,0.004767136383230164,0.0075763574686887126,0.0033216028468876974
10.0,33923,0.12222461741961288,0.012049682326743274,0.014852066269657346,0.010582344306694722
