date,nav,net_return,turnover,cost_fraction,holdings,cash_weight,max_name_weight,requested,executed,blocked,deviation,blocked_names
2019-01-02,1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0
2019-01-03,0.9956785994098338,-0.004321400590166169,0.8642801180332295,0.004321400590166147,104,0.13571988196677054,0.053580201212715485,1.0,0.8642801180332295,0.13571988196677048,0.13571988196677048,15
2019-01-04,1.0268557074518658,0.031312421559036796,0.2024040302067482,0.0018037806309457905,107,0.08730988227317538,0.05733004797871685,0.44806600846233346,0.3607561261891581,0.08730988227317535,0.08730988227317535,14
2019-01-07,1.043137896227671,0.015856355140888567,0.16466132352067694,0.0013605933690439595,107,0.14303410914209225,0.05639540166203464,0.4151527829508843,0.2721186738087919,0.14303410914209239,0.14303410914209239,15
2019-01-08,1.0506763124767553,0.007226672788272603,0.12496787364064181,0.0011608457804538584,104,0.1596096067299403,0.05470574789424816,0.39177876282071217,0.23216915609077168,0.15960960672994046,0.15960960672994046,14
2019-01-09,1.060333485244381,0.00919138715981993,0.15743995975923164,0.0015591039373218409,102,0.15485022071212717,0.050177904624868576,0.46667100817649526,0.31182078746436814,0.15485022071212712,0.15485022071212712,14
2019-01-10,1.0651006123921556,0.004495875320466469,0.17979408946527092,0.001635028341363425,109,0.1864876087382995,0.053402630188550834,0.5134932770109845,0.32700566827268496,0.18648760873829956,0.18648760873829956,14
2019-01-11,1.0645803575276604,-0.0004884560748928957,0.10359827584168306,0.0010324381096996186,113,0.18709504299678803,0.05302385332745684,0.3935826649367116,0.2064876219399237,0.18709504299678795,0.18709504299678795,14
2019-01-14,1.0578133338037705,-0.0063565175480087,0.10380281602377017,0.0009797598006549627,112,0.17645377114091598,0.05254077011886544,0.37240573127190857,0.19595196013099253,0.17645377114091604,0.17645377114091604,13
2019-01-15,1.065013310113664,0.006806471500981459,0.17509605751090707,0.0015450260057674873,110,0.1338031666116296,0.05562702283438117,0.442808367765127,0.30900520115349744,0.13380316661162955,0.13380316661162955,11
2019-01-16,1.0609506091152898,-0.0038146950463376905,0.17474500481694413,0.0016371988711585059,109,0.11204540278282837,0.04818448578954719,0.43948517701452966,0.3274397742317012,0.11204540278282851,0.11204540278282851,11
2019-01-17,1.0687067607595757,0.007310568067587564,0.08739274595417765,0.0008046515957628431,111,0.09728755603088224,0.04946691192723453,0.25821787518345085,0.1609303191525686,0.09728755603088222,0.09728755603088222,10
2019-01-18,1.077689429648566,0.008405176442044748,0.16687239209904026,0.0016064051306742847,112,0.08385791408886878,0.04966442242916568,0.40513894022372554,0.32128102613485693,0.08385791408886858,0.08385791408886858,9
2019-01-22,1.0604376929881265,-0.016008078195649755,0.18092562722228245,0.001693074279342877,111,0.061841471024703276,0.05515241776619942,0.4004563268932788,0.3386148558685754,0.06184147102470339,0.06184147102470339,8
2019-01-23,1.0587068348346813,-0.0016322110812262425,0.16877659700609673,0.001521051605296147,113,0.09519122948177328,0.05311086566095341,0.3994015505410027,0.3042103210592294,0.09519122948177329,0.09519122948177329,10
2019-01-24,1.0687126823147002,0.009451008674730366,0.16782447297857778,0.0016669625364925708,110,0.09188636614492118,0.054351056487276346,0.4252788734434355,0.33339250729851416,0.09188636614492138,0.09188636614492138,9
2019-01-25,1.0801989525188167,0.010747762606539535,0.160614722537295,0.001554949819369542,107,0.10100741643695799,0.04988864700957106,0.4119973803108664,0.31098996387390837,0.10100741643695807,0.10100741643695807,9
2019-01-28,1.0678626974581955,-0.011420354585472858,0.28228244409814446,0.0024887989928147982,106,0.03511490209218748,0.043302488619075805,0.5328747006551472,0.49775979856295965,0.03511490209218752,0.03511490209218752,6
2019-01-29,1.063607702627639,-0.0039845898172907734,0.2371964397458454,0.0022461132027007764,112,0.010005953794879563,0.04260753909094472,0.4592285943350349,0.44922264054015526,0.010005953794879587,0.010005953794879587,3
2019-01-30,1.0833421234400564,0.018554228935784955,0.11673532470839373,0.0011401355542969504,115,0.0043689440451695205,0.03708512976493863,0.2323960549045597,0.22802711085939006,0.004368944045169641,0.004368944045169641,2
2019-01-31,1.0966149284548952,0.012251720603914329,0.15602005266818972,0.0015597455669603669,114,0.004218340917544028,0.037350947592004545,0.31616745430961746,0.3119491133920734,0.004218340917544062,0.004218340917544062,2
2019-02-01,1.100748008158901,0.0037689434976315717,0.1614655331877522,0.0015924707039307235,109,0.008632735153399684,0.04925293365868809,0.3271268759395444,0.3184941407861447,0.008632735153399722,0.008632735153399722,4
