sample,benchmark,n,alpha_ann,beta,r2
PRE2025_OOF,SPY,1510,0.013375955083727832,1.0719704057936683,0.5490761304001124
PRE2025_OOF,QQQ,1510,-0.006306728146669491,0.8902174098419463,0.5697562836198802
PRE2025_OOF,UEW,1510,-0.05130821668773284,0.6862438884763724,0.37711075290219764
FINAL_HOLDOUT_POSTHOC,SPY,420,-0.07220097087341934,1.0218001409753281,0.5450452827515776
FINAL_HOLDOUT_POSTHOC,QQQ,420,-0.04815071422320428,0.7209260797225674,0.4641257106636315
FINAL_HOLDOUT_POSTHOC,UEW,420,0.0636107451702641,0.06802225778488935,0.039769185348332736
