role,horizon_sessions,mean_return_weight,median_return_weight,mean_alpha_weight,median_alpha_weight
POLICY_SELECTION_2021_2022,5,0.03990887035144428,0.03270091415201956,0.11070381478611015,0.1203413380420691
POLICY_SELECTION_2021_2022,10,0.042420032358774014,0.03699796988825188,0.15924884166035455,0.1709417301258046
POLICY_SELECTION_2021_2022,20,0.04008780233475862,0.03704477811374142,0.18490114576068184,0.20333193526196242
POLICY_SELECTION_2021_2022,60,0.06853136922923023,0.05751532989155347,0.18556504958077452,0.16913684117303068
POLICY_SELECTION_2021_2022,120,0.15347595762225197,0.1236518994590829,0.2129876902790007,0.18861199041169166
POLICY_SELECTION_2021_2022,252,0.6555759681035409,0.7169938455761025,0.14659345793307832,0.13667009615931358
VALIDATION_2023_2024,5,0.11524195779306379,0.11147456592365627,0.13230627308941034,0.1376086872387441
VALIDATION_2023_2024,10,0.12234301345732172,0.11854707025852868,0.15140331779645935,0.15896522709076188
VALIDATION_2023_2024,20,0.13463418081542167,0.1256802059454863,0.18331681803242242,0.19523463724202939
VALIDATION_2023_2024,60,0.15047522476654335,0.14202795631065107,0.1680661353711544,0.16340490487984805
VALIDATION_2023_2024,120,0.2072108446250045,0.20356684977222628,0.18397620966460032,0.17635437510410265
VALIDATION_2023_2024,252,0.270094778542645,0.25016906605501404,0.1809312460459532,0.16817968568522756
