horizon_sessions,fold,expert,economic_score,worst_cut_robust_excess,positive_cut_share,winner_lift,mean_rank_ic
5,WF_2019_2020,BASE_OOF,0.004604131502990982,0.0034191322784841854,1.0,1.4249769479970786,0.04564252054689353
5,WF_2019_2020,RIDGE_NEWINFO,0.002371587352572309,0.0013938091334470815,1.0,1.1638555177358338,0.06090738895850356
5,WF_2019_2020,HGB_NEWINFO_RANK,0.002421749012067228,0.0014396137237178395,1.0,1.1646844746572982,0.065771193190143
5,WF_2019_2020,HGB_NEWINFO_RETURN,0.013258147956149775,0.006518003613424838,1.0,1.6398086093202764,0.051906759618787206
5,WF_2019_2020,HGB_NEWINFO_WINNER,0.020776538025832635,0.011538363701033418,1.0,2.4396209954520724,0.007988069221794252
5,WF_2019_2020,HGB_NEWINFO_AVOID,-0.0037619036990846374,-0.004433229331833358,0.0,0.2760426548476016,0.0231405691339799
5,WF_2019_2020,META_BLEND,0.0033059244516143982,0.0015913340892353871,1.0,1.2890280128769385,0.06057688978890786
5,WF_2021_2022,BASE_OOF,-0.002485258589939268,-0.003689209160995578,0.0,2.2634330476435793,-0.044141154018530776
5,WF_2021_2022,RIDGE_NEWINFO,-0.00186993472787511,-0.003102466553587045,0.0,1.3328921750936953,0.00549928151342765
5,WF_2021_2022,HGB_NEWINFO_RANK,0.00018523846710004802,-0.00023926627841798105,0.6666666666666666,1.2699730413625645,0.01377694840295595
5,WF_2021_2022,HGB_NEWINFO_RETURN,-0.0008294047842598599,-0.0012630978934424996,0.0,1.8420404283127154,-0.005736744770526403
5,WF_2021_2022,HGB_NEWINFO_WINNER,0.0010697883824221804,0.0006602714270668341,1.0,1.6797752939534831,-0.019742710629303876
5,WF_2021_2022,HGB_NEWINFO_AVOID,-0.0010145181824154053,-0.001624389110106595,0.0,0.39821188585097356,0.038270434931468394
5,WF_2021_2022,META_BLEND,-1.4763277130856641e-05,-0.00013677898924195536,0.3333333333333333,1.5555927931683562,-0.020801205970105627
