alpha_tilt,edge_z,edge_power,qualified,positive_absolute_folds,cagr_20bps,excess_vs_spy_20bps,excess_vs_qqq_20bps,excess_vs_uew_20bps,cagr_40bps,excess_vs_spy_40bps,max_drawdown_20bps,annual_turnover_20bps,median_holdings_20bps,max_holdings_20bps,median_max_name_weight_20bps,p95_max_name_weight_20bps,execution_blocked_rate_20bps,target_deviation_rate_20bps,return_first_rank
1.0,0.0,2.0,True,2,0.27421967926719826,0.10305430790118986,0.04492120462346327,-0.13066098582413588,0.20859808839752536,0.03743271703151696,-0.3803779964295638,26.792056052092033,109.0,122,0.060087384196028736,0.08700413273951729,0.02132362220960086,0.02132362220960098,1
0.5,0.0,2.0,True,2,0.2624746412706289,0.09130926990462052,0.03317616662689393,-0.14240602382070522,0.20053943260157303,0.02937406123556463,-0.3767091199563579,25.50707101494721,109.0,122,0.05097890608453254,0.07273124141876108,0.025141938951328744,0.02514193895132887,2
1.0,0.0,1.5,True,3,0.25709524293064434,0.08592987156463594,0.027796768286909357,-0.1477854221606898,0.19774633641920913,0.026580965053200734,-0.37469568011587673,24.54330336697167,109.0,122,0.04276472968334824,0.05708513417790728,0.02790198341320013,0.027901983413200254,3
0.5,0.0,1.5,True,3,0.2453230162646023,0.07415764489859389,0.016024541620867305,-0.15955764882673185,0.18884293460956103,0.01767756324355263,-0.3711813475780765,23.567047367800303,109.0,122,0.036421899496465224,0.048092066621867026,0.03161127268661513,0.03161127268661527,4
0.0,0.0,2.0,True,3,0.2446327636178971,0.0734673922518887,0.015334288974162114,-0.16024790147343704,0.18758321504724984,0.01641784368124144,-0.3711715560440627,23.817077843893614,109.0,122,0.03909022119139963,0.05417429616320681,0.031118465930341795,0.031118465930341916,5
1.0,0.0,1.0,True,3,0.23489894224707064,0.06373357088106224,0.005600467603335657,-0.1699817228442635,0.1811968584164061,0.010031487050397692,-0.3678587587947577,22.59444164552762,109.0,122,0.028498941013610567,0.03530782446091681,0.03566493557722536,0.035664935577225484,6
0.0,0.0,1.5,True,3,0.229641954553935,0.05847658318792659,0.00034347991020000634,-0.17523871053739914,0.17659585236092834,0.0054304809949199395,-0.36649731073240643,22.41139981139491,109.0,122,0.028755496000471642,0.037308400818363036,0.036727586683823886,0.036727586683824004,7
0.5,0.0,1.0,True,3,0.22520905903846478,0.054043687672456375,-0.004089415605270208,-0.17967160605286936,0.17342321978208863,0.0022578484160802326,-0.3650689344855723,21.957448242394374,109.0,122,0.02501328123774552,0.030974478593924215,0.038676170561609526,0.03867617056160966,8
0.0,0.0,1.0,True,3,0.21361219048083946,0.04244681911483106,-0.015686284162895525,-0.19126847461049468,0.1637718972662061,-0.0073934740998022885,-0.36179999456020084,21.336078561477212,109.0,122,0.021089178042479586,0.025614460395849564,0.04222113668059571,0.04222113668059587,9
0.0,1.0,1.0,False,0,0.0,-0.1711653713660084,-0.22929847464373498,-0.40488066509133414,0.0,-0.1711653713660084,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,10
