horizon_sessions,bin,score_center,raw_mean_return,hac_se_return,raw_mean_robust_excess,hac_se_robust_excess,dates,expected_return,expected_robust_excess
5,0,0.025,0.019489226100495697,0.008050773529761527,0.004232592381781648,0.007010824740549031,499,0.006105756306457818,-0.009150877412256233
5,1,0.075,0.006686117059835351,0.003968002190665207,-0.008570516658878697,0.0024294781398455467,499,0.006105756306457818,-0.009150877412256233
5,2,0.125,0.005208951983951681,0.0031356743665051316,-0.010047681734762367,0.001889592301234214,499,0.006105756306457818,-0.009150877412256233
5,3,0.175,0.007185402985993043,0.0027815276726226297,-0.008071230732721006,0.0017378879740198086,499,0.006105756306457818,-0.009150877412256233
5,4,0.225,0.0041898698039026724,0.0028299451234001733,-0.011066763914811375,0.0015157413898298237,499,0.006105756306457818,-0.009150877412256233
5,5,0.275,0.003956615702868281,0.002949361756791881,-0.011300018015845766,0.0013958668898223308,499,0.006105756306457818,-0.009150877412256233
5,6,0.325,0.0033874183959740926,0.0029468133943006654,-0.011869215322739959,0.001327875924746278,499,0.006105756306457818,-0.009150877412256233
5,7,0.375,0.003962646755924303,0.0030723009864900342,-0.011293986962789746,0.0013151715100886924,499,0.006105756306457818,-0.009150877412256233
5,8,0.425,0.00386293142871215,0.0030412150229609356,-0.011393702290001898,0.0011879831663640383,499,0.006105756306457818,-0.009150877412256233
5,9,0.475,0.0058371857872123135,0.0030754448375688525,-0.009419447931501734,0.0012370138320349643,499,0.006105756306457818,-0.009150877412256233
5,10,0.525,0.0055941268316955645,0.0032544273909598026,-0.009662506887018484,0.0014611929341664393,499,0.006105756306457818,-0.009150877412256233
5,11,0.575,0.005224723094321507,0.003051613080526588,-0.010031910624392541,0.0012247606049869597,499,0.006105756306457818,-0.009150877412256233
5,12,0.625,0.0047896160530649535,0.003098469906351898,-0.010467017665649093,0.0011303089641685363,499,0.006105756306457818,-0.009150877412256233
5,13,0.675,0.006346279931575954,0.003178190403371748,-0.008910353787138095,0.0011990889235627238,499,0.006286306576795284,-0.008970327141918767
5,14,0.725,0.006226333222014612,0.0033730079442945687,-0.009030300496699435,0.0012694843043449086,499,0.006286306576795284,-0.008970327141918767
5,15,0.775,0.008419537305016225,0.003555253448690388,-0.006837096413697822,0.0013106411431007769,499,0.0072934250044302176,-0.00796320871428383
5,16,0.825,0.008114821717537237,0.0036973083859501476,-0.0071418120011768095,0.0015352517547289088,499,0.0072934250044302176,-0.00796320871428383
5,17,0.875,0.0063395589012495345,0.003034378576724356,-0.008917074817464513,0.0015628679847638541,499,0.0072934250044302176,-0.00796320871428383
5,18,0.925,0.00629978209391787,0.0031561031842733804,-0.008956851624796178,0.0016887193695536507,499,0.0072934250044302176,-0.00796320871428383
5,19,0.975,0.03111759627637245,0.010480690314273629,0.0158609625576584,0.009596908309861773,499,0.03111759627637245,0.0158609625576584
10,0,0.025,0.04607277402335641,0.013784602855383727,0.02224359194903693,0.012615899048134547,494,0.012044513729492907,-0.011784668344826575
10,1,0.075,0.0159205026147262,0.007370091766942648,-0.00790867945959328,0.003712885678956755,494,0.012044513729492907,-0.011784668344826575
10,2,0.125,0.012376280721522703,0.0061875847565390826,-0.011452901352796783,0.002961335768076267,494,0.012044513729492907,-0.011784668344826575
10,3,0.175,0.009137373078607963,0.00517785586543183,-0.014691808995711519,0.0022340436027943693,494,0.012044513729492907,-0.011784668344826575
10,4,0.225,0.007491097056801383,0.005388800538526269,-0.016338085017518104,0.0022838664788044313,494,0.012044513729492907,-0.011784668344826575
10,5,0.275,0.008364925148951938,0.005616129818531897,-0.015464256925367544,0.0020029700254355783,494,0.012044513729492907,-0.011784668344826575
10,6,0.325,0.007905246991852414,0.005878705378431894,-0.01592393508246707,0.002181683078696959,494,0.012044513729492907,-0.011784668344826575
10,7,0.375,0.007955306037115516,0.006001618668394797,-0.015873876037203968,0.0021268940764207133,494,0.012044513729492907,-0.011784668344826575
10,8,0.425,0.00814616313159286,0.006282865156611883,-0.015683018942726622,0.0020228786277335935,494,0.012044513729492907,-0.011784668344826575
10,9,0.475,0.01124873186732475,0.006643713855128846,-0.012580450206994734,0.00225587779941226,494,0.012044513729492907,-0.011784668344826575
10,10,0.525,0.013129144859560966,0.006440086742228688,-0.010700037214758517,0.0020831554955587812,494,0.012044513729492907,-0.011784668344826575
10,11,0.575,0.011431937179823812,0.006270219540816836,-0.012397244894495674,0.002060889590545827,494,0.012044513729492907,-0.011784668344826575
10,12,0.625,0.010208690575465865,0.006169415621800896,-0.013620491498853617,0.002132920924601838,494,0.012044513729492907,-0.011784668344826575
10,13,0.675,0.005827226530804959,0.006106503727857724,-0.01800195554351453,0.002278083484496917,494,0.012044513729492907,-0.011784668344826575
10,14,0.725,0.008500775106154242,0.0062837580466325,-0.015328406968165242,0.0024043236322554063,494,0.012044513729492907,-0.011784668344826575
10,15,0.775,0.008996044748224514,0.006396487988311166,-0.014833137326094968,0.0026535783001324746,494,0.012044513729492907,-0.011784668344826575
10,16,0.825,0.012253724071429262,0.0070360767580449875,-0.011575458002890223,0.002817227860066449,494,0.012253724071429262,-0.011575458002890223
10,17,0.875,0.014982494535716876,0.007271221629803214,-0.00884668753860261,0.0027247757771842046,494,0.014982494535716876,-0.00884668753860261
10,18,0.925,0.016054647539898822,0.007833890837296319,-0.00777453453442066,0.0032495090948780167,494,0.016054647539898822,-0.00777453453442066
10,19,0.975,0.02731061219043525,0.00911059523736998,0.0034814301161157665,0.005900692736945603,494,0.02731061219043525,0.0034814301161157665
20,0,0.025,0.05488913461295076,0.02222429585340467,0.013433861766419223,0.017790140667871355,487,0.021214699628315268,-0.0200758992065409
20,1,0.075,0.022484787494592186,0.01682896839607463,-0.01878302241430305,0.00877348636492516,484,0.021214699628315268,-0.0200758992065409
20,2,0.125,0.02474009799081687,0.011210105235378237,-0.01652771191807837,0.005573994304880272,484,0.021214699628315268,-0.0200758992065409
20,3,0.175,0.014681167190243921,0.010662825733840715,-0.026667326709884743,0.0041978804126430735,485,0.021214699628315268,-0.0200758992065409
20,4,0.225,0.017884815623966786,0.011652803842892613,-0.023382994284928457,0.004082865507700767,484,0.021214699628315268,-0.0200758992065409
20,5,0.275,0.016037365974100038,0.010318833277397941,-0.025230443934795194,0.0038681291848244007,484,0.021214699628315268,-0.0200758992065409
20,6,0.325,0.013291947344028103,0.010748536723313079,-0.027975862564867136,0.003822979806087147,484,0.021214699628315268,-0.0200758992065409
20,7,0.375,0.018881885255790497,0.011925387104854,-0.022385924653104742,0.0032001661658084216,484,0.021214699628315268,-0.0200758992065409
20,8,0.425,0.020749253610054624,0.012244679494592294,-0.020518556298840612,0.0036236827745752954,484,0.021214699628315268,-0.0200758992065409
20,9,0.475,0.022188371819499456,0.012842130210430501,-0.019079438089395787,0.0036953330528923254,484,0.021214699628315268,-0.0200758992065409
20,10,0.525,0.019557304426483176,0.012080089596073899,-0.02171050548241206,0.0035614006260022758,484,0.021214699628315268,-0.0200758992065409
20,11,0.575,0.01831114538684468,0.011943875072110735,-0.023006366626306243,0.0034017951820235334,485,0.021214699628315268,-0.0200758992065409
20,12,0.625,0.017839311627114,0.011803341874717162,-0.02342849828178124,0.004124807427390108,484,0.021214699628315268,-0.0200758992065409
20,13,0.675,0.015279978716221358,0.01275225581212247,-0.02598783119267388,0.004838880406107862,484,0.021214699628315268,-0.0200758992065409
