lifecycle_id,sample,ticker,entry_signal_date,entry_execution_date,exit_date,exit_reason,status,entry_weight,entry_notional_nav_units,held_sessions,exposure_nav_days,gross_pnl_nav_units,benchmark_pnl_nav_units,gross_active_pnl_nav_units,allocated_cost_nav_units,entry_trade_nav_units,resize_trade_nav_units,exit_trade_nav_units,terminal_exit_weight,ret_20d,ret_60d,ret_120d,ret_252d,dd_60d,dd_252d,range_position_252d,reversal_signature_score,reversal_signature_pctile,ret_60d_pctile,expected_active_total,effective_horizon_sessions,model_target_weight,entry_anatomy_class,net_pnl_nav_units,net_active_pnl_nav_units,net_daily_return_on_exposure,net_daily_active_on_exposure
PRE2025_OOF_000001,PRE2025_OOF,ISRG,2019-01-02,2019-01-03,2019-01-10,POLICY_EXIT,CLOSED,0.022815836360281602,0.022797075049038256,5,0.11237183409298401,0.0032239309891313995,0.0015144451844415453,0.0017094858046898542,4.88205978095275e-05,0.022815836360281602,0.005026128594474615,0.020978632854771275,0.0,-0.1221390955892852,-0.1594581935640794,-0.0757407224825675,0.2770044690096982,-0.1594581935640794,-0.1891463799562689,0.4818398957398523,0.5335807570656055,0.5432098765432098,0.359504132231405,0.0113312949175102,25.698034299074177,0.0243095383526232,MIXED_OTHER,0.003175110391321872,0.0016606652068803266,0.02825539350629956,0.014778304726308734
PRE2025_OOF_000002,PRE2025_OOF,ADSK,2019-01-02,2019-01-03,2019-01-08,POLICY_EXIT,CLOSED,0.002604245291549441,0.0026021038378811535,3,0.01095748741823208,0.000316270688670358,0.00017915475695127168,0.00013711593171908626,8.25819620339946e-06,0.002604245291549441,0.0013686023453555914,0.004285348566494428,0.0,-0.1075432061324069,-0.1521367420189313,-0.0246558347960859,0.230182242309799,-0.1521367420189313,-0.1796437072684737,0.4609660132969033,0.5037283610515934,0.5061728395061729,0.3760330578512397,0.0029759489334075,46.02224874367317,0.0027747394307564,MIXED_OTHER,0.0003080124924669585,0.0001288577355156868,0.02810977377482167,0.01175978858997195
PRE2025_OOF_000003,PRE2025_OOF,CMG,2019-01-02,2019-01-03,2020-04-16,POLICY_EXIT,CLOSED,0.02687791154502883,0.02685581001624397,323,16.63059886794232,0.010861661560740409,0.007397753138614323,0.0034639084221260875,0.001500448854990605,0.02687791154502883,1.4618941153171896,0.011676828128385079,0.0,-0.063079829337824,-0.0098488693474561,-0.0302288542892187,0.533958376107428,-0.0965848855366356,-0.1569339958343281,0.6994099105913034,0.2635870489405842,0.2181069958847736,0.7933884297520661,0.0088561067321385,33.91172725244999,0.0286375485528872,MIXED_OTHER,0.009361212705749803,0.0019634595671354825,0.0005628908964784653,0.00011806307053201256
PRE2025_OOF_000004,PRE2025_OOF,MCO,2019-01-02,2019-01-03,2019-01-07,POLICY_EXIT,CLOSED,0.01791867329721545,0.01790393889074933,2,0.036735968928282764,0.0010031172268440674,0.0008748292385826446,0.00012828798826142277,3.682036019001809e-05,0.01791867329721545,0.0,0.018901686892802638,0.0,-0.1145404858762543,-0.1335285510120172,-0.2044446201279276,-0.0354850114978224,-0.1335285510120172,-0.2426866435918538,0.2030500116654521,0.6127223412576948,0.6255144032921811,0.4338842975206611,0.0052366226462233,27.467829712960537,0.0190917689305083,MIXED_OTHER,0.0009662968666540493,9.146762807140468e-05,0.02630383503809271,0.0024898656749729664
PRE2025_OOF_000005,PRE2025_OOF,TSLA,2019-01-02,2019-01-03,2019-06-18,POLICY_EXIT,CLOSED,0.014710796045048938,0.014698699454817471,114,1.4748528881679288,-0.0028847894196705787,0.004215737805897739,-0.00710052722556832,0.00010041631870308979,0.014710796045048938,0.07972211423500541,0.005983408423035437,0.0,-0.1151563358661973,0.1003796390358302,-0.0277150386690179,-0.0039504814669388,-0.1769420335138858,-0.1829701710259635,0.4616696967506175,0.3745408631772268,0.3209876543209876,0.9462809917355371,0.0150019668538152,30.022145898777545,0.0156738790990488,MIXED_OTHER,-0.0029852057383736685,-0.00720094354427141,-0.0020240701715558283,-0.00488248258659646
PRE2025_OOF_000006,PRE2025_OOF,RCL,2019-01-02,2019-01-03,2019-01-29,POLICY_EXIT,CLOSED,0.03210084787748866,0.03207445156272313,17,0.3482886623185569,0.005356413802823609,0.003235593616578328,0.0021208201862452816,7.723298124362488e-05,0.03210084787748866,0.036251765611349074,0.008880367754787148,0.0,-0.1293595830513717,-0.2156536092359232,-0.094002253345972,-0.1613457026535077,-0.2156536092359232,-0.2588924899956756,0.1956623293529634,0.7179114376084073,0.8065843621399177,0.1900826446280991,0.0120935981920443,28.961030739482517,0.0342024188947989,DEEP_REVERSAL_BROKEN_1Y,0.005279180821579984,0.0020435872050016566,0.015157486857127329,0.005867509988403013
PRE2025_OOF_000007,PRE2025_OOF,NOW,2019-01-02,2019-01-03,2019-01-08,POLICY_EXIT,CLOSED,0.002443476213596328,0.002441466959276868,3,0.010247809591852593,0.00034279291835801357,0.00016845848164491492,0.00017433443671309857,8.138601259565013e-06,0.002443476213596328,0.0019022240015704865,0.0037929010443981987,0.0,-0.0375128017918184,-0.0486555043758918,-0.0473340987319361,0.367589641658637,-0.0747197319735655,-0.1283605155528439,0.6460440451212988,0.2358815426997245,0.1934156378600823,0.7231404958677686,0.0023779708138464,35.45084233005289,0.0026034451593257,MIXED_OTHER,0.00033465431709844856,0.00016619583545353356,0.03265618024016681,0.01621769354357108
PRE2025_OOF_000008,PRE2025_OOF,MELI,2019-01-02,2019-01-03,2019-01-23,POLICY_EXIT,CLOSED,0.0036436646445999845,0.003640668483276584,13,0.05905612276314632,0.0004386968113042306,0.0005326294043279799,-9.393259302374938e-05,8.981662910284755e-06,0.0036436646445999845,0.0010330739617620131,0.0043049243039227575,0.0,-0.1533084958034319,-0.122105646417358,-0.0172470011778714,-0.0529142366449713,-0.1934994942230427,-0.2800647243369316,0.2588544768963302,0.649712614359079,0.691358024691358,0.4793388429752066,0.0042193273161704,34.80606945879979,0.003882207253914,MIXED_OTHER,0.00042971514839394584,-0.00010291425593403414,0.007276386059365676,-0.001742651754277666
PRE2025_OOF_000009,PRE2025_OOF,BHP,2019-01-02,2019-01-03,2019-01-04,POLICY_EXIT,CLOSED,0.010884582301226214,0.010875631981234325,1,0.010875631981234325,0.0006634632305298004,0.0003960802351547646,0.00026738299537503585,2.242367751299034e-05,0.010884582301226214,0.0,0.011539095211764125,0.0,0.0788998607899382,-0.0429913702130915,0.004350253849684,0.0956870483342227,-0.0429913702130915,-0.0588780520702038,0.6491481543588378,0.1309262660272761,0.0987654320987654,0.7396694214876033,0.0026306744561346,28.13546722590556,0.0115971716629491,MIXED_OTHER,0.0006410395530168101,0.0002449593178620455,0.05894274044238629,0.022523685822094536
PRE2025_OOF_000010,PRE2025_OOF,FTNT,2019-01-02,2019-01-03,2022-12-23,POLICY_EXIT,CLOSED,0.04133515269247848,0.041301163069976415,1002,84.18537626395734,0.13745024079185675,0.06538277151460838,0.07206746927724851,0.005176405399134908,0.04133515269247848,5.020110728173083,0.11495951826934751,0.0,-0.0563380145259686,-0.219621456764503,0.061224482385493,0.5948729691173449,-0.219621456764503,-0.2449886373359202,0.5347736431505827,0.4998129442573886,0.4938271604938271,0.1818181818181818,0.0292503482545475,29.848978572830863,0.0440412730798943,SHORT_PULLBACK_POSITIVE_1Y,0.13227383539272183,0.06689106387811361,0.001571221051242754,0.0007945686869460721
