horizon_sessions,economic_score,worst_fold,worst_cut,positive_cut_share,winner_lift,mean_ic
5,0.0011129931566480186,-1.4763277130856641e-05,-0.00013677898924195536,0.6666666666666666,1.4983390285803175,0.01486588814827385
10,0.001832436620877489,-0.0031919486331404303,-0.0041341802013413155,0.5555555555555555,1.488512345265076,0.03888678940058456
20,0.004358709154613256,-0.008779708476765987,-0.014057181240651632,0.6666666666666666,1.6033002167305945,0.07028564500670968
60,0.012789940834978865,-0.007353274412365642,-0.009905238195333973,0.6666666666666666,1.630799529223518,0.09031395076783637
120,0.01132028412361436,-0.03336780216027712,-0.035843106608422846,0.5555555555555555,1.8339452399814113,0.1092610727635821
252,-0.03411276340862098,-0.13140819762459352,-0.18277364662209997,0.3333333333333333,2.0919208651156094,0.11260663117622956
