asof,seal_id,signal_date,ticker,expected_active_per_session,uncertainty_per_session,positive_active_horizon_share,effective_horizon_sessions,horizon_weight_5d,horizon_weight_10d,horizon_weight_20d,horizon_weight_60d,horizon_weight_120d,horizon_weight_252d,score_5d,score_10d,score_20d,score_60d,score_120d,score_252d,expected_active_total,model_target_weight,entry_ok,resize_band,model_intent
2026-09-04,46bbbf853561e26625ee3ecbccb6037051556f2f3ca26dcb4e311c165c08d8e9,2026-09-04,VIST,0.0007306334783463141,0.0034649610711245107,1.0000000000000002,36.44973391845818,0.27175445453122776,0.1776428730469547,0.31578373560986434,0.10028946287345497,0.09787831061949756,0.03665116331900079,0.9781420765027322,0.994535519125683,0.994535519125683,0.9890710382513661,0.9453551912568307,0.9453551912568307,0.026631395877640726,0.09090505104585839,True,0.006826908470252643,ELIGIBLE_ENTRY
2026-09-04,46bbbf853561e26625ee3ecbccb6037051556f2f3ca26dcb4e311c165c08d8e9,2026-09-04,FDX,0.00033903334720549193,0.0028427113311252925,0.8712792082918015,42.15091904102138,0.1287207917081986,0.22043662844223139,0.37366472881704255,0.11275944347551259,0.12401023553925229,0.04040817201776266,0.48633879781420764,0.9562841530054644,0.9234972677595629,0.8852459016393442,0.9234972677595629,0.8360655737704918,0.014290567170265183,0.09078713943406075,True,0.012705883307831801,ELIGIBLE_ENTRY
2026-09-04,46bbbf853561e26625ee3ecbccb6037051556f2f3ca26dcb4e311c165c08d8e9,2026-09-04,CEPU,0.0003926090114326203,0.003544369850468445,1.0,36.02568551196511,0.28397590025365127,0.1772979317128343,0.3076215613309583,0.101639864080627,0.09123569332283651,0.038229049299092634,0.9508196721311475,0.9344262295081968,0.9180327868852459,0.9398907103825137,0.8469945355191257,0.9180327868852459,0.014144008775035093,0.055046434578448156,True,0.00778371046765864,ELIGIBLE_ENTRY
2026-09-04,46bbbf853561e26625ee3ecbccb6037051556f2f3ca26dcb4e311c165c08d8e9,2026-09-04,OXY,0.0002701322848145415,0.0031261620733976673,0.7595442437471464,38.00791513456268,0.2079819538425082,0.198468177053628,0.3444859046748814,0.10134353580545427,0.11524662621318273,0.032473802410345434,0.7158469945355191,0.9453551912568307,0.9289617486338798,0.8743169398907104,0.9344262295081968,0.7650273224043715,0.010267164956336608,0.05227966747857826,True,0.010183856537010778,ELIGIBLE_ENTRY
2026-09-04,46bbbf853561e26625ee3ecbccb6037051556f2f3ca26dcb4e311c165c08d8e9,2026-09-04,NUE,0.000336824057913202,0.002873014475363788,0.8487437485236945,42.0202002586729,0.15125625147630548,0.21064803762334183,0.3601898428996803,0.11158703227030142,0.12616611191823654,0.040152723812134444,0.5792349726775956,0.9672131147540983,0.9398907103825137,0.9180327868852459,0.9781420765027322,0.8688524590163934,0.014153414365451587,0.05203834473978072,True,0.007353468696119864,ELIGIBLE_ENTRY
2026-09-04,46bbbf853561e26625ee3ecbccb6037051556f2f3ca26dcb4e311c165c08d8e9,2026-09-04,DOW,0.00031589355214948253,0.0033337258978027194,1.0,39.68885151723732,0.25936679596511153,0.17606096382439143,0.30256098198765624,0.10845822084903246,0.11077780613429479,0.042775231239513496,0.8688524590163934,0.907103825136612,0.8852459016393442,0.9617486338797814,0.9508196721311475,0.9726775956284153,0.012537452286513475,0.05052168656472909,True,0.008059322645490778,ELIGIBLE_ENTRY
2026-09-04,46bbbf853561e26625ee3ecbccb6037051556f2f3ca26dcb4e311c165c08d8e9,2026-09-04,MPC,0.0002568092760896375,0.003255550928796974,0.7321950042487947,37.19496149005721,0.23261298942889214,0.16989851262472183,0.35851919646840297,0.10265222541009719,0.10112506974557263,0.0351920063223132,0.7868852459016393,0.8633879781420765,0.9781420765027322,0.9016393442622951,0.8688524590163934,0.825136612021858,0.009552011134443537,0.046885799650623436,True,0.009816948282557632,ELIGIBLE_ENTRY
2026-09-04,46bbbf853561e26625ee3ecbccb6037051556f2f3ca26dcb4e311c165c08d8e9,2026-09-04,EOG,0.00023178126485033637,0.0032326781119280034,0.7363038879775229,37.17730482725436,0.23047085476797832,0.17948573973706358,0.3462715878392527,0.10556151128366109,0.10498504911754548,0.03322525725449866,0.7759562841530054,0.8907103825136612,0.9453551912568307,0.912568306010929,0.8852459016393442,0.7868852459016393,0.008617002736587533,0.04579751091834462,True,0.010629568614128386,ELIGIBLE_ENTRY
2026-09-04,46bbbf853561e26625ee3ecbccb6037051556f2f3ca26dcb4e311c165c08d8e9,2026-09-04,MPWR,0.0008129659646506404,0.003473450754502413,1.0,36.193190824222626,0.27248253195354455,0.1780895959091954,0.31657784466586575,0.09685727837090212,0.10123700123888278,0.03475574786160941,0.9836065573770492,1.0,1.0,0.9672131147540983,0.9726775956284153,0.912568306010929,0.029423832292198856,0.04573762787982145,True,0.003108883127501231,ELIGIBLE_ENTRY
2026-09-04,46bbbf853561e26625ee3ecbccb6037051556f2f3ca26dcb4e311c165c08d8e9,2026-09-04,STLD,0.00035838558899087736,0.0032639252650391143,0.9999999999999999,38.756836440780845,0.24095431263308073,0.18647076923552733,0.32145073637734295,0.10043835017281293,0.11167263720550723,0.03901319437572881,0.8469945355191257,0.9726775956284153,0.9508196721311475,0.9344262295081968,0.9836065573770492,0.9344262295081968,0.013889891655252342,0.043743937457983995,True,0.006298672234990775,ELIGIBLE_ENTRY
2026-09-04,46bbbf853561e26625ee3ecbccb6037051556f2f3ca26dcb4e311c165c08d8e9,2026-09-04,ZTS,0.0001704024326754933,0.003285659691173756,0.7575991013336547,38.11669293241993,0.24240089866634537,0.19320937089699,0.3179616619503859,0.1044465567286466,0.10176343087523902,0.04021808088239328,0.7814207650273224,0.912568306010929,0.8633879781420765,0.8797814207650273,0.8415300546448088,0.8743169398907104,0.006495177201229139,0.03498701680996995,True,0.010773229344181418,ELIGIBLE_ENTRY
2026-09-04,46bbbf853561e26625ee3ecbccb6037051556f2f3ca26dcb4e311c165c08d8e9,2026-09-04,MCHP,0.0005512958957235186,0.003360699211411831,1.0,37.86684592222303,0.25618815655167365,0.18119628038903487,0.3197188692296299,0.09695641512336958,0.10768765295762177,0.03825262574867033,0.9180327868852459,0.9890710382513661,0.9836065573770492,0.9453551912568307,0.994535519125683,0.9562841530054644,0.020875836740916413,0.03248676310766167,True,0.00311237949509233,ELIGIBLE_ENTRY
2026-09-04,46bbbf853561e26625ee3ecbccb6037051556f2f3ca26dcb4e311c165c08d8e9,2026-09-04,ADSK,0.0003311215072134046,0.0033991461991303936,0.9999999999999999,38.97328416550965,0.26720735152517183,0.1651422139316119,0.3162895512244862,0.1003848772841759,0.10915918116424414,0.041816824870309875,0.907103825136612,0.8852459016393442,0.9344262295081968,0.9289617486338798,0.9617486338797814,0.9781420765027322,0.01290489259393987,0.0319130785015492,True,0.00494588827752593,ELIGIBLE_ENTRY
2026-09-04,46bbbf853561e26625ee3ecbccb6037051556f2f3ca26dcb4e311c165c08d8e9,2026-09-04,MDB,0.0005948804862225235,0.003460639028728418,0.9999999999999999,37.69605050590304,0.2750252765838888,0.17452251154118023,0.30561510127283487,0.10073500791043398,0.10526085886977082,0.03884124382189109,0.9890710382513661,0.9836065573770492,0.9726775956284153,0.994535519125683,1.0,0.9890710382513661,0.022424644853620404,0.028784464070876665,True,0.002567216940002462,ELIGIBLE_ENTRY
2026-09-04,46bbbf853561e26625ee3ecbccb6037051556f2f3ca26dcb4e311c165c08d8e9,2026-09-04,YPF,0.00018159487676076602,0.003502162212302796,0.9052203074883628,37.46337190982921,0.2802289331926385,0.19455984977826934,0.28010903778576945,0.1080228217052773,0.09477969251163693,0.0422996650264082,0.8852459016393442,0.9398907103825137,0.8087431693989071,0.9234972677595629,0.819672131147541,0.9289617486338798,0.006803156405008179,0.02849966788637589,True,0.008378366214069607,ELIGIBLE_ENTRY
2026-09-04,46bbbf853561e26625ee3ecbccb6037051556f2f3ca26dcb4e311c165c08d8e9,2026-09-04,UPS,9.864785801299944e-05,0.0031096961951235687,0.6776908424442677,35.70794487988686,0.19346933926509102,0.2122159251176302,0.3556411508193793,0.10983376650725817,0.10266700214908751,0.026172816141553683,0.36065573770491804,0.9180327868852459,0.8797814207650273,0.8579234972677595,0.7978142076502732,0.6229508196721312,0.0035225122764470894,0.02334411955763404,True,0.013254244542295597,ELIGIBLE_ENTRY
2026-09-04,46bbbf853561e26625ee3ecbccb6037051556f2f3ca26dcb4e311c165c08d8e9,2026-09-04,LAR,0.00042307067196348003,0.0035496536902056086,1.0,35.76985686134067,0.28009249926567725,0.18318621446953753,0.31830632747625176,0.09167378775787272,0.0853620961697501,0.0413790748609107,0.9617486338797814,0.9781420765027322,0.9617486338797814,0.8907103825136612,0.825136612021858,0.994535519125683,0.015133177378364894,0.02038010561980324,True,0.002693433785946314,ELIGIBLE_ENTRY
2026-09-04,46bbbf853561e26625ee3ecbccb6037051556f2f3ca26dcb4e311c165c08d8e9,2026-09-04,ON,0.000555711299170992,0.003508367053479452,0.9999999999999999,36.95808457690178,0.2811430020493039,0.17181865795174087,0.3077753771160212,0.10071951804292607,0.10058669498060677,0.037956749859400986,0.994535519125683,0.9617486338797814,0.9672131147540983,0.9836065573770492,0.9562841530054644,0.9617486338797814,0.020538025195101492,0.019796827365450447,True,0.0019278218988817068,ELIGIBLE_ENTRY
