window_end,window_months,strategy_cagr,benchmark_cagr,cagr_spread,strategy_vol,benchmark_vol,strategy_mdd,benchmark_mdd,profile
2017-02,36,0.2051920640423206,0.1050016687793145,0.1001903952630061,0.21688069873561652,0.10394331011730985,-0.14986128519738617,-0.08491111980164268,AGGRESSIVE
2017-03,36,0.24182095380645308,0.10242191258626021,0.13939904122019287,0.2106258148544698,0.10403432213073477,-0.14986128519738595,-0.08491111980164268,AGGRESSIVE
2017-04,36,0.24733488584858687,0.10350645697382688,0.14382842887476,0.2105555569534669,0.10403240788722247,-0.14986128519738606,-0.08491111980164268,AGGRESSIVE
2017-05,36,0.2519731092748341,0.10022768640009816,0.1517454228747359,0.21118832622962508,0.10372896323800938,-0.14986128519738595,-0.08491111980164257,AGGRESSIVE
2017-06,36,0.218786314040186,0.09507603906499584,0.12371027497519016,0.21342584817664983,0.10347936321931904,-0.14986128519738606,-0.08491111980164268,AGGRESSIVE
2017-07,36,0.2701248388393842,0.10751106706275837,0.16261377177662584,0.22082454971581283,0.10292143987057849,-0.14986128519738606,-0.08491111980164257,AGGRESSIVE
2017-08,36,0.21558717994866683,0.09437654546702956,0.12121063448163727,0.21136034555721103,0.10136009600842608,-0.14986128519738595,-0.08491111980164257,AGGRESSIVE
2017-09,36,0.2760327680133585,0.10679150209275323,0.1692412659206053,0.19377605733786601,0.10075543720201999,-0.14986128519738595,-0.08491111980164279,AGGRESSIVE
2017-10,36,0.29228520194888197,0.10679646889007244,0.18548873305880953,0.19450496197867284,0.10075612455842595,-0.14986128519738595,-0.08491111980164268,AGGRESSIVE
2017-11,36,0.2791144522611355,0.10790640050512845,0.17120805175600706,0.19596229935890097,0.10096730144999408,-0.14986128519738595,-0.08491111980164257,AGGRESSIVE
2017-12,36,0.2824229628826693,0.1133092093848922,0.16911375349777713,0.19571041014880328,0.10074832534326494,-0.14986128519738606,-0.08491111980164257,AGGRESSIVE
2018-01,36,0.35845728374865615,0.14526781038990633,0.21318947335874983,0.22682376507830013,0.10155820003024126,-0.14986128519738606,-0.08491111980164279,AGGRESSIVE
2018-02,36,0.33769465990219194,0.11078326497472002,0.22691139492747192,0.225300606338628,0.10173713271327438,-0.14986128519738595,-0.08491111980164268,AGGRESSIVE
2018-03,36,0.34894644176279677,0.10636249352231197,0.2425839482404848,0.22342644669195555,0.10293733354807108,-0.14986128519738606,-0.08491111980164268,AGGRESSIVE
2018-04,36,0.3208889876957346,0.10465604173394749,0.2162329459617871,0.2210601295266299,0.1029578191694066,-0.14986128519738617,-0.08491111980164257,AGGRESSIVE
2018-05,36,0.3009651762567622,0.10880405820869621,0.19216111804806602,0.22160969347634332,0.1033259173396295,-0.14986128519738595,-0.08491111980164268,AGGRESSIVE
2018-06,36,0.31105461760330577,0.11855077459080521,0.19250384301250056,0.22220132688778013,0.1018700724471626,-0.14986128519738606,-0.08491111980164257,AGGRESSIVE
2018-07,36,0.28803503855338586,0.12379758427246035,0.1642374542809255,0.22479000471089214,0.10283000044504305,-0.14986128519738606,-0.06697993246405876,AGGRESSIVE
2018-08,36,0.3300657100814446,0.15968633331637516,0.17037937676506942,0.22457812895150464,0.0944353370933107,-0.14986128519738595,-0.06697993246405876,AGGRESSIVE
2018-09,36,0.36485776123691815,0.1720345395387579,0.19282322169816024,0.21902919327696854,0.09177057761599473,-0.14986128519738606,-0.06697993246405864,AGGRESSIVE
2018-10,36,0.305882928537039,0.11366911397454538,0.19221381456249365,0.22677552619351818,0.09378346026345359,-0.14986128519738606,-0.06910442393564453,AGGRESSIVE
2018-11,36,0.29042255660538396,0.11915116318246866,0.1712713934229153,0.2266429309994039,0.09386651791485011,-0.10781553195726834,-0.06910442393564453,AGGRESSIVE
2018-12,36,0.2668658040436056,0.09161559353374615,0.17525021050985945,0.23392826472030817,0.10859830114404918,-0.1616296625712822,-0.13532099886114823,AGGRESSIVE
2019-01,36,0.3431702088744666,0.13923359740054275,0.20393661147392383,0.2219125814643963,0.11083743429929618,-0.16162966257128208,-0.13532099886114834,AGGRESSIVE
2019-02,36,0.3508344117461848,0.1517297706538796,0.1991046410923052,0.22200327288734395,0.11123863666658224,-0.16162966257128208,-0.13532099886114834,AGGRESSIVE
