profile,model,months,alpha_ann,alpha_hac_t,r2
AGGRESSIVE,CAPM,149,0.1481268261897123,3.692751432089192,0.43494626908931244
AGGRESSIVE,FF3,149,0.1517176359364812,3.7999435139187434,0.4383000757384905
AGGRESSIVE,FF5,149,0.15156634542734626,3.8797931352009463,0.4446388455441773
AGGRESSIVE,FF5_MOM,149,0.14313413280458787,3.6602463140396053,0.45004605158599087
CONTROLLED,CAPM,149,0.08032392385336674,3.3802506772221874,0.534019554476072
CONTROLLED,FF3,149,0.08151744701258938,3.4732800722498425,0.5375363603130437
CONTROLLED,FF5,149,0.08082382806762971,3.486591810162247,0.5451863310083029
CONTROLLED,FF5_MOM,149,0.07443759979830743,3.193269850854427,0.552827046724985
CORE,CAPM,149,0.11474846264766678,3.380250677222189,0.534019554476072
CORE,FF3,149,0.1164534957322706,3.4732800722498416,0.5375363603130439
CORE,FF5,149,0.11546261152518528,3.4865918101622446,0.5451863310083032
CORE,FF5_MOM,149,0.10633942828329629,3.193269850854426,0.552827046724985
