profile,month,return_1m,description
CONTROLLED,2019-04,0.00758069912308478,70% final optimizer + 30% historical risk-free sleeve
CONTROLLED,2019-05,-0.07679294349354487,70% final optimizer + 30% historical risk-free sleeve
CONTROLLED,2019-06,0.06785314908682853,70% final optimizer + 30% historical risk-free sleeve
CONTROLLED,2019-07,0.0025793306923576603,70% final optimizer + 30% historical risk-free sleeve
CONTROLLED,2019-08,0.00040707511096006,70% final optimizer + 30% historical risk-free sleeve
CONTROLLED,2019-09,-0.00447048638175554,70% final optimizer + 30% historical risk-free sleeve
CONTROLLED,2019-10,0.00027507405508215,70% final optimizer + 30% historical risk-free sleeve
CONTROLLED,2019-11,-0.00067042058606795,70% final optimizer + 30% historical risk-free sleeve
CONTROLLED,2019-12,0.03040944086450137,70% final optimizer + 30% historical risk-free sleeve
CONTROLLED,2020-01,-0.038943806639109985,70% final optimizer + 30% historical risk-free sleeve
CONTROLLED,2020-02,-0.020200651621229648,70% final optimizer + 30% historical risk-free sleeve
CONTROLLED,2020-03,-0.04479133174815648,70% final optimizer + 30% historical risk-free sleeve
CONTROLLED,2020-04,0.13033023979150973,70% final optimizer + 30% historical risk-free sleeve
CONTROLLED,2020-05,0.03163623975703915,70% final optimizer + 30% historical risk-free sleeve
CONTROLLED,2020-06,0.047262271045645836,70% final optimizer + 30% historical risk-free sleeve
CONTROLLED,2020-07,0.06900433705724549,70% final optimizer + 30% historical risk-free sleeve
CONTROLLED,2020-08,0.049551351612362834,70% final optimizer + 30% historical risk-free sleeve
CONTROLLED,2020-09,-0.04061066841365727,70% final optimizer + 30% historical risk-free sleeve
CONTROLLED,2020-10,-0.02415804987167779,70% final optimizer + 30% historical risk-free sleeve
CONTROLLED,2020-11,0.09360176675876064,70% final optimizer + 30% historical risk-free sleeve
CONTROLLED,2020-12,0.05220111868395699,70% final optimizer + 30% historical risk-free sleeve
CONTROLLED,2021-01,0.00494064958094449,70% final optimizer + 30% historical risk-free sleeve
CONTROLLED,2021-02,0.009484420081035689,70% final optimizer + 30% historical risk-free sleeve
CONTROLLED,2021-03,0.00598542630292383,70% final optimizer + 30% historical risk-free sleeve
CONTROLLED,2021-04,0.01512989203994751,70% final optimizer + 30% historical risk-free sleeve
CONTROLLED,2021-05,0.03578215360335266,70% final optimizer + 30% historical risk-free sleeve
CONTROLLED,2021-06,0.05769569962428986,70% final optimizer + 30% historical risk-free sleeve
CONTROLLED,2021-07,0.01780778910665496,70% final optimizer + 30% historical risk-free sleeve
CONTROLLED,2021-08,0.028231256094287328,70% final optimizer + 30% historical risk-free sleeve
CONTROLLED,2021-09,-0.03474836328735905,70% final optimizer + 30% historical risk-free sleeve
CONTROLLED,2021-10,0.04948619165822787,70% final optimizer + 30% historical risk-free sleeve
CONTROLLED,2021-11,0.02652674477937379,70% final optimizer + 30% historical risk-free sleeve
CONTROLLED,2021-12,0.00947175721140449,70% final optimizer + 30% historical risk-free sleeve
CONTROLLED,2022-01,-0.08061802151960809,70% final optimizer + 30% historical risk-free sleeve
CONTROLLED,2022-02,0.02200061534061643,70% final optimizer + 30% historical risk-free sleeve
CONTROLLED,2022-03,0.04552629540043732,70% final optimizer + 30% historical risk-free sleeve
CONTROLLED,2022-04,-0.028400212483732878,70% final optimizer + 30% historical risk-free sleeve
CONTROLLED,2022-05,0.03067340738989977,70% final optimizer + 30% historical risk-free sleeve
CONTROLLED,2022-06,-0.1278326870790947,70% final optimizer + 30% historical risk-free sleeve
CONTROLLED,2022-07,0.09904632049698858,70% final optimizer + 30% historical risk-free sleeve
CONTROLLED,2022-08,0.01771910470407988,70% final optimizer + 30% historical risk-free sleeve
CONTROLLED,2022-09,-0.06817228963290885,70% final optimizer + 30% historical risk-free sleeve
