horizon_sessions,rows,ic,intercept,slope,rmse,raw_skill,weight
5,237998,0.016561375201002336,-0.00021141378059408582,0.0003326426232239047,0.008123142979536743,0.016561375201002336,0.04934079535639992
10,237383,0.022309912481880256,-0.00023264492150889667,0.00038788881291423703,0.005734465629860984,0.022309912481880256,0.06646723553011609
20,236153,0.02809218507383292,-0.00021200185911337266,0.0003643315695047991,0.004118936143464519,0.02809218507383292,0.08369418227770198
60,231233,0.060337045837767694,-0.00031221226046578774,0.0005711775018353027,0.0024487913776441396,0.060337045837767694,0.17976030341434673
120,223853,0.06442657883147458,-0.00023670339299589388,0.00040486267472348366,0.0018283120144862658,0.06442657883147458,0.1919441231815316
252,207617,0.14392568403765077,-0.0004255685291905392,0.0007875669028092492,0.0014849778940231363,0.14392568403765077,0.42879336023990366
