signal_date,ticker,target_weight
2026-09-04,MA,0.07550698720414468
2026-09-04,FDX,0.07490070734554821
2026-09-04,SBUX,0.05153308178604853
2026-09-04,HON,0.048542733846347115
2026-09-04,NKE,0.04795046983986557
2026-09-04,MELI,0.0427833300976064
2026-09-04,UNH,0.03610658795019659
2026-09-04,KMB,0.03560801578242284
2026-09-04,CAAP,0.03526690857375307
2026-09-04,MMM,0.035195627759337655
2026-09-04,YPF,0.03468988417123596
2026-09-04,BA,0.029993096799269217
2026-09-04,VIST,0.02576833135018182
2026-09-04,CEPU,0.025688349308855968
2026-09-04,RIO,0.02524634107477956
2026-09-04,NUE,0.025142472372688074
2026-09-04,SONY,0.024923040920921964
2026-09-04,ADI,0.02378216133922496
2026-09-04,SLB,0.023495274875973037
2026-09-04,ISRG,0.02169162062765036
2026-09-04,FCX,0.02030277936419068
2026-09-04,QCOM,0.019809576888415576
2026-09-04,NEM,0.015884023889174204
2026-09-04,ABNB,0.015563720469640533
2026-09-04,GE,0.013843420584225474
2026-09-04,DOW,0.013049523743659636
2026-09-04,ADBE,0.012545662747742083
2026-09-04,LAR,0.011931256119311805
2026-09-04,OXY,0.011399921866925553
2026-09-04,SHOP,0.010605346998634154
2026-09-04,SID,0.008383677506257004
2026-09-04,CRM,0.008140225925136918
2026-09-04,PLTR,0.007492693901812098
2026-09-04,GOOGL,0.007313596691945759
2026-09-04,AMD,0.0071955018127754285
2026-09-04,ACN,0.006511381411007664
2026-09-04,ARM,0.006400651529047439
2026-09-04,TXN,0.006305207800085654
2026-09-04,COIN,0.006086540026390773
2026-09-04,CSCO,0.00601473882289693
2026-09-04,GS,0.006004256884367928
2026-09-04,BMY,0.005690382607471247
2026-09-04,UBER,0.0054391213570863925
2026-09-04,ORCL,0.005117037796213084
2026-09-04,KEEL,0.004309988215818366
2026-09-04,BABA,0.0028589090770663435
2026-09-04,IBM,0.0028154088261061003
2026-09-04,INTC,0.0026923457706257837
2026-09-04,MRVL,0.0023722794930837545
2026-09-04,LRCX,0.0013227985516386202
