signal_date,price_date,ticker,target_weight,vehicle,byma_ticker,ratio,unit_usd,q_star,quantity,actual_weight,weight_error
2026-09-04,2026-09-04,MA,0.07550698720414468,CEDEAR_BANCO_COMAFI,MA,33:1,17.55181884765625,1.3784297257137392,1,0.05477753837980229,-0.020729448824342397
2026-09-04,2026-09-04,FDX,0.07490070734554821,CEDEAR_BANCO_COMAFI,FDX,10:1,32.25199890136719,0.7441301458882039,1,0.100655386372159,0.025754679026610786
2026-09-04,2026-09-04,SBUX,0.05153308178604853,CEDEAR_BANCO_COMAFI,SBUX,12:1,8.705833435058594,1.8966857325101738,2,0.0543401375385968,0.0028070557525482695
2026-09-04,2026-09-04,HON,0.048542733846347115,CEDEAR_BANCO_COMAFI,HON,8:1,26.201250076293945,0.5936381941226294,1,0.08177158128797811,0.033228847441630995
2026-09-04,2026-09-04,NKE,0.04795046983986557,CEDEAR_BANCO_COMAFI,NKE,12:1,3.2000001271565752,4.801340292364918,5,0.049934463004128564,0.0019839931642629954
2026-09-04,2026-09-04,MELI,0.0427833300976064,CEDEAR_BANCO_COMAFI,MELI,120:1,16.48633321126302,0.8315150770160142,1,0.051452260193692714,0.008668930096086318
2026-09-04,2026-09-04,UNH,0.03610658795019659,CEDEAR_BANCO_COMAFI,UNH,33:1,12.0345458984375,0.9613385505891072,1,0.037558660191116346,0.001452072240919755
2026-09-04,2026-09-04,KMB,0.03560801578242284,CEDEAR_BANCO_COMAFI,KMB,6:1,17.49333318074544,0.6522210661123264,1,0.054595010238890955,0.018986994456468113
2026-09-04,2026-09-04,CAAP,0.03526690857375307,CEDEAR_BANCO_COMAFI,CAAP,1:4,97.63999938964844,0.1157335407193784,0,0.0,-0.03526690857375307
2026-09-04,2026-09-04,MMM,0.035195627759337655,CEDEAR_BANCO_COMAFI,MMM,10:1,16.855999755859376,0.669042667891995,1,0.05260595392253722,0.017410326163199562
2026-09-04,2026-09-04,YPF,0.03468988417123596,LOCAL_BYMA_SHARE,YPFD,1 ADR:10 LOCAL,5.261999893188476,2.1123779763918162,2,0.032844391069149714,-0.0018454931020862458
2026-09-04,2026-09-04,BA,0.029993096799269217,CEDEAR_BANCO_COMAFI,BA,24:1,8.84375,1.0866869909734946,1,0.02760049310280257,-0.0023926036964666483
2026-09-04,2026-09-04,VIST,0.02576833135018182,CEDEAR_BANCO_COMAFI,VIST,3:1,24.57666778564453,0.3359563958482635,0,0.0,-0.02576833135018182
2026-09-04,2026-09-04,CEPU,0.025688349308855968,LOCAL_BYMA_SHARE,CEPU,1 ADR:10 LOCAL,1.4039999961853027,5.862578994236178,6,0.02629049365555151,0.0006021443466955427
2026-09-04,2026-09-04,RIO,0.02524634107477956,CEDEAR_BANCO_COMAFI,RIO,8:1,12.9087495803833,0.6266627574427441,1,0.040286965796090445,0.015040624721310885
2026-09-04,2026-09-04,NUE,0.025142472372688074,CEDEAR_BANCO_COMAFI,NUE,16:1,16.316875457763672,0.49373123049876233,0,0.0,-0.025142472372688074
2026-09-04,2026-09-04,SONY,0.024923040920921964,CEDEAR_BANCO_COMAFI,SONY,8:1,3.069999933242798,2.601251122323799,3,0.028743523499558058,0.003820482578636094
2026-09-04,2026-09-04,ADI,0.02378216133922496,CEDEAR_BANCO_COMAFI,ADI,15:1,24.15,0.31553955015794877,0,0.0,-0.02378216133922496
2026-09-04,2026-09-04,SLB,0.023495274875973037,CEDEAR_BANCO_COMAFI,SLB,3:1,19.169999440511067,0.3927155031548909,0,0.0,-0.023495274875973037
2026-09-04,2026-09-04,ISRG,0.02169162062765036,CEDEAR_BANCO_COMAFI,ISRG,90:1,4.074444580078125,1.7058592760092122,2,0.025431899257712533,0.0037402786300621722
2026-09-04,2026-09-04,FCX,0.02030277936419068,CEDEAR_BANCO_COMAFI,FCX,3:1,24.243334452311196,0.2683383581854515,0,0.0,-0.02030277936419068
2026-09-04,2026-09-04,QCOM,0.019809576888415576,CEDEAR_BANCO_COMAFI,QCOM,11:1,15.34000049937855,0.41377994914949723,0,0.0,-0.019809576888415576
2026-09-04,2026-09-04,NEM,0.015884023889174204,CEDEAR_BANCO_COMAFI,NEM,3:1,42.69666544596354,0.11920272652229696,0,0.0,-0.015884023889174204
2026-09-04,2026-09-04,ABNB,0.015563720469640533,CEDEAR_CAJA_DE_VALORES,ABNB,15:1,12.12933349609375,0.4111460299519556,0,0.0,-0.015563720469640533
2026-09-04,2026-09-04,GE,0.013843420584225474,CEDEAR_BANCO_COMAFI,GE,8:1,42.13999938964844,0.1052612455587065,0,0.0,-0.013843420584225474
