horizon_sessions,pre2025_oof_ic,holdout_posthoc_ic,ic_change,pre_rows,hold_rows
5,0.016561375201002336,0.013246870977880429,-0.0033145042231219075,237998,50923
10,0.022309912481880256,0.017856725853792756,-0.0044531866280875,237383,50308
20,0.02809218507383292,0.039496006678914265,0.011403821605081344,236153,49078
60,0.060337045837767694,0.08510295974408771,0.02476591390632002,231233,44157
120,0.06442657883147458,0.05297226760205939,-0.01145431122941519,223853,36777
252,0.14392568403765077,0.14394143410499238,1.5750067341613327e-05,207617,20541
