cohort,episodes,unique_tickers,winner_share,mean_episode_return,median_episode_return,mean_portfolio_contribution,median_portfolio_contribution,mean_days_held,median_days_held
FIRST_EVER_ENTRY,119,119,0.5462184873949579,0.10425128005195683,0.024145125979446513,0.007522094266060513,0.0,143.81512605042016,61.0
REENTRY,609,107,0.5238095238095238,0.085037424986784,0.008345183561663694,0.0033714897898080957,0.0,110.59934318555008,61.0
