period_start,period_end,alpha_engine_wealth,alpha_engine_drawdown,spy_wealth,spy_drawdown
2014-01-31,2014-02-28,1.0547824025134387,0.0,1.0,0.0
2014-02-28,2014-03-31,0.9814451349218047,-0.06952833818319182,1.0082953950002989,0.0
2014-03-31,2014-04-30,0.9801384603508858,-0.07076714778771809,1.0153045043452962,0.0
2014-04-30,2014-05-30,1.038278945165405,-0.015646314641491466,1.0388659859789506,0.0
2014-05-30,2014-06-30,1.0858527902996102,0.0,1.0603134824634772,0.0
2014-06-30,2014-07-31,1.0861630550630035,0.0,1.0460652629980516,-0.013437742423421883
2014-07-31,2014-08-29,1.2057284207228722,0.0,1.0873467120656184,0.0
2014-08-29,2014-09-30,1.0971206436570142,-0.09007648422249537,1.0723455054461657,-0.013796157612832705
2014-09-30,2014-10-31,1.1024505178504242,-0.08565602427330166,1.0975996916877517,0.0
2014-10-31,2014-11-28,1.1029995168078872,-0.08520069872235059,1.127752843896401,0.0
2014-11-28,2014-12-31,1.0920043357673475,-0.09431981779723131,1.1248924430439726,-0.002536372103080442
2014-12-31,2015-01-30,1.117869413299537,-0.07286799076251427,1.0915630559510499,-0.032090176620894195
2015-01-30,2015-02-27,1.1988425513663874,-0.0057109621355334594,1.1529134122399431,0.0
2015-02-27,2015-03-31,1.1715683785814397,-0.028331456366395114,1.1348066391063387,-0.015705232449699458
2015-03-31,2015-04-30,1.2558718018348873,0.0,1.1459660745317761,-0.0060258972047774195
2015-04-30,2015-05-29,1.2947441883542319,0.0,1.1606987615646154,0.0
2015-05-29,2015-06-30,1.3196818312006715,0.0,1.1371225194416366,-0.020312111034906377
2015-06-30,2015-07-31,1.3515614235816835,0.0,1.162809309339517,0.0
2015-07-31,2015-08-31,1.2984735825090699,-0.039278896353766246,1.0919355055583853,-0.06095049567619015
2015-08-31,2015-09-30,1.232340296979199,-0.08820992114923232,1.064073868767724,-0.08491111980164268
2015-09-30,2015-10-30,1.3016510300898663,-0.03692795060660503,1.1545837739154041,-0.007073847240511966
