year,factor,months,mean_rank_ic,median_rank_ic,positive_ic_share
2014,FULL_ALPHA,12,0.07198677526416611,0.05307692307692308,0.75
2014,REVENUE_GROWTH,12,0.09890932738758827,0.05846153846153846,0.6666666666666666
2014,SALES_YIELD,12,-0.007007308311656134,-0.0035470085470085478,0.5
2014,TREND,12,0.019214767592857642,0.053295066170471056,0.6666666666666666
2015,FULL_ALPHA,12,0.034188034188034185,0.028034188034188032,0.5
2015,REVENUE_GROWTH,12,0.03481481481481482,0.037948717948717944,0.5833333333333334
2015,SALES_YIELD,12,-0.11683150183150183,-0.17765567765567764,0.25
2015,TREND,12,0.07662852400574817,0.13213211440477746,0.6666666666666666
2016,FULL_ALPHA,12,0.04241147741147741,0.07322344322344321,0.6666666666666666
2016,REVENUE_GROWTH,12,-0.02813797313797314,-0.012112332112332112,0.4166666666666667
2016,SALES_YIELD,12,0.10561660561660562,0.22130647130647127,0.6666666666666666
2016,TREND,12,-0.03254015624172702,-0.06478779016704887,0.3333333333333333
2017,FULL_ALPHA,12,0.08719983719983722,0.10805860805860806,0.5833333333333334
2017,REVENUE_GROWTH,12,0.053571428571428575,0.06593406593406592,0.6666666666666666
2017,SALES_YIELD,12,0.023758648758648748,0.04120879120879121,0.5833333333333334
2017,TREND,12,0.05832405317716341,0.06280572191553215,0.5833333333333334
2018,FULL_ALPHA,12,0.04545982613974827,0.08812260536398467,0.5833333333333334
2018,REVENUE_GROWTH,12,0.06232374012198818,0.048056923918992876,0.5833333333333334
2018,SALES_YIELD,12,0.026468348937759387,0.02973361455007728,0.5833333333333334
2018,TREND,12,0.004451576974204345,0.030906122128625313,0.5833333333333334
2019,FULL_ALPHA,12,-0.02420738134590439,-0.061761232662386735,0.3333333333333333
2019,REVENUE_GROWTH,12,0.010854975305424277,0.003912162694541856,0.5
2019,SALES_YIELD,12,-0.04227993798719509,-0.11318234452223347,0.4166666666666667
2019,TREND,12,-0.022775163245332616,-0.051787345569321165,0.4166666666666667
2020,FULL_ALPHA,12,0.11444201065591036,0.0996042691109707,0.75
2020,REVENUE_GROWTH,12,0.05081559628150704,0.052169874580296885,0.6666666666666666
2020,SALES_YIELD,12,-0.01115580011656527,-0.01900313982268003,0.4166666666666667
2020,TREND,12,0.16512326947959174,0.2179168813103694,0.8333333333333334
2021,FULL_ALPHA,12,0.011778299849112791,-0.022725968286434334,0.4166666666666667
2021,REVENUE_GROWTH,12,0.0022578814184760257,0.0036611055318657854,0.5
2021,SALES_YIELD,12,0.06350173419654126,0.09106374516862906,0.5833333333333334
2021,TREND,12,-0.060663666844230246,-0.07444563788306009,0.5
2022,FULL_ALPHA,12,0.00897376259660919,0.04848134112419959,0.5833333333333334
2022,REVENUE_GROWTH,12,-0.023740363808245346,-0.02008078588259219,0.5
2022,SALES_YIELD,12,0.07295807226643776,0.05850640910893243,0.75
2022,TREND,12,-0.0008346552700076263,0.07940343162678087,0.6666666666666666
2023,FULL_ALPHA,12,-0.006097892981375345,-0.014684880616797654,0.5
2023,REVENUE_GROWTH,12,0.05016335924286878,0.043400719175914565,0.6666666666666666
2023,SALES_YIELD,12,-0.027607868573192775,-0.01971898196546212,0.5
2023,TREND,12,-0.03205190938393643,-0.059795150395116556,0.3333333333333333
2024,FULL_ALPHA,12,0.07540678611168496,0.07336061690702783,0.75
2024,REVENUE_GROWTH,12,0.08220106842009318,0.09721315994531518,0.75
2024,SALES_YIELD,12,-0.014422432112575828,-0.011454429402727496,0.5
2024,TREND,12,0.0427915187750068,0.02760921962567419,0.5833333333333334
2025,FULL_ALPHA,12,0.009516624620010893,0.03997770284854492,0.5833333333333334
2025,REVENUE_GROWTH,12,0.01725365917865868,0.05654950057722659,0.5833333333333334
2025,SALES_YIELD,12,0.018339055671936395,-0.0068317891967950295,0.5
2025,TREND,12,0.008445221806750466,0.010461443492106252,0.5833333333333334
2026,FULL_ALPHA,9,0.056687061481787294,0.013795314664358717,0.5555555555555556
2026,REVENUE_GROWTH,9,-0.04731466832296566,0.02459052807116901,0.5555555555555556
2026,SALES_YIELD,9,0.08605004066268553,0.10626575662303141,0.5555555555555556
2026,TREND,9,0.0038739880119852102,0.045016718976555556,0.6666666666666666
