lag_sessions,scenario,valid_periods,invalid_periods,mean_weighted_price_coverage,cagr,annualized_volatility,max_drawdown,mean_monthly_return,cagr_delta_vs_same_close
0,RECONSTRUCTED_SAME_CLOSE,151,0,1.0,0.2512568229299954,0.19338828188967008,-0.20462345021844597,0.020381557323614293,0.0
1,EXECUTE_CLOSE_PLUS_1_SESSION,151,0,1.0,0.2287781249815921,0.19232921181589105,-0.21219634983431956,0.01883335135382118,-0.022478697948403292
2,EXECUTE_CLOSE_PLUS_2_SESSION,151,0,1.0,0.21749271552475902,0.1861776356734529,-0.24464033856766976,0.01796343856234689,-0.03376410740523639
3,EXECUTE_CLOSE_PLUS_3_SESSION,151,0,1.0,0.20668167428840234,0.18657044066402073,-0.23235112537108105,0.01720665847367628,-0.044575148641593065
