period,alpha_engine_return,spy_return,active_return,volatility_annualized,max_drawdown,turnover,number_of_trades_periods
2014Q1,-0.01855486507819526,0.008295395000298855,-0.026850260078494115,0.3044978842541755,-0.06952833818319182,1.0298261464950975,2
2014Q2,0.10638155069781252,0.05159012698174914,0.05479142371606338,0.11030761406960829,0.0,1.1542644499639725,3
2014Q3,0.0103769621978822,0.011347609156806993,-0.0009706469589247924,0.34722625403023,-0.09007648422249526,0.32568849515433995,3
2014Q4,-0.004663395880158516,0.049001872373162,-0.05366526825332052,0.026396252223012572,-0.009968436860571028,0.6488095279657753,3
2015Q1,0.07286055577625783,0.008813461343502693,0.06404709443275514,0.16488262456260439,-0.022750421023896683,0.33437127117615006,3
2015Q2,0.1264232249069155,0.0020407708727554486,0.12438245403416004,0.09586564086618661,0.0,0.48645002328187514,3
2015Q3,-0.0661837816938099,-0.0642399120806979,-0.0019438696131119926,0.13998712415612224,-0.08820992114923243,0.45036182135946745,3
2015Q4,0.030680601655680872,0.07020493883017864,-0.03952433717449777,0.16251240519561017,-0.03744797009011025,0.34298081167693173,3
2016Q1,0.02241725810800599,0.013292846658717439,0.00912441144928855,0.3009392909620943,0.0,0.7781206969168559,3
2016Q2,0.027661366883922733,0.024568931868880428,0.0030924350150423052,0.1891915446445177,-0.04967502521115141,0.732279771379067,3
2016Q3,0.0914863610430583,0.0377726213335694,0.053713739709488895,0.1195397620102123,0.0,0.6658088587283777,3
2016Q4,0.10495115610359407,0.03951672989270927,0.0654344262108848,0.16132666739374932,-0.0029511237821809866,0.46217465840177774,3
2017Q1,0.06942646459072876,0.05921156619018508,0.010214898400543682,0.04696287974561393,0.0,0.6612007713148332,3
2017Q2,0.04763246381965436,0.030708406676751343,0.016924057142903015,0.14167668840688166,-0.027525760911856545,0.3569648535082104,3
2017Q3,0.11966242743168953,0.04415523632831997,0.07550719110336956,0.1983939171400818,-4.158276116839055e-05,0.15007000341198762,3
2017Q4,0.06126677372278788,0.0676434013838274,-0.0063766276610395245,0.08034658495911151,-0.001250166974978928,0.5509033551608621,3
2018Q1,0.17298366420952616,-0.009953033846762827,0.18293669805628898,0.3789178543641041,-0.017936835506401017,0.3116659159752974,3
2018Q2,0.05117819004674873,0.035523997264616636,0.015654192782132093,0.05075200817638869,0.0,0.39675772344091365,3
2018Q3,0.06795548217283764,0.0765114173445447,-0.008555935171707052,0.10415658666879812,0.0,0.5993047322809062,3
2018Q4,-0.13282872282087932,-0.13532099886114834,0.002492276040269026,0.16353830369290262,-0.08415828149792848,0.6563400244862312,3
2019Q1,0.1354538455644605,0.1352600189529083,0.00019382661155220582,0.0393113333105176,0.0,0.9595524518811738,3
2019Q2,-0.015397893359895942,0.04228659111555544,-0.05768448447545138,0.3597679151526725,-0.11060420499077839,0.5278047858877067,3
2019Q3,-0.004411641267738409,0.017544327152339667,-0.021955968420078076,0.017842066041552036,-0.007261270408966181,0.5129625128785843,3
2019Q4,0.04104674762124172,0.08987561951882372,-0.048828871897582005,0.08743166895789091,-0.0014720294086685293,0.7934918735164189,3
2020Q1,-0.14300239652114788,-0.19447688715318656,0.05147449063203868,0.06359875806849889,-0.09197968889033037,0.6762374729449498,3
2020Q2,0.32339580996427464,0.20161755307616192,0.12177825688811272,0.26260759463602595,0.0,0.1440121565771117,3
2020Q3,0.10795951714593022,0.0903831598341105,0.017576357311819724,0.28942630038791206,-0.05805809773379622,0.19516723077431483,3
