month,return_for_profile,return_1m,_merge
2014-02,0.0547824025134386,0.0547824025134386,both
2014-03,-0.0695283381831918,-0.0695283381831918,both
2014-04,-0.0013313781121581,-0.0013313781121581,both
2014-05,0.0593186444226514,0.0593186444226514,both
2014-06,0.0458199074109379,0.0458199074109379,both
2014-07,0.0002857337257545,0.0002857337257545,both
2014-08,0.1100804939944612,0.1100804939944612,both
2014-09,-0.0900764842224952,-0.0900764842224952,both
2014-10,0.0048580566086552,0.0048580566086552,both
2014-11,0.0004979805883109,0.0004979805883109,both
2014-12,-0.009968436860571,-0.009968436860571,both
2015-01,0.0236858743917115,0.0236858743917115,both
2015-02,0.0724352389496441,0.0724352389496441,both
2015-03,-0.0227504210238967,-0.0227504210238967,both
2015-04,0.0719577489412305,0.0719577489412305,both
2015-05,0.0309525116039314,0.0309525116039314,both
2015-06,0.0192606717765137,0.0192606717765137,both
2015-07,0.0241570290863272,0.0241570290863272,both
2015-08,-0.0392788963537662,-0.0392788963537662,both
2015-09,-0.0509315602725471,-0.0509315602725471,both
2015-10,0.0562431767268884,0.0562431767268884,both
2015-11,0.013761915028412,0.013761915028412,both
2015-12,-0.0374479700901103,-0.0374479700901103,both
2016-01,-0.0795858260550498,-0.0795858260550498,both
2016-02,0.0154742662334622,0.0154742662334622,both
2016-03,0.0938957915433437,0.0938957915433437,both
2016-04,0.0573579245446973,0.0573579245446973,both
2016-05,-0.0496750252111514,-0.0496750252111514,both
2016-06,0.0227179136144013,0.0227179136144013,both
2016-07,0.068194818982419,0.068194818982419,both
2016-08,0.0010808558581483,0.0010808558581483,both
2016-09,0.0207013514686503,0.0207013514686503,both
2016-10,0.0866570507744845,0.0866570507744845,both
2016-11,0.019844903777949,0.019844903777949,both
2016-12,-0.002951123782181,-0.002951123782181,both
2017-01,0.0363516771710471,0.0363516771710471,both
2017-02,0.0224667255265626,0.0224667255265626,both
2017-03,0.0092403117692322,0.0092403117692322,both
2017-04,0.022554676016541,0.022554676016541,both
2017-05,0.0535236834645146,0.0535236834645146,both
2017-06,-0.0275257609118565,-0.0275257609118565,both
2017-07,0.105113849624651,0.105113849624651,both
2017-08,-4.1582761168379455e-05,-4.1582761168379455e-05,both
2017-09,0.0132069093183681,0.0132069093183681,both
2017-10,0.0448112684341735,0.0448112684341735,both
2017-11,-0.0012501669749789,-0.0012501669749789,both
2017-12,0.0170211857841143,0.0170211857841143,both
2018-01,0.1836001997816182,0.1836001997816182,both
2018-02,0.0091309179322025,0.0091309179322025,both
2018-03,-0.017936835506401,-0.017936835506401,both
2018-04,0.0144440036762264,0.0144440036762264,both
2018-05,0.003545530924282,0.003545530924282,both
2018-06,0.0325502136394854,0.0325502136394854,both
2018-07,-0.0044602211603819,-0.0044602211603819,both
2018-08,0.0549034887786711,0.0549034887786711,both
2018-09,0.0169083256031595,0.0169083256031595,both
2018-10,-0.0597563743662967,-0.0597563743662967,both
2018-11,0.0070338385989776,0.0070338385989776,both
2018-12,-0.0841582814979285,-0.0841582814979285,both
2019-01,0.0549233090229918,0.0549233090229918,both
2019-02,0.0427109872041124,0.0427109872041124,both
2019-03,0.0322494195876876,0.0322494195876876,both
2019-04,0.0099295701758354,0.0099295701758354,both
2019-05,-0.1106042049907784,-0.1106042049907784,both
2019-06,0.0961616415526122,0.0961616415526122,both
2019-07,0.0028704724176538,0.0028704724176538,both
2019-08,-0.0001041784129142,-0.0001041784129142,both
2019-09,-0.0071578376882222,-0.0071578376882222,both
