period,alpha_engine_return,spy_return,active_return,volatility_annualized,max_drawdown,turnover,number_of_trades_periods
2014,0.09200433576734746,0.12489244304397262,-0.03288810727662517,0.19843207253253814,-0.09431981779723131,3.1585886195791857,11
2015,0.16313571030149054,0.012343105936252208,0.15079260436523834,0.14815094783814173,-0.08820992114923243,1.6141639274944244,12
2016,0.2671837523560323,0.11997892746889116,0.14720482488714115,0.17875769627383437,-0.0496750252111513,2.638383985426078,12
2017,0.3312865589693852,0.2170539317452731,0.1142326272241121,0.11579015215391839,-0.027525760911856656,1.7191389833958932,12
2018,0.14189544192740278,-0.04568990615236379,0.18758534807976657,0.22738438186564688,-0.13282872282087954,1.9640683961833485,12
2019,0.15872476128898416,0.31223848040947066,-0.1535137191204865,0.172153985922304,-0.11060420499077828,2.793811624163883,12
2020,0.47784152041807104,0.18331636419012898,0.29452515622794206,0.2888299502343561,-0.09197968889033037,1.3984377511273158,12
2021,0.36627807693023695,0.28728766961926766,0.07899040731096929,0.11846977313771655,-0.04964051898194144,1.498693800844659,12
2022,-0.01856371999468276,-0.18175373711458997,0.16319001711990722,0.3713773735026839,-0.18287526725584957,1.51076752594911,12
2023,0.3044748908941155,0.2617579670693302,0.04271692382478531,0.17018174634829364,-0.06418529996981559,1.2445654498594387,12
2024,0.35012446768187533,0.24886454815309955,0.10125991952877578,0.1351160375365087,-0.04623830483138669,1.5471131760294836,12
2025,0.3291545404399425,0.17719067981214565,0.15196386062779688,0.10862783303737539,-0.014485280831451952,0.8856339817682501,12
2026,0.2756864787871025,0.13081637433046645,0.14487010445663606,0.1691147042733318,-0.030357016692148187,1.1381457555769958,8
