decision_id,asof,period_start,period_end,month,alpha_engine_return_1m,spy_return_1m,active_return_1m,alpha_engine_nav,spy_nav,active_nav,turnover,transaction_cost_return,number_of_positions,period_start_reuse_count,forward_interval_reused
1,2014-01-31,2014-01-31,2014-02-28,2014-02,0.0547824025134386,,,105.47824025134386,100.0,105.47824025134386,0.5,5e-05,8,1,False
2,2014-02-28,2014-02-28,2014-03-31,2014-03,-0.0695283381831918,0.008295395000298855,-0.07782373318349066,98.14451349218047,100.82953950002988,97.33706409732376,0.5298261464950975,5.298261464950975e-05,8,1,False
3,2014-03-31,2014-03-31,2014-04-30,2014-04,-0.0013313781121581,0.00695144436814088,-0.00828282248029898,98.01384603508858,101.5304504345296,96.53640421726617,0.6142733305489119,6.14273330548912e-05,8,1,False
4,2014-04-30,2014-04-30,2014-05-30,2014-05,0.0593186444226514,0.02320632040222037,0.036112324020431026,103.8278945165405,103.88659859789504,99.94349215187825,0.2009792083139164,2.009792083139164e-05,8,1,False
5,2014-05-30,2014-05-30,2014-06-30,2014-06,0.0458199074109379,0.02064510415587062,0.025174803255067282,108.58527902996101,106.0313482463477,102.40865633216286,0.3390119111011443,3.3901191110114434e-05,8,1,False
6,2014-06-30,2014-06-30,2014-07-31,2014-07,0.0002857337257545,-0.013437742423421883,0.013723476149176383,108.61630550630034,104.60652629980514,103.8332017593272,0.12989470589229546,1.2989470589229547e-05,8,1,False
7,2014-07-31,2014-07-31,2014-08-29,2014-08,0.1100804939944612,0.039463550246619405,0.07061694374784179,120.5728420722872,108.73467120656181,110.88720895953837,0.1371734686667853,1.3717346866678529e-05,8,1,False
8,2014-08-29,2014-08-29,2014-09-30,2014-09,-0.0900764842224952,-0.013796157612832705,-0.0762803266096625,109.71206436570141,107.23455054461654,102.31036900747215,0.05862032059525922,5.862032059525922e-06,8,1,False
9,2014-09-30,2014-09-30,2014-10-31,2014-10,0.0048580566086552,0.023550419256971322,-0.01869236264831612,110.2450517850424,109.75996916877514,100.44194857190728,0.27911728355347815,2.7911728355347817e-05,8,1,False
10,2014-10-31,2014-10-31,2014-11-28,2014-11,0.0004979805883109,0.027471902950595428,-0.02697392236228453,110.2999516807887,112.77528438964008,97.80507517915089,0.2997816972950348,2.997816972950348e-05,8,1,False
11,2014-11-28,2014-11-28,2014-12-31,2014-12,-0.009968436860571,-0.002536372103080331,-0.0074320647574906695,109.20043357673472,112.48924430439725,97.07633316589543,0.06991054711726225,6.9910547117262245e-06,8,1,False
12,2014-12-31,2014-12-31,2015-01-30,2015-01,0.0236858743917115,-0.029628954571632615,0.053314828963344114,111.78694132995369,109.15630559510498,102.40997138965712,0.16301472670056383,1.6301472670056383e-05,8,1,False
13,2015-01-30,2015-01-30,2015-02-27,2015-02,0.0724352389496441,0.056204134020860996,0.016231104928783102,119.88425513663873,115.29134122399432,103.98374575565137,0.11764543888752997,1.1764543888752998e-05,8,1,False
14,2015-02-27,2015-02-27,2015-03-31,2015-03,-0.0227504210238967,-0.015705232449699347,-0.007045188574197354,117.15683785814394,113.4806639106339,103.23947166048046,0.05371110558805625,5.371110558805625e-06,8,1,False
15,2015-03-31,2015-03-31,2015-04-30,2015-04,0.0719577489412305,0.009833776998542598,0.0621239719426879,125.58718018348871,114.59660745317763,109.59066151657383,0.0073098471418154495,7.30984714181545e-07,8,1,False
