scenario,dropped_months,months,cagr,spy_cagr,cagr_spread_vs_spy,annualized_volatility,max_drawdown,information_ratio,cagr_delta_vs_all_completed
ALL_COMPLETED_MONTHS,0,151,0.25120819657807125,0.1388961367317143,0.11231205984635695,0.1933900076539617,-0.20468786476134004,0.7403352745465306,0.0
DROP_FIRST_2_MONTHS,2,149,0.2568721500875477,0.1391325423250407,0.11773960776250703,0.19274868217469407,-0.2046878647613397,0.8020225184166715,0.00566395350947646
DROP_FIRST_12_MONTHS,12,139,0.2634396087478077,0.14200839153389455,0.12143121721391315,0.19410418408109734,-0.20468786476133982,0.8236857588064493,0.012231412169736444
