executed_at_ba,execution_mode,trigger,run_id,run_attempt,source_commit,latest_completed_session,new_sessions,forward_latest,forward_return,entry_eligible,positive_targets,target_weight_sum,holdout_parity,seal_id
2026-09-21T01:41:42.264420-03:00,MANUAL_BOOTSTRAP_OR_CATCHUP,workflow_dispatch,35560910320,1,f1d384413c7bcbb321ec6016307ba57f70455cae,2026-09-18,9,2026-09-18,,31,36,1.000000000000,CHECK,46bbbf853561e26625ee3ecbccb6037051556f2f3ca26dcb4e311c165c08d8e9
2026-09-21T22:16:31.301107-03:00,SCHEDULED_WITH_CATCHUP,schedule,35674171070,1,019fb6194c5d314eae8379c6b59a11d4fdd38a33,2026-09-18,9,2026-09-18,,31,36,1.000000000000,CHECK,46bbbf853561e26625ee3ecbccb6037051556f2f3ca26dcb4e311c165c08d8e9
2026-09-22T21:59:50.292685-03:00,SCHEDULED_WITH_CATCHUP,schedule,35803735052,1,d5e119507761d77448d4b0f93a51de6ffa03c6be,2026-09-21,10,2026-09-21,,32,38,1.000000000000,CHECK,46bbbf853561e26625ee3ecbccb6037051556f2f3ca26dcb4e311c165c08d8e9
2026-09-24T21:55:39.868775-03:00,SCHEDULED_WITH_CATCHUP,schedule,36078591091,1,cd670932f35981887bdde860ad4c83eec1c74fad,2026-09-23,12,2026-09-23,,33,39,1.000000000000,CHECK,46bbbf853561e26625ee3ecbccb6037051556f2f3ca26dcb4e311c165c08d8e9
