scenario,removed,months,cagr,spy_cagr,cagr_spread,ann_vol,max_drawdown,downside_deviation,positive_month_share,active_month_hit_rate,skewness,kurtosis_pearson,active_nw_tstat
BASE_COMPLETED,0,150,0.24774378285499932,0.13889613673171453,0.10884764612328479,0.19379044638084358,-0.20468786476133982,0.1311031447781721,0.6733333333333333,0.5866666666666667,0.0006044405473817676,4.618457556024655,2.932672635844999
REMOVE_BEST_5PCT_MONTHS,8,142,0.15387869252789343,0.09416574410044354,0.0597129484274499,0.16670664647273453,-0.2773760742856586,0.1311031447781721,0.6549295774647887,0.5633802816901409,-0.7804755788497763,4.450634690415207,1.837577343677647
REMOVE_BEST_10PCT_MONTHS,15,135,0.09892191816687879,0.06617117517666737,0.03275074299021141,0.15768446693113625,-0.2773760742856587,0.1311031447781721,0.6370370370370371,0.5481481481481482,-0.9932427200381964,4.880892357239706,1.0207948033889993
REMOVE_BEST_20PCT_MONTHS,30,120,0.0008714134648346583,0.027859922368534296,-0.026988508903699637,0.1450103819523481,-0.4410982377217342,0.1311031447781721,0.5916666666666667,0.49166666666666664,-1.3178488895744522,5.738559543886911,-0.8467589377391294
REMOVE_WORST_5PCT_MONTHS,8,142,0.36118949842626247,0.19194298447193892,0.16924651395432355,0.167009039141989,-0.14300239652114777,0.07132108951896764,0.7112676056338029,0.6126760563380281,0.7722276153909972,4.284754463923545,3.918165547340759
REMOVE_WORST_10PCT_MONTHS,15,135,0.4339921329873617,0.23665844169655847,0.19733369129080325,0.15728009401532192,-0.0641852999698157,0.053070548784939366,0.7481481481481481,0.6222222222222222,1.0153814031417558,4.66994649451303,4.300384367022179
REMOVE_WORST_20PCT_MONTHS,30,120,0.5742480279507693,0.3253159860244792,0.24893204192629015,0.1446547903843072,-0.01742244154291217,0.014571647700231253,0.8416666666666667,0.65,1.3667421653621734,5.32652488579715,4.75943539224045
