strategy,months,cagr,ann_vol,max_drawdown,avg_turnover
FULL_ALPHA_CONVICTION,151,0.3430784475432693,0.28945011735874665,-0.23128774244220873,0.3791073480735018
FULL_ALPHA_RISK,151,0.3233277738550284,0.26245979047261936,-0.21230489507658268,0.39635485474832166
FINAL_OPTIMIZER,151,0.25120819657807125,0.1933900076539617,-0.20468786476134004,0.15296057690882045
FULL_ALPHA_EQUAL,151,0.2399488436079189,0.1806320263761542,-0.19922574440640983,0.24730423151280478
RG_ONLY,151,0.23884036065707903,0.21357496231735884,-0.29709957670838594,0.05216370287241569
TREND_ONLY,151,0.23073062261787358,0.19006089970210777,-0.25171016602431495,0.439574502300934
RG_SY_EQUAL,151,0.22251862151353374,0.18646871959827027,-0.23360346697848589,0.07729934917979531
SY_ONLY,151,0.21511318073495223,0.2034587623329658,-0.2899387309829654,0.049066864687564264
