monthly_haircut_bps,core_cagr,spy_cagr,cagr_spread,monthly_active_mean,months
0,0.24841884567827588,0.13828509610056416,0.11013374957771171,0.008463010832961635,151
10,0.2337694022924528,0.13828509610056416,0.09548430619188863,0.007463010832961634,151
25,0.21209041914710647,0.13828509610056416,0.0738053230465423,0.005963010832961632,151
50,0.1767331353035888,0.13828509610056416,0.03844803920302464,0.003463010832961635,151
75,0.14232334214153686,0.13828509610056416,0.004038246040972693,0.0009630108329616356,151
100,0.10883790721865072,0.13828509610056416,-0.029447188881913444,-0.001536989167038365,151
150,0.044550119311627556,0.13828509610056416,-0.09373497678893661,-0.006536989167038364,151
200,-0.01630527869214582,0.13828509610056416,-0.15459037479270998,-0.011536989167038365,151
300,-0.12838100581438816,0.13828509610056416,-0.2666661019149523,-0.021536989167038365,151
