proposal_id,proposal_state,asof,seal_id,ticker,action,trade_side,trade_value_usd,currently_held,quantity_current,current_market_value_usd,current_weight_total_nav,target_weight_total_nav,target_value_usd,resize_band,entry_ok,expected_active_total,effective_horizon_sessions,reason,user_confirmed,executable,real_order_sent,execution_id,confirmation_timestamp,execution_timestamp
P5G-7de86a9f04b6f18713b5,PROPOSED,2026-09-11,46bbbf853561e26625ee3ecbccb6037051556f2f3ca26dcb4e311c165c08d8e9,MDB,BUY,BUY,9.08440808527216,False,,0.0,0.0,0.0283513054893302,9.08440808527216,0.0021457242346756,True,0.0264258612837222,37.5415693653307,No current position; sealed Phase3Z entry gate is open.,False,False,False,,,
P5G-22ad94828747971f1c0c,PROPOSED,2026-09-11,46bbbf853561e26625ee3ecbccb6037051556f2f3ca26dcb4e311c165c08d8e9,NXPI,BUY,BUY,8.637202524982097,False,,0.0,0.0,0.0269556326686798,8.637202524982097,0.0070715456313077,True,0.0076236890982756,26.34362308357846,No current position; sealed Phase3Z entry gate is open.,False,False,False,,,
P5G-cec042f927b377e6b51b,PROPOSED,2026-09-11,46bbbf853561e26625ee3ecbccb6037051556f2f3ca26dcb4e311c165c08d8e9,ADSK,BUY,BUY,8.486957946269145,False,,0.0,0.0,0.0264867380627547,8.486957946269145,0.0044644941682683,True,0.0118655046078952,39.8116417142798,No current position; sealed Phase3Z entry gate is open.,False,False,False,,,
P5G-f6041a37a31d66142c98,PROPOSED,2026-09-11,46bbbf853561e26625ee3ecbccb6037051556f2f3ca26dcb4e311c165c08d8e9,MELI,BUY,BUY,8.079918900238964,False,,0.0,0.0,0.0252164199273556,8.079918900238964,0.0075661074945251,True,0.0066656256061924,37.89195956875791,No current position; sealed Phase3Z entry gate is open.,False,False,False,,,
P5G-38b64299b8ef14815844,PROPOSED,2026-09-11,46bbbf853561e26625ee3ecbccb6037051556f2f3ca26dcb4e311c165c08d8e9,UPS,BUY,BUY,7.204876983717154,False,,0.0,0.0,0.0224855231580329,7.204876983717154,0.0141581678438076,True,0.0031763323342529,31.756894460398364,No current position; sealed Phase3Z entry gate is open.,False,False,False,,,
P5G-9259f35ed5c25fc07265,PROPOSED,2026-09-11,46bbbf853561e26625ee3ecbccb6037051556f2f3ca26dcb4e311c165c08d8e9,LAR,BUY,BUY,7.131127053866994,False,,0.0,0.0,0.0222553588180592,7.131127053866994,0.0024321666303977,True,0.0183008503939711,36.97347447818348,No current position; sealed Phase3Z entry gate is open.,False,False,False,,,
P5G-2309c0f5eac5c3bf8208,PROPOSED,2026-09-11,46bbbf853561e26625ee3ecbccb6037051556f2f3ca26dcb4e311c165c08d8e9,ON,BUY,BUY,5.256523339827659,False,,0.0,0.0,0.0164049542491225,5.256523339827659,0.0016543990751954,True,0.0198319190273777,37.30524344336753,No current position; sealed Phase3Z entry gate is open.,False,False,False,,,
P5G-156020076fba727f4f9d,PROPOSED,2026-09-11,46bbbf853561e26625ee3ecbccb6037051556f2f3ca26dcb4e311c165c08d8e9,AMD,BUY,BUY,4.881776660995371,False,,0.0,0.0,0.0152354165673102,4.881776660995371,0.0021832126513912,True,0.013956878234103,35.955483425692144,No current position; sealed Phase3Z entry gate is open.,False,False,False,,,
P5G-a5c22491d248f794fadd,PROPOSED,2026-09-11,46bbbf853561e26625ee3ecbccb6037051556f2f3ca26dcb4e311c165c08d8e9,MCHP,BUY,BUY,4.810622169959462,False,,0.0,0.0,0.015013352268419,4.810622169959462,0.0027342198794728,True,0.0109818177982917,39.77456578703358,No current position; sealed Phase3Z entry gate is open.,False,False,False,,,
P5G-8be79243cf6a0e1657b0,PROPOSED,2026-09-11,46bbbf853561e26625ee3ecbccb6037051556f2f3ca26dcb4e311c165c08d8e9,KMB,BUY,BUY,4.629056121182319,False,,0.0,0.0,0.0144467072578633,4.629056121182319,0.0107869930259028,True,0.0026785420595289,43.25625898038994,No current position; sealed Phase3Z entry gate is open.,False,False,False,,,
P5G-3e02d447b03b1c9ebc8e,PROPOSED,2026-09-11,46bbbf853561e26625ee3ecbccb6037051556f2f3ca26dcb4e311c165c08d8e9,FCX,BUY,BUY,3.3771977961940083,False,,0.0,0.0,0.0105398134384801,3.3771977961940083,0.0046797656164245,True,0.0045044193672814,32.48932040094935,No current position; sealed Phase3Z entry gate is open.,False,False,False,,,
P5G-616405ee13a2b5b8c14e,PROPOSED,2026-09-11,46bbbf853561e26625ee3ecbccb6037051556f2f3ca26dcb4e311c165c08d8e9,CAT,BUY,BUY,3.1079682764963668,False,,0.0,0.0,0.0096995816602459,3.1079682764963668,0.006529045974881,True,0.002971209483763,31.179258842234876,No current position; sealed Phase3Z entry gate is open.,False,False,False,,,
P5G-ebafc61d16a6a9c44fd0,PROPOSED,2026-09-11,46bbbf853561e26625ee3ecbccb6037051556f2f3ca26dcb4e311c165c08d8e9,AMAT,BUY,BUY,2.49507739498584,False,,0.0,0.0,0.0077868256006078,2.49507739498584,0.0016675542773635,True,0.0093392169674008,35.43836503771201,No current position; sealed Phase3Z entry gate is open.,False,False,False,,,
P5G-a29eb658dc751ec80178,PROPOSED,2026-09-11,46bbbf853561e26625ee3ecbccb6037051556f2f3ca26dcb4e311c165c08d8e9,MU,BUY,BUY,2.3425191092688173,False,,0.0,0.0,0.0073107102034688,2.3425191092688173,0.0010000710455003,True,0.0146203816946042,43.23562064461519,No current position; sealed Phase3Z entry gate is open.,False,False,False,,,
P5G-c8679e40beee02c62fc6,PROPOSED,2026-09-11,46bbbf853561e26625ee3ecbccb6037051556f2f3ca26dcb4e311c165c08d8e9,KEEL,BUY,BUY,2.242426518862363,False,,0.0,0.0,0.0069983337028542,2.242426518862363,0.0007590307499503,True,0.0184401849419452,36.62592544871538,No current position; sealed Phase3Z entry gate is open.,False,False,False,,,
P5G-f6c15f5eaae470f0d575,PROPOSED,2026-09-11,46bbbf853561e26625ee3ecbccb6037051556f2f3ca26dcb4e311c165c08d8e9,DDOG,BUY,BUY,0.7248065007374308,False,,0.0,0.0,0.0022620307597557,0.7248065007374308,0.0021417744571528,True,0.002112295953667,37.53778462507675,No current position; sealed Phase3Z entry gate is open.,False,False,False,,,
P5G-c8cf76786d2f2383f35f,PROPOSED,2026-09-11,46bbbf853561e26625ee3ecbccb6037051556f2f3ca26dcb4e311c165c08d8e9,NVDA,EXIT,SELL,-85.30750227538681,True,9.0,85.30750227538681,0.2662340831498176,0.0,0.0,0.0069266416809133,False,-0.0046635283477634,33.08636687564591,Existing position loses positive expected active alpha; exact Phase3Z rule exits.,False,False,False,,,
P5G-4b7e63e74aef61272c8d,PROPOSED,2026-09-11,46bbbf853561e26625ee3ecbccb6037051556f2f3ca26dcb4e311c165c08d8e9,AVGO,EXIT,SELL,-106.2670654011182,True,11.0,106.2670654011182,0.3316462675786404,0.0,0.0,0.0057964029660306,False,-0.0002370541096956,36.02097654975962,Existing position loses positive expected active alpha; exact Phase3Z rule exits.,False,False,False,,,
P5G-cb0c49f7c6377ee65e74,PROPOSED,2026-09-11,46bbbf853561e26625ee3ecbccb6037051556f2f3ca26dcb4e311c165c08d8e9,GOOGL,REDUCE,SELL,-120.99936551337758,True,21.0,127.64920036406188,0.3983772460483668,0.0207533058329905,6.649834850684306,0.0070898499244504,True,0.0038543709822177,39.61605029979323,Current weight is above desired weight by more than the sealed resize band.,False,False,False,,,
