signal_date,price_date,ticker,target_weight,vehicle,byma_ticker,ratio,unit_usd,q_star,quantity,actual_weight,weight_error
2026-09-04,2026-09-04,VIST,0.1689917601625534,CEDEAR_BANCO_COMAFI,VIST,3:1,24.57666778564453,2.203241719486233,2,0.15340283244269728,-0.015588927719856122
2026-09-04,2026-09-04,DOW,0.09623949889143775,CEDEAR_BANCO_COMAFI,DOW,6:1,4.9066667556762695,6.284726836017686,6,0.09187940994337937,-0.00436008894805838
2026-09-04,2026-09-04,YPF,0.09016333481375788,LOCAL_BYMA_SHARE,YPFD,1 ADR:10 LOCAL,5.261999893188476,5.490333775647134,5,0.0821109776728743,-0.008052357140883579
2026-09-04,2026-09-04,CEPU,0.0865163180264715,LOCAL_BYMA_SHARE,CEPU,1 ADR:10 LOCAL,1.4039999961853027,19.74469992689605,20,0.08763497885183838,0.0011186608253668795
2026-09-04,2026-09-04,LAR,0.0802421905015223,CEDEAR_BANCO_COMAFI,LAR,1:1,6.789999961853027,3.786627809270422,4,0.08476374710508741,0.004521556603565111
2026-09-04,2026-09-04,SID,0.07236634199095791,CEDEAR_BANCO_COMAFI,SID,1:8,9.760000228881836,2.375781020181313,2,0.06092004387292825,-0.011446298118029663
2026-09-04,2026-09-04,GLOB,0.0719990541311161,CEDEAR_BANCO_COMAFI,GLOB,18:1,2.173888948228624,10.612288610000329,11,0.0746294814010201,0.0026304272699040065
2026-09-04,2026-09-04,KEEL,0.06836914711278436,CEDEAR_CAJA_DE_VALORES,KEEL,1:5,17.350000143051147,1.2626421865853574,1,0.054147681614915254,-0.014221465497869103
2026-09-04,2026-09-04,AMD,0.053351293205037224,CEDEAR_BANCO_COMAFI,AMD,10:1,47.75700073242188,0.3579542497766716,0,0.0,-0.053351293205037224
2026-09-04,2026-09-04,MU,0.04025063600403096,CEDEAR_CAJA_DE_VALORES,MU,5:1,203.31800537109376,0.0634331856879667,0,0.0,-0.04025063600403096
2026-09-04,2026-09-04,ARM,0.03439361569937565,CEDEAR_BANCO_COMAFI,ARM,27:1,9.336666531032986,1.1803358624584697,1,0.029138838184361106,-0.005254777515014544
2026-09-04,2026-09-04,MRVL,0.033482749043912706,CEDEAR_BANCO_COMAFI,MRVL,14:1,15.967857360839844,0.671883660168557,1,0.04983414693477262,0.016351397890859917
2026-09-04,2026-09-04,INTC,0.030402314786857072,CEDEAR_BANCO_COMAFI,INTC,5:1,19.160000610351563,0.5084295090649268,1,0.05979651897619238,0.029394204189335305
2026-09-04,2026-09-04,LRCX,0.021353002310466034,CEDEAR_BANCO_COMAFI,LRCX,56:1,5.493749891008649,1.2454023455850032,1,0.017145464986607108,-0.0042075373238589266
2026-09-04,2026-09-04,AMAT,0.01718267454477645,CEDEAR_BANCO_COMAFI,AMAT,5:1,90.94199829101564,0.060540483836951146,0,0.0,-0.01718267454477645
2026-09-04,2026-09-04,NUE,0.01644790968284939,CEDEAR_BANCO_COMAFI,NUE,16:1,16.316875457763672,0.3229931633798791,0,0.0,-0.01644790968284939
2026-09-04,2026-09-04,PLTR,0.01617141670110054,CEDEAR_BANCO_COMAFI,PLTR,3:1,58.11000061035156,0.08916959705630412,0,0.0,-0.01617141670110054
