sample,benchmark,n,alpha_ann,beta,r2
PRE2025_OOF,SPY,1510,-0.03787451321784283,1.030689493660052,0.8126792044457127
PRE2025_OOF,QQQ,1510,-0.042356245893752885,0.7947911159719028,0.7271088665139491
PRE2025_OOF,UEW,1510,-0.07010023276697823,0.9612380600798163,0.8324582774548346
PRE2025_OOF,BYMA_UEW,1510,-0.07082730305360024,0.955644519314133,0.8329934884668819
HOLDOUT_POSTHOC,SPY,420,0.012800995556322498,1.2231464293192744,0.524353544057782
HOLDOUT_POSTHOC,QQQ,420,0.03226375185270496,0.9027797770158229,0.48863623571085013
HOLDOUT_POSTHOC,UEW,420,0.15224246316208884,0.108934154128436,0.06847625719250794
HOLDOUT_POSTHOC,BYMA_UEW,420,-0.1183566955782867,1.372252057872056,0.6232792820575201
