signal_date,ticker,target_weight
2026-09-04,VIST,0.1689917601625534
2026-09-04,DOW,0.09623949889143775
2026-09-04,YPF,0.09016333481375788
2026-09-04,CEPU,0.0865163180264715
2026-09-04,LAR,0.0802421905015223
2026-09-04,SID,0.07236634199095791
2026-09-04,GLOB,0.0719990541311161
2026-09-04,KEEL,0.06836914711278436
2026-09-04,AMD,0.053351293205037224
2026-09-04,MU,0.04025063600403096
2026-09-04,ARM,0.03439361569937565
2026-09-04,MRVL,0.033482749043912706
2026-09-04,INTC,0.030402314786857072
2026-09-04,LRCX,0.021353002310466034
2026-09-04,AMAT,0.01718267454477645
2026-09-04,NUE,0.01644790968284939
2026-09-04,PLTR,0.01617141670110054
