date,nav,net_return,turnover,entry_exit_notional,resize_notional,cost_fraction,holdings,cash_weight,max_name_weight,requested,executed,blocked,deviation
2019-01-02,1.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0
2019-01-03,0.9990339281471469,-0.0009660718528531342,0.9660718528531758,0.9660718528531756,0.0,0.0009660718528531758,30,0.03392814714682424,0.10939584035016375,1.0,0.9660718528531758,0.033928147146824295,0.033928147146824295
2019-01-04,1.0371939385889881,0.03819691140281334,0.11786323517813593,0.07892847515059606,0.1376238303403981,0.00021655230549099414,30,0.013498635020540384,0.10951649217956518,0.2281688178575941,0.21655230549099413,0.011616512366599979,0.011616512366599979
2019-01-07,1.049669894460918,0.012028566122264772,0.09280097575060925,0.0722601142143259,0.10267375253336472,0.00017493386674769063,31,0.024003947103573342,0.10904433841923952,0.19893781385126402,0.17493386674769063,0.02400394710357339,0.02400394710357339
2019-01-08,1.0509457026699398,0.0012154375539912277,0.07047107088946569,0.0309595375944113,0.09942472179748807,0.0001303842593918994,30,0.034529563672073604,0.10647656128162464,0.16491382306397295,0.13038425939189938,0.0345295636720736,0.0345295636720736
2019-01-09,1.068896376740194,0.017080496189908034,0.03913132066267227,0.0,0.0667146544059699,6.67146544059699e-05,30,0.04549540816430975,0.10738016461682447,0.10640320677803473,0.0667146544059699,0.03968855237206484,0.03968855237206484
2019-01-10,1.0745288829931827,0.005269459580512503,0.09307755575424453,0.0,0.15685161821372706,0.0001568516182137271,30,0.015946336691020746,0.10057595756182802,0.16836064552253407,0.1568516182137271,0.011509027308807006,0.011509027308807006
2019-01-11,1.075996638329746,0.0013659524278906154,0.025272598816448714,0.0,0.03519047168650566,3.5190471686505664e-05,30,0.03127875001895897,0.10065781177929506,0.058538691628258165,0.035190471686505666,0.0233482199417525,0.0233482199417525
2019-01-14,1.0695904545640238,-0.005953720985287014,0.033510886949653595,0.0,0.051273493534324796,5.12734935343248e-05,30,0.01571619659998713,0.10171830383143335,0.06315765133209754,0.051273493534324796,0.011884157797772748,0.011884157797772748
2019-01-15,1.0768590320400289,0.006795664120775813,0.05355765074760678,0.024897682234435586,0.07505865367798391,9.995633591241948e-05,30,0.02276752075102073,0.1028028404441309,0.10832487320789264,0.09995633591241948,0.008368537295473148,0.008368537295473148
2019-01-16,1.0829255482992115,0.005633528696592727,0.03628813420539659,0.016187255048502235,0.045385855081082144,6.157311012958438e-05,30,0.011635425491416052,0.102139041007827,0.07320853562100058,0.06157311012958438,0.011635425491416199,0.011635425491416199
2019-01-17,1.0906196606600143,0.007104931980676632,0.057728450574536926,0.017995511045210667,0.09743807832583265,0.0001154335893710433,30,0.011528694376488957,0.10322443895081188,0.12696228374753216,0.11543358937104331,0.011528694376488843,0.011528694376488843
2019-01-18,1.107372948810323,0.01536125631567109,0.05472327319676418,0.02704459634506339,0.07905929098756867,0.00010610388733263206,30,0.008010414601800075,0.09958369522140852,0.11411430193443221,0.10610388733263207,0.008010414601800157,0.008010414601800157
2019-01-22,1.0833447467252253,-0.02169838274531788,0.05120216893658962,0.012041746878132411,0.06457576468549456,7.661751156362696e-05,31,0.03397428171440364,0.09523188789373847,0.11059179327803054,0.07661751156362696,0.03397428171440358,0.03397428171440358
2019-01-23,1.0807900398766959,-0.0023581660927898263,0.07741284622454227,0.0062478106253362605,0.1413310946767653,0.00014757890530210158,30,0.02680277520352614,0.08994915690751251,0.155854697062681,0.14757890530210158,0.008275791760579439,0.008275791760579439
