test,status,blocking,value,rule
PHASE3Z_PASS,PASS,True,V13_P3Z_ROUNDTRIP_RESIZE_HYSTERESIS_2026-09-13,Phase3Z structural portfolio must already pass
FINAL_HOLDOUT_NOT_LOADED,PASS,True,2024-12-31,all reviewed NAV dates < 2025-01-01
FULL_PERIOD_ALPHA_POSITIVE_VS_SPY_QQQ_UEW,PASS,True,"{'SPY': {'n': 1510, 'alpha_ann': 0.10296900385141883, 'beta': 1.1976835722203318, 'r2': 0.7769320007000483}, 'QQQ': {'n': 1510, 'alpha_ann': 0.08257437424441676, 'beta': 0.987857898752621, 'r2': 0.7952757901641537}, 'UEW': {'n': 1510, 'alpha_ann': 0.033631422951084115, 'beta': 0.7588391560227482, 'r2': 0.5226888705671225}}",annualized pre-holdout regression alpha >0 vs all three benchmarks
60BPS_STILL_BEATS_SPY,PASS,True,"{'strategy': 0.2551216216546024, 'spy': 0.1711653713660084}",fixed frozen candidate beats SPY even at 60bps
ANNUAL_BEHAVIOR_RECORDED,PASS,False,"[{'year': 2019, 'strategy_return': 0.4012174805706077, 'turnover': 25.781635002343513, 'median_holdings': 48.0, 'median_max_name_weight': 0.07028373770340204, 'spy_return': 0.31223856996919896, 'excess_vs_spy': 0.08897891060140872, 'qqq_return': 0.3896155009655482, 'excess_vs_qqq': 0.011601979605059487, 'uew_return': 0.6480818979251621, 'excess_vs_uew': -0.24686441735455444}, {'year': 2020, 'strategy_return': 0.7618514158758629, 'turnover': 21.203420907454166, 'median_holdings': 47.0, 'median_max_name_weight': 0.0645677939764775, 'spy_return': 0.1833162601700431, 'excess_vs_spy': 0.5785351557058198, 'qqq_return': 0.4840609133574185, 'excess_vs_qqq': 0.2777905025184444, 'uew_return': 0.6066119955134897, 'excess_vs_uew': 0.15523942036237326}, {'year': 2021, 'strategy_return': 0.40614113132671426, 'turnover': 10.478297480798625, 'median_holdings': 45.0, 'median_max_name_weight': 0.0741314307588596, 'spy_return': 0.2872875190623225, 'excess_vs_spy': 0.11885361226439173, 'qqq_return': 0.2741974570365544, 'excess_vs_qqq': 0.13194367429015985, 'uew_return': 0.3969833800959901, 'excess_vs_uew': 0.009157751230724154}, {'year': 2022, 'strategy_return': -0.2596205870267859, 'turnover': 12.179088293513129, 'median_holdings': 44.0, 'median_max_name_weight': 0.0691762609860514, 'spy_return': -0.18175356948676824, 'excess_vs_spy': -0.07786701754001768, 'qqq_return': -0.3257699947091315, 'excess_vs_qqq': 0.06614940768234556, 'uew_return': 0.1159860102599597, 'excess_vs_uew': -0.3756065972867456}, {'year': 2023, 'strategy_return': 0.6842230264402467, 'turnover': 10.951611936249293, 'median_holdings': 42.0, 'median_max_name_weight': 0.06938501323567084, 'spy_return': 0.2617579670693284, 'excess_vs_spy': 0.42246505937091827, 'qqq_return': 0.5485555636120383, 'excess_vs_qqq': 0.1356674628282084, 'uew_return': 0.34547084881902257, 'excess_vs_uew': 0.3387521776212241}, {'year': 2024, 'strategy_return': 0.23216776424667862, 'turnover': 11.116816351909698, 'median_holdings': 39.0, 'median_max_name_weight': 0.0776446296662458, 'spy_return': 0.24886468043811139, 'excess_vs_spy': -0.016696916191432765, 'qqq_return': 0.2557827421122518, 'excess_vs_qqq': -0.023614977865573206, 'uew_return': 0.38054572178098467, 'excess_vs_uew': -0.14837795753430605}]","year-by-year behavior is diagnostic, not a requirement to win every year"
DRAWDOWN_RECORDED,PASS,False,"{'max_drawdown': -0.36788580153295103, 'peak_date': '2020-02-19', 'trough_date': '2020-03-18', 'recovery_date': '2020-04-29', 'sessions_peak_to_trough': 20, 'sessions_to_recovery': 49}","drawdown is recorded, not tuned away"
NO_SINGLE_POSITIVE_YEAR_DOMINANCE,PASS,False,0.2868201630002637,diagnostic: no single positive calendar year contributes >=85% of positive log return
