ticker,current_weight,positive_windows,mean_candidate_weight,min_candidate_weight,max_candidate_weight,zero_all_windows,positive_all_windows
ADSK,0.0264867380627547,3,0.03701119402600782,0.020862977263103866,0.06421680616109901,False,True
AMAT,0.0077868256006078,0,0.0,0.0,0.0,True,False
AMD,0.0152354165673102,0,0.0,0.0,0.0,True,False
CAAP,0.0574995527808328,0,0.0,0.0,0.0,True,False
CAT,0.0096995816602459,0,0.0,0.0,0.0,True,False
CEPU,0.0614307821431374,2,0.04635636977704297,0.0,0.08229126856380545,False,False
DDOG,0.0022620307597557,0,0.0,0.0,0.0,True,False
DOW,0.0374667717983052,2,0.02068071476125362,0.0,0.03212409945632658,False,False
FCX,0.0105398134384801,0,0.0,0.0,0.0,True,False
FDX,0.0893457980848914,3,0.04819000960634288,0.00033355056594543874,0.10020145281112333,False,True
GOOGL,0.0207533058329905,0,0.0,0.0,0.0,True,False
HON,0.0317332531891169,0,0.0,0.0,0.0,True,False
KEEL,0.0069983337028542,1,0.005132718884597473,0.0,0.01539815665379242,False,False
KMB,0.0144467072578633,1,0.007055390049551161,0.0,0.021166170148653483,False,False
LAR,0.0222553588180592,0,0.0,0.0,0.0,True,False
MCHP,0.015013352268419,0,0.0,0.0,0.0,True,False
MDB,0.0283513054893302,3,0.10037573643177729,0.0975546875666703,0.10346661211587352,False,True
MELI,0.0252164199273556,0,0.0,0.0,0.0,True,False
MPWR,0.046097224872026,3,0.17149297613498926,0.13872953745327787,0.21269362817826798,False,True
MU,0.0073107102034688,0,0.0,0.0,0.0,True,False
NKE,0.0634412928907998,3,0.09084967870008015,0.07641326294559693,0.10510726834179127,False,True
NUE,0.0497354372361492,3,0.07535941855955565,0.0667324721359366,0.08037399707314075,False,True
NXPI,0.0269556326686798,0,0.0,0.0,0.0,True,False
ON,0.0164049542491225,0,0.0,0.0,0.0,True,False
OXY,0.0422388603943087,3,0.051939301470967696,0.025539368661509226,0.07731171848199173,False,True
STLD,0.0435410525713299,3,0.04580670999003534,0.027901514493658502,0.06764580146441716,False,True
TTWO,0.0564075729577276,3,0.12139518086784225,0.07473045105778287,0.1621448655783725,False,True
UPS,0.0224855231580329,0,0.0,0.0,0.0,True,False
VIST,0.0443422055403633,3,0.10494050738433114,0.08774665998609846,0.11491607100021897,False,True
YPF,0.0405271845870347,0,0.0,0.0,0.0,True,False
ZTS,0.0522421524270214,3,0.06766524449399931,0.04513446221114623,0.10913766984322774,False,True
