lifecycle_id,sample,ticker,entry_signal_date,entry_execution_date,exit_date,exit_reason,status,entry_weight,entry_notional_nav_units,held_sessions,exposure_nav_days,gross_pnl_nav_units,benchmark_pnl_nav_units,gross_active_pnl_nav_units,allocated_cost_nav_units,entry_trade_nav_units,resize_trade_nav_units,exit_trade_nav_units,terminal_exit_weight,ret_20d,ret_60d,ret_120d,ret_252d,dd_60d,dd_252d,range_position_252d,reversal_signature_score,reversal_signature_pctile,ret_60d_pctile,expected_active_total,effective_horizon_sessions,model_target_weight,entry_anatomy_class,net_pnl_nav_units,net_active_pnl_nav_units,net_daily_return_on_exposure,net_daily_active_on_exposure,signal_date,expected_active_per_session,uncertainty_per_session,positive_active_horizon_share,advisor_effective_horizon_sessions,advisor_expected_active_total,conviction,expected_contribution,realized_daily_net,realized_daily_active,entries_same_signal_date
PRE2025_OOF_000001,PRE2025_OOF,ISRG,2019-01-02,2019-01-03,2019-01-10,POLICY_EXIT,CLOSED,0.0228158363602816,0.0227970750490382,5,0.112371834092984,0.0032239309891313,0.0015144451844415,0.0017094858046898,4.88205978095275e-05,0.0228158363602816,0.0050261285944746,0.0209786328547712,0.0,-0.1221390955892852,-0.1594581935640794,-0.0757407224825675,0.2770044690096982,-0.1594581935640794,-0.1891463799562689,0.4818398957398523,0.5335807570656055,0.5432098765432098,0.359504132231405,0.0113312949175102,25.698034299074177,0.0243095383526232,MIXED_OTHER,0.0031751103913218,0.0016606652068803,0.0282553935062995,0.0147783047263087,2019-01-02,0.00044094014295554596,0.004513875131338024,0.8629982207118533,25.698034299074177,0.01133129491751029,0.09768549862938729,0.00027545854838209854,0.028255393506298923,0.014778304726308499,43
PRE2025_OOF_000002,PRE2025_OOF,ADSK,2019-01-02,2019-01-03,2019-01-08,POLICY_EXIT,CLOSED,0.0026042452915494,0.0026021038378811,3,0.010957487418232,0.0003162706886703,0.0001791547569512,0.000137115931719,8.25819620339946e-06,0.0026042452915494,0.0013686023453555,0.0042853485664944,0.0,-0.1075432061324069,-0.1521367420189313,-0.0246558347960859,0.230182242309799,-0.1521367420189313,-0.1796437072684737,0.4609660132969033,0.5037283610515934,0.5061728395061729,0.3760330578512397,0.0029759489334075,46.02224874367317,0.0027747394307564,MIXED_OTHER,0.0003080124924669,0.0001288577355156,0.0281097737748216,0.0117597885899719,2019-01-02,6.466326645580738e-05,0.0030104734932179427,0.6101700078829478,46.022248743673174,0.002975948933407585,0.021479433916784897,8.257482849443243e-06,0.02810977377481653,0.011759788589964112,43
PRE2025_OOF_000003,PRE2025_OOF,CMG,2019-01-02,2019-01-03,2020-04-16,POLICY_EXIT,CLOSED,0.0268779115450288,0.0268558100162439,323,16.63059886794232,0.0108616615607404,0.0073977531386143,0.003463908422126,0.0015004488549906,0.0268779115450288,1.4618941153171896,0.011676828128385,0.0,-0.063079829337824,-0.0098488693474561,-0.0302288542892187,0.533958376107428,-0.0965848855366356,-0.1569339958343281,0.6994099105913034,0.2635870489405842,0.2181069958847736,0.7933884297520661,0.0088561067321385,33.91172725244999,0.0286375485528872,MIXED_OTHER,0.0093612127057498,0.0019634595671354,0.0005628908964784,0.000118063070532,2019-01-02,0.0002611517445340027,0.0037754487460732087,1.0000000000000002,33.91172725244999,0.008856106732138597,0.06917104749617459,0.0002536171865311675,0.0005628908964784651,0.0001180630705320076,43
PRE2025_OOF_000004,PRE2025_OOF,MCO,2019-01-02,2019-01-03,2019-01-07,POLICY_EXIT,CLOSED,0.0179186732972154,0.0179039388907493,2,0.0367359689282827,0.001003117226844,0.0008748292385826,0.0001282879882614,3.682036019001809e-05,0.0179186732972154,0.0,0.0189016868928026,0.0,-0.1145404858762543,-0.1335285510120172,-0.2044446201279276,-0.0354850114978224,-0.1335285510120172,-0.2426866435918538,0.2030500116654521,0.6127223412576948,0.6255144032921811,0.4338842975206611,0.0052366226462233,27.467829712960537,0.0190917689305083,MIXED_OTHER,0.000966296866654,9.146762807140468e-05,0.0263038350380927,0.0024898656749729,2019-01-02,0.0001906456644353121,0.004585596281278011,0.7512398986820811,27.467829712960537,0.00523662264622337,0.04157489075383211,9.997638953796217e-05,0.026303835038091413,0.0024898656749729707,43
PRE2025_OOF_000005,PRE2025_OOF,TSLA,2019-01-02,2019-01-03,2019-06-18,POLICY_EXIT,CLOSED,0.0147107960450489,0.0146986994548174,114,1.4748528881679288,-0.0028847894196705,0.0042157378058977,-0.0071005272255683,0.000100416318703,0.0147107960450489,0.0797221142350054,0.0059834084230354,0.0,-0.1151563358661973,0.1003796390358302,-0.0277150386690179,-0.0039504814669388,-0.1769420335138858,-0.1829701710259635,0.4616696967506175,0.3745408631772268,0.3209876543209876,0.9462809917355371,0.0150019668538152,30.022145898777545,0.0156738790990488,MIXED_OTHER,-0.0029852057383736,-0.0072009435442714,-0.0020240701715558,-0.0048824825865964,2019-01-02,0.000499696687385231,0.004337553860665207,1.0,30.022145898777545,0.015001966853815238,0.11520241671618058,0.0002351390147146369,-0.002024070171555782,-0.004882482586596454,43
PRE2025_OOF_000006,PRE2025_OOF,RCL,2019-01-02,2019-01-03,2019-01-29,POLICY_EXIT,CLOSED,0.0321008478774886,0.0320744515627231,17,0.3482886623185569,0.0053564138028236,0.0032355936165783,0.0021208201862452,7.723298124362488e-05,0.0321008478774886,0.036251765611349,0.0088803677547871,0.0,-0.1293595830513717,-0.2156536092359232,-0.094002253345972,-0.1613457026535077,-0.2156536092359232,-0.2588924899956756,0.1956623293529634,0.7179114376084073,0.8065843621399177,0.1900826446280991,0.0120935981920443,28.96103073948252,0.0342024188947989,DEEP_REVERSAL_BROKEN_1Y,0.0052791808215799,0.0020435872050016,0.0151574868571273,0.005867509988403,2019-01-02,0.00041758176015321174,0.004266342519426023,1.0,28.961030739482513,0.01209359819204438,0.09787816103649163,0.00041363031130968176,0.015157486857127088,0.00586750998840285,43
PRE2025_OOF_000007,PRE2025_OOF,NOW,2019-01-02,2019-01-03,2019-01-08,POLICY_EXIT,CLOSED,0.0024434762135963,0.0024414669592768,3,0.0102478095918525,0.000342792918358,0.0001684584816449,0.000174334436713,8.138601259565013e-06,0.0024434762135963,0.0019022240015704,0.0037929010443981,0.0,-0.0375128017918184,-0.0486555043758918,-0.0473340987319361,0.367589641658637,-0.0747197319735655,-0.1283605155528439,0.6460440451212988,0.2358815426997245,0.1934156378600823,0.7231404958677686,0.0023779708138464,35.45084233005289,0.0026034451593257,MIXED_OTHER,0.0003346543170984,0.0001661958354535,0.0326561802401668,0.016217693543571,2019-01-02,6.70779777729158e-05,0.004258590365602121,0.6695385692979243,35.45084233005289,0.0023779708138464304,0.015751216250974556,6.190916604326206e-06,0.03265618024016237,0.016217693543567953,43
PRE2025_OOF_000008,PRE2025_OOF,MELI,2019-01-02,2019-01-03,2019-01-23,POLICY_EXIT,CLOSED,0.0036436646445999,0.0036406684832765,13,0.0590561227631463,0.0004386968113042,0.0005326294043279,-9.393259302374938e-05,8.981662910284755e-06,0.0036436646445999,0.001033073961762,0.0043049243039227,0.0,-0.1533084958034319,-0.122105646417358,-0.0172470011778714,-0.0529142366449713,-0.1934994942230427,-0.2800647243369316,0.2588544768963302,0.649712614359079,0.691358024691358,0.4793388429752066,0.0042193273161704,34.80606945879979,0.003882207253914,MIXED_OTHER,0.0004297151483939,-0.000102914255934,0.0072763860593656,-0.0017426517542776,2019-01-02,0.00012122389519347692,0.0040833127380772135,0.6492598433644823,34.80606945879979,0.004219327316170424,0.02968763427377348,1.6380303113474217e-05,0.007276386059364902,-0.0017426517542770885,43
PRE2025_OOF_000009,PRE2025_OOF,BHP,2019-01-02,2019-01-03,2019-01-04,POLICY_EXIT,CLOSED,0.0108845823012262,0.0108756319812343,1,0.0108756319812343,0.0006634632305298,0.0003960802351547,0.000267382995375,2.242367751299034e-05,0.0108845823012262,0.0,0.0115390952117641,0.0,0.0788998607899382,-0.0429913702130915,0.004350253849684,0.0956870483342227,-0.0429913702130915,-0.0588780520702038,0.6491481543588378,0.1309262660272761,0.0987654320987654,0.7396694214876033,0.0026306744561346,28.13546722590556,0.0115971716629491,MIXED_OTHER,0.0006410395530168,0.000244959317862,0.0589427404423862,0.0225236858220945,2019-01-02,9.35002939532647e-05,0.0046920958672265894,0.6894431777138411,28.135467225905558,0.002630674456134615,0.01992719172818841,3.050838325712822e-05,0.05894274044238549,0.022523685822090408,43
PRE2025_OOF_000010,PRE2025_OOF,FTNT,2019-01-02,2019-01-03,2022-12-23,POLICY_EXIT,CLOSED,0.0413351526924784,0.0413011630699764,1002,84.18537626395734,0.1374502407918567,0.0653827715146083,0.0720674692772485,0.0051764053991349,0.0413351526924784,5.020110728173083,0.1149595182693475,0.0,-0.0563380145259686,-0.219621456764503,0.061224482385493,0.5948729691173449,-0.219621456764503,-0.2449886373359202,0.5347736431505827,0.4998129442573886,0.4938271604938271,0.1818181818181818,0.0292503482545475,29.848978572830863,0.0440412730798943,SHORT_PULLBACK_POSITIVE_1Y,0.1322738353927218,0.0668910638781136,0.0015712210512427,0.000794568686946,2019-01-02,0.000979944696706366,0.004208046080528447,1.0000000000000002,29.848978572830863,0.029250348254547556,0.2328740412898008,0.001288222575160536,0.0015712210512427536,0.000794568686946072,43
PRE2025_OOF_000011,PRE2025_OOF,BKNG,2019-01-02,2019-01-03,2020-06-05,POLICY_EXIT,CLOSED,0.0086581530066768,0.0086510334647593,358,15.886839645322288,0.0135676346273243,0.0309653125929021,-0.0173976779655778,0.00134074481195,0.0086581530066768,1.3240877545794163,0.007998904363982,0.0,-0.0899527762090182,-0.1094961566183695,-0.1613124046055832,-0.0092303581567284,-0.1383617174340154,-0.2195693778506809,0.1779688213717728,0.5508791619902731,0.5596707818930041,0.5454545454545454,0.0024988038271577,32.11211204554498,0.0092249830010655,MIXED_OTHER,0.0122268898153742,-0.0187384227775279,0.0007696237948102,-0.001179493416933,2019-01-02,7.781499465415636e-05,0.004039849956306625,0.8281622150351171,32.11211204554498,0.002498803827157753,0.01926185266675043,2.3051422828527193e-05,0.0007696237948102081,-0.0011794934169330042,43
PRE2025_OOF_000012,PRE2025_OOF,CDNS,2019-01-02,2019-01-03,2022-12-23,POLICY_EXIT,CLOSED,0.0284994050607876,0.0284759701886158,1002,87.0101923749626,0.0829649687727331,0.0750755508028711,0.007889417969862,0.0042611463095422,0.0284994050607876,4.093028752470692,0.1396181520107493,0.0,-0.0401865305617039,-0.004375832213758,-0.0307174658913879,0.0337159219919032,-0.0772678559185946,-0.0852729353031034,0.646801153971013,0.1997967894432541,0.1522633744855967,0.7975206611570248,0.0163862827860094,29.88090212752605,0.0303651976378223,MIXED_OTHER,0.0787038224631909,0.0036282716603197,0.0009045356677758,4.169938671878907e-05,2019-01-02,0.0005483864816422176,0.0042467991099495155,0.9999999999999999,29.880902127526046,0.016386282786009464,0.12912936718797058,0.0004975727153464208,0.0009045356677758377,4.169938671878795e-05,43
