window_sessions,ticker,current_weight,candidate_weight,alpha_daily,weight_change,candidate_positive
60,GOOGL,0.0207533058329905,0.0,9.72931666092371e-05,-0.0207533058329905,False
60,FDX,0.0893457980848914,0.00033355056594543874,0.0003425001521810732,-0.08901224751894596,True
60,NKE,0.0634412928907998,0.10510726834179127,0.00035760733247630204,0.04166597545099146,True
60,CEPU,0.0614307821431374,0.08229126856380545,0.0004881379610765097,0.020860486420668047,True
60,CAAP,0.0574995527808328,0.0,0.00026284644570178343,-0.0574995527808328,False
60,TTWO,0.0564075729577276,0.07473045105778287,0.00035615863383236455,0.018322878100055263,True
60,ZTS,0.0522421524270214,0.10913766984322774,0.00030543563894944333,0.05689551741620635,True
60,NUE,0.0497354372361492,0.0667324721359366,0.0003574551999820298,0.0169970348997874,True
60,MPWR,0.046097224872026,0.13872953745327787,0.0008101987830122256,0.09263231258125187,True
60,VIST,0.0443422055403633,0.11215879116667597,0.00045100202841340557,0.06781658562631268,True
60,STLD,0.0435410525713299,0.06764580146441716,0.00039265623350144774,0.024104748893087266,True
60,OXY,0.0422388603943087,0.025539368661509226,0.00023139945323065423,-0.016699491732799474,True
60,YPF,0.0405271845870347,0.0,0.00026764130320661064,-0.0405271845870347,False
60,DOW,0.0374667717983052,0.03212409945632658,0.0002766073330494594,-0.005342672341978626,True
60,HON,0.0317332531891169,0.0,0.00016592456660171142,-0.0317332531891169,False
60,MDB,0.0283513054893302,0.10010590961278806,0.0007039093391797904,0.07175460412345785,True
60,NXPI,0.0269556326686798,0.0,0.0002893941001998277,-0.0269556326686798,False
60,ADSK,0.0264867380627547,0.06421680616109901,0.00029804107785987716,0.03773006809834431,True
60,MELI,0.0252164199273556,0.0,0.00017591134589112773,-0.0252164199273556,False
60,UPS,0.0224855231580329,0.0,0.00010002024405169295,-0.0224855231580329,False
60,LAR,0.0222553588180592,0.0,0.000494972426915671,-0.0222553588180592,False
60,ON,0.0164049542491225,0.0,0.0005316121058822256,-0.0164049542491225,False
60,AMD,0.0152354165673102,0.0,0.00038817106333578186,-0.0152354165673102,False
60,MCHP,0.015013352268419,0.0,0.00027610151314013206,-0.015013352268419,False
60,KMB,0.0144467072578633,0.0,6.192264709583894e-05,-0.0144467072578633,False
60,FCX,0.0105398134384801,0.0,0.00013864307753109475,-0.0105398134384801,False
60,CAT,0.0096995816602459,0.0,9.529442309059161e-05,-0.0096995816602459,False
60,AMAT,0.0077868256006078,0.0,0.00026353408114235515,-0.0077868256006078,False
60,MU,0.0073107102034688,0.0,0.0003381559343111941,-0.0073107102034688,False
60,KEEL,0.0069983337028542,0.01539815665379242,0.0005034735563956098,0.008399822950938218,True
60,DDOG,0.0022620307597557,0.0,5.627119380550501e-05,-0.0022620307597557,False
120,GOOGL,0.0207533058329905,0.0,9.72931666092371e-05,-0.0207533058329905,False
120,FDX,0.0893457980848914,0.044035025441959884,0.0003425001521810732,-0.04531077264293152,True
120,NKE,0.0634412928907998,0.09102850481285224,0.00035760733247630204,0.027587211922052435,True
120,CEPU,0.0614307821431374,0.05677784076732347,0.0004881379610765097,-0.004652941375813929,True
120,CAAP,0.0574995527808328,0.0,0.00026284644570178343,-0.0574995527808328,False
120,TTWO,0.0564075729577276,0.12731022596737138,0.00035615863383236455,0.07090265300964377,True
120,ZTS,0.0522421524270214,0.04872360142762399,0.00030543563894944333,-0.0035185509993974073,True
120,NUE,0.0497354372361492,0.07897178646958963,0.0003574551999820298,0.029236349233440435,True
120,MPWR,0.046097224872026,0.1630557627734219,0.0008101987830122256,0.1169585379013959,True
120,VIST,0.0443422055403633,0.11491607100021897,0.00045100202841340557,0.07057386545985567,True
120,STLD,0.0435410525713299,0.04187281401203036,0.00039265623350144774,-0.0016682385592995397,True
120,OXY,0.0422388603943087,0.052966817269402125,0.00023139945323065423,0.010727956875093425,True
120,YPF,0.0405271845870347,0.0,0.00026764130320661064,-0.0405271845870347,False
120,DOW,0.0374667717983052,0.02991804482743428,0.0002766073330494594,-0.007548726970870924,True
120,HON,0.0317332531891169,0.0,0.00016592456660171142,-0.0317332531891169,False
120,MDB,0.0283513054893302,0.0975546875666703,0.0007039093391797904,0.06920338207734009,True
120,NXPI,0.0269556326686798,0.0,0.0002893941001998277,-0.0269556326686798,False
120,ADSK,0.0264867380627547,0.02595379865382058,0.00029804107785987716,-0.0005329394089341188,True
120,MELI,0.0252164199273556,0.0,0.00017591134589112773,-0.0252164199273556,False
120,UPS,0.0224855231580329,0.0,0.00010002024405169295,-0.0224855231580329,False
120,LAR,0.0222553588180592,0.0,0.000494972426915671,-0.0222553588180592,False
120,ON,0.0164049542491225,0.0,0.0005316121058822256,-0.0164049542491225,False
120,AMD,0.0152354165673102,0.0,0.00038817106333578186,-0.0152354165673102,False
120,MCHP,0.015013352268419,0.0,0.00027610151314013206,-0.015013352268419,False
120,KMB,0.0144467072578633,0.021166170148653483,6.192264709583894e-05,0.006719462890790184,True
120,FCX,0.0105398134384801,0.0,0.00013864307753109475,-0.0105398134384801,False
120,CAT,0.0096995816602459,0.0,9.529442309059161e-05,-0.0096995816602459,False
120,AMAT,0.0077868256006078,0.0,0.00026353408114235515,-0.0077868256006078,False
120,MU,0.0073107102034688,0.0,0.0003381559343111941,-0.0073107102034688,False
120,KEEL,0.0069983337028542,0.0,0.0005034735563956098,-0.0069983337028542,False
120,DDOG,0.0022620307597557,0.0,5.627119380550501e-05,-0.0022620307597557,False
252,GOOGL,0.0207533058329905,0.0,9.72931666092371e-05,-0.0207533058329905,False
252,FDX,0.0893457980848914,0.10020145281112333,0.0003425001521810732,0.010855654726231928,True
252,NKE,0.0634412928907998,0.07641326294559693,0.00035760733247630204,0.012971970054797125,True
252,CEPU,0.0614307821431374,0.0,0.0004881379610765097,-0.0614307821431374,False
252,CAAP,0.0574995527808328,0.0,0.00026284644570178343,-0.0574995527808328,False
252,TTWO,0.0564075729577276,0.1621448655783725,0.00035615863383236455,0.10573729262064488,True
252,ZTS,0.0522421524270214,0.04513446221114623,0.00030543563894944333,-0.007107690215875165,True
252,NUE,0.0497354372361492,0.08037399707314075,0.0003574551999820298,0.030638559836991548,True
252,MPWR,0.046097224872026,0.21269362817826798,0.0008101987830122256,0.16659640330624198,True
252,VIST,0.0443422055403633,0.08774665998609846,0.00045100202841340557,0.04340445444573516,True
252,STLD,0.0435410525713299,0.027901514493658502,0.00039265623350144774,-0.015639538077671395,True
252,OXY,0.0422388603943087,0.07731171848199173,0.00023139945323065423,0.035072858087683026,True
252,YPF,0.0405271845870347,0.0,0.00026764130320661064,-0.0405271845870347,False
252,DOW,0.0374667717983052,0.0,0.0002766073330494594,-0.0374667717983052,False
252,HON,0.0317332531891169,0.0,0.00016592456660171142,-0.0317332531891169,False
252,MDB,0.0283513054893302,0.10346661211587352,0.0007039093391797904,0.07511530662654331,True
252,NXPI,0.0269556326686798,0.0,0.0002893941001998277,-0.0269556326686798,False
252,ADSK,0.0264867380627547,0.020862977263103866,0.00029804107785987716,-0.005623760799650834,True
252,MELI,0.0252164199273556,0.0,0.00017591134589112773,-0.0252164199273556,False
252,UPS,0.0224855231580329,0.0,0.00010002024405169295,-0.0224855231580329,False
252,LAR,0.0222553588180592,0.0,0.000494972426915671,-0.0222553588180592,False
252,ON,0.0164049542491225,0.0,0.0005316121058822256,-0.0164049542491225,False
252,AMD,0.0152354165673102,0.0,0.00038817106333578186,-0.0152354165673102,False
252,MCHP,0.015013352268419,0.0,0.00027610151314013206,-0.015013352268419,False
252,KMB,0.0144467072578633,0.0,6.192264709583894e-05,-0.0144467072578633,False
252,FCX,0.0105398134384801,0.0,0.00013864307753109475,-0.0105398134384801,False
252,CAT,0.0096995816602459,0.0,9.529442309059161e-05,-0.0096995816602459,False
252,AMAT,0.0077868256006078,0.0,0.00026353408114235515,-0.0077868256006078,False
252,MU,0.0073107102034688,0.0,0.0003381559343111941,-0.0073107102034688,False
252,KEEL,0.0069983337028542,0.0,0.0005034735563956098,-0.0069983337028542,False
252,DDOG,0.0022620307597557,0.0,5.627119380550501e-05,-0.0022620307597557,False
