metric,sample,scope,quintile,lifecycles,signal_dates,mean_exante_metric,mean_target_weight,mean_holding_sessions,exposure_nav_days,net_pnl_nav_units,net_active_pnl_nav_units,daily_net_on_exposure,daily_net_active_on_exposure,positive_pnl_rate,positive_active_rate
TARGET_WEIGHT,FINAL_HOLDOUT,PRIMARY_5PLUS_ENTRIES,1,34,28,0.006734549417001974,0.006734549417001974,14.323529411764707,8.806002282623218,-0.016807841244030668,-0.025895796618540686,-0.001908680091668541,-0.0029406983767924473,0.47058823529411764,0.4411764705882353
TARGET_WEIGHT,FINAL_HOLDOUT,PRIMARY_5PLUS_ENTRIES,2,36,28,0.00980261858203318,0.00980261858203318,24.305555555555557,23.0223957015031,0.034772649148335055,0.020350798295904245,0.0015103836107753458,0.0008839565855683546,0.6666666666666666,0.6111111111111112
TARGET_WEIGHT,FINAL_HOLDOUT,PRIMARY_5PLUS_ENTRIES,3,38,28,0.013770727613848911,0.013770727613848911,25.44736842105263,44.961797032289695,0.0016413939316664433,-0.049062820986629826,3.6506412999633054e-05,-0.0010912112999263562,0.5,0.5
TARGET_WEIGHT,FINAL_HOLDOUT,PRIMARY_5PLUS_ENTRIES,4,36,28,0.018216560564867455,0.018216560564867455,45.583333333333336,50.282736690442555,0.0504931695787924,-0.04337090966654408,0.0010041849927470206,-0.0008625407549622845,0.5833333333333334,0.4444444444444444
TARGET_WEIGHT,FINAL_HOLDOUT,PRIMARY_5PLUS_ENTRIES,5,43,28,0.024524739687403586,0.024524739687403586,46.06976744186046,53.53681470720731,0.07894778586978675,0.02377299458451083,0.0014746448084659493,0.00044404947725271425,0.5348837209302325,0.5348837209302325
TARGET_WEIGHT,FINAL_HOLDOUT,SPARSE_ENTRY_DATE,2,119,119,0.006269505123598808,0.006269505123598808,12.285714285714286,44.47376157404931,0.06584128507531856,-0.05314093296847962,0.00148045235538919,-0.0011948828047746618,0.5630252100840336,0.5126050420168067
TARGET_WEIGHT,FINAL_HOLDOUT,SPARSE_ENTRY_DATE,3,156,156,0.007886582794669056,0.007886582794669056,12.038461538461538,57.55662905089811,0.07929743668192127,-0.08844329529294383,0.001377728994722701,-0.0015366309103115163,0.5256410256410257,0.46794871794871795
TARGET_WEIGHT,FINAL_HOLDOUT,SPARSE_ENTRY_DATE,4,119,119,0.010074075575935166,0.010074075575935166,11.235294117647058,33.04158962727177,0.08459456482348533,-0.013821228708092187,0.0025602450056961823,-0.0004182979349360499,0.6302521008403361,0.5462184873949579
TARGET_WEIGHT,FINAL_HOLDOUT,SPARSE_ENTRY_DATE,5,338,338,0.013771202149522184,0.013771202149522184,16.683431952662723,159.04493245354132,0.17434979626634203,-0.306591847065798,0.0010962298111401407,-0.001927705852277668,0.5887573964497042,0.5207100591715976
TARGET_WEIGHT,PRE2025_OOF,PRIMARY_5PLUS_ENTRIES,1,156,123,0.004257307423646348,0.004257307423646348,26.897435897435898,186.5133731218915,0.22405569412760667,0.07762743786834887,0.0012012848750592284,0.0004162030666702771,0.5641025641025641,0.5128205128205128
