program_name,current_ratio,ratio_a,ratio_b,caja_code,market_id,origin_ticker
DANAHER CORP.,54:1,54,1,8648,DHR,DHR
DANONE,20:1,20,1,8053,BSN,BSN
DEERE & CO,40:1,40,1,8095,DE,DE
DELTA AIR LINES INC.,8:1,8,1,8633,DAL,DAL
DESPEGAR.COM CORP,1:1,1,1,8497,DESP,DESP
DEUTSCHE TELEKOM AG-SPON ADR,3:1,3,1,8189,DTEA,DTEA
DIAGEO PLC-SPONSORED ADR,6:1,6,1,8248,DEO,DEO
DOCUSIGN INC,22:1,22,1,8533,DOCU,DOCU
DOW INC,6:1,6,1,8569,DOW,DOW
DUPONT DE NEMOURS INC,5:1,5,1,8018,DD,DD
E.ON SE,6:1,6,1,8216,EOAN,EOAN
EBAY INC,2:1,2,1,8443,EBAY,EBAY
ELECTRONIC ARTS INC,14:1,14,1,8566,EA,EA
ELI LILLY & CO,56:1,56,1,8124,LLY,LLY
EMBOTELLADORA ANDINA S.A.,1:1,1,1,8558,AKO.B,AKO.B
EMBRAER SA-SPON ADR,1:1,1,1,8515,ERJ,ERJ
ENI SPA-SPONSORED ADR,4:1,4,1,8265,E,E
EQUIFAX INC,16:1,16,1,8544,EFX,EFX
EQUINOR ASA,6:1,6,1,8655,EQNR,EQNR
ERICSSON (LM) TEL-SP ADR,2:1,2,1,8056,ERIC,ERIC
ETSY INC,16:1,16,1,8534,ETSY,ETSY
EXXON MOBIL CORP,10:1,10,1,8019,XOM,XOM
FANNIE MAE,1:1,1,1,8102,FNMA,FNMA
FEDEX CORP,10:1,10,1,8101,FDX,FDX
FERRARI NV,83:1,83,1,8644,RACE,RACE
FIRST SOLAR INC,18:1,18,1,8439,FSLR,FSLR
FOMENTO ECONOMICO MEX-SP ADR,6:1,6,1,8191,FMX,FMX
FREDDIE MAC,1:1,1,1,8238,FMCC,FMCC
FREEPORT-MCMORAN INC,3:1,3,1,8434,FCX,FCX
GARMIN LTD,3:1,3,1,8487,GRMN,GRMN
GAZPROM PJSC-SPON ADR,2:1,2,1,8379,OGZD,OGZPY
GE AEROSPACE,8:1,8,1,8020,GE,GE
GENERAL MOTORS CO,6:1,6,1,8568,GM,GM
GEOPARK LTD,1:1,1,1,8535,GPRK,GPRK
GERDAU SA -SPON ADR,1:4,1,4,8509,GGB,GGB
GILEAD SCIENCES INC,4:1,4,1,8473,GILD,GILD
GLOBANT SA,18:1,18,1,8499,GLOB,GLOB
GOLD FIELDS LTD-SPONS ADR,1:1,1,1,8420,GFI,GFI
GOLDMAN SACHS GROUP INC,13:1,13,1,8494,GS,GS
GOODYEAR TIRE & RUBBER CO./THE,2:1,2,1,8649,GT,GT
GRUPO AEROPORTUARIO PAC-ADR,16:1,16,1,8405,PAC,PAC
GRUPO AEROPORTUARIO SUR-ADR,20:1,20,1,8406,ASR,ASR
GRUPO TELEVISA SA-SPON ADR,3:1,3,1,8219,TV,TV
GSK PLC,4:1,4,1,8052,GSK,GSK
HALLIBURTON CO,2:1,2,1,8536,HAL,HAL
HARLEY-DAVIDSON INC,3:1,3,1,8111,HOG,HOG
HARMONY GOLD MNG-SPON ADR,1:1,1,1,8421,HMY,HMY
HDFC BANK LTD-ADR,2:1,2,1,8368,HDB,HDB
HEALTH CARE SELECT SECTOR SPDR FUND/THE,29:1,29,1,8672,XLV,XLV
HECLA MINING CO,1:1,1,1,8419,HL,HL
HERSHEY CO/THE,21:1,21,1,8117,HSY,HSY
HOME DEPOT INC,32:1,32,1,8176,HD,HD
HON HAI PRECISION-GDR REG S,2:1,2,1,8412,HHPD,HNHPF
HONDA MOTOR CO LTD-SPONS ADR,1:1,1,1,8291,HMC,HMC
