signal_date,ticker,fold,expected_active_per_session,uncertainty_per_session,positive_active_horizon_share,effective_horizon_sessions,horizon_weight_5d,horizon_weight_10d,horizon_weight_20d,horizon_weight_60d,horizon_weight_120d,horizon_weight_252d,score_5d,score_10d,score_20d,score_60d,score_120d,score_252d,expected_active_total,model_target_weight,entry_ok,resize_band,seal_id,shadow_only,real_orders_sent,model_intent
2026-09-15,NKE,LIVE_SHADOW,0.00046522611691053335,0.0032273928422613812,0.9662217599288405,37.576830192512745,0.23235804369083912,0.168884261761475,0.3492814019130459,0.11092189145611632,0.10477616110736424,0.03377824007115952,0.8087431693989071,0.8852459016393442,0.9890710382513661,0.9836065573770492,0.9180327868852459,0.825136612021858,0.017481722796269195,0.08594834493149593,True,0.009832937626700995,46bbbf853561e26625ee3ecbccb6037051556f2f3ca26dcb4e311c165c08d8e9,True,False,ELIGIBLE_ENTRY
2026-09-15,FDX,LIVE_SHADOW,0.00030196258388077226,0.002879648375529871,0.8254816406668909,41.088950041404914,0.13585808209914993,0.22512771782685523,0.3694692435474119,0.11132589660633672,0.11955878268628709,0.03866027723395921,0.47540983606557374,0.9617486338797814,0.907103825136612,0.8688524590163934,0.8907103825136612,0.8032786885245902,0.012407325523450592,0.083493350699201,True,0.013458718487137866,46bbbf853561e26625ee3ecbccb6037051556f2f3ca26dcb4e311c165c08d8e9,True,False,ELIGIBLE_ENTRY
2026-09-15,TTWO,LIVE_SHADOW,0.0003687161116796579,0.0029825731476894194,0.8165593028062741,40.17305934091794,0.18344069719372588,0.20647713346427785,0.33970038163786853,0.11655519615582585,0.11636769660585192,0.037458894942449916,0.6666666666666666,0.9836065573770492,0.9289617486338798,0.9781420765027322,0.9508196721311475,0.8524590163934426,0.014812454234459423,0.05764761905263845,True,0.007783668815465851,46bbbf853561e26625ee3ecbccb6037051556f2f3ca26dcb4e311c165c08d8e9,True,False,ELIGIBLE_ENTRY
2026-09-15,ZTS,LIVE_SHADOW,0.0003129952165535081,0.0035068670519902,1.0,35.6093798975856,0.2734461090117997,0.167663124463254,0.33871457973517805,0.09128886499098372,0.0921644733300169,0.03672284846876763,0.9180327868852459,0.8907103825136612,0.9781420765027322,0.8633879781420765,0.8469945355191257,0.8852459016393442,0.011145565572380941,0.056734057937130024,True,0.010180561510080528,46bbbf853561e26625ee3ecbccb6037051556f2f3ca26dcb4e311c165c08d8e9,True,False,ELIGIBLE_ENTRY
2026-09-15,VIST,LIVE_SHADOW,0.0005603832638103361,0.0034154184359065074,1.0000000000000002,36.85411686273497,0.26112697849994176,0.18454536843563218,0.32323836625415037,0.0926314534002845,0.10008333532226464,0.03837449808772659,0.9234972677595629,0.994535519125683,0.9836065573770492,0.907103825136612,0.9344262295081968,0.9508196721311475,0.020652430292386968,0.05585299636912263,True,0.005408854607267361,46bbbf853561e26625ee3ecbccb6037051556f2f3ca26dcb4e311c165c08d8e9,True,False,ELIGIBLE_ENTRY
2026-09-15,NUE,LIVE_SHADOW,0.0003735588844127888,0.002855416235862132,0.850630666090346,42.457124540784136,0.14936933390965396,0.2048503774034266,0.3641486782329066,0.11470193955788854,0.1255272189905543,0.04140245190557002,0.5792349726775956,0.9562841530054644,0.9562841530054644,0.9453551912568307,0.9836065573770492,0.8961748633879781,0.01586023607883016,0.05544649819342715,True,0.00699188813052231,46bbbf853561e26625ee3ecbccb6037051556f2f3ca26dcb4e311c165c08d8e9,True,False,ELIGIBLE_ENTRY
2026-09-15,MPWR,LIVE_SHADOW,0.0008149621101023771,0.003457800425417207,1.0,36.155152315132256,0.2690467160166067,0.17986330114072316,0.31973084064186835,0.09633132030276434,0.09992591989141436,0.035101902006623185,0.9672131147540983,1.0,1.0,0.9562841530054644,0.9562841530054644,0.912568306010929,0.029465079221813028,0.04925767892143663,True,0.003343461495597889,46bbbf853561e26625ee3ecbccb6037051556f2f3ca26dcb4e311c165c08d8e9,True,False,ELIGIBLE_ENTRY
2026-09-15,STLD,LIVE_SHADOW,0.00038159745711790176,0.0032580075225684233,1.0,38.608740946008254,0.23878735840272972,0.1896631990640075,0.32197015330663026,0.09977219706729511,0.11105265114370311,0.03875444101563432,0.8360655737704918,0.9781420765027322,0.9453551912568307,0.9234972677595629,0.9726775956284153,0.9234972677595629,0.014732997367520562,0.04919828048279559,True,0.006678651907079685,46bbbf853561e26625ee3ecbccb6037051556f2f3ca26dcb4e311c165c08d8e9,True,False,ELIGIBLE_ENTRY
2026-09-15,YPF,LIVE_SHADOW,0.00031415624988718143,0.003326357500331248,0.9122731196987715,36.39480355064414,0.24170135642633428,0.19087598208869816,0.33930733965464843,0.10111313930700902,0.08772688030122851,0.03927530222208159,0.8306010928961749,0.9672131147540983,0.9672131147540983,0.9180327868852459,0.8087431693989071,0.9180327868852459,0.011433654998851038,0.047986764990141526,True,0.008393950140171922,46bbbf853561e26625ee3ecbccb6037051556f2f3ca26dcb4e311c165c08d8e9,True,False,ELIGIBLE_ENTRY
2026-09-15,CEPU,LIVE_SHADOW,0.00035789245321265985,0.0034153281736340048,0.9999999999999998,36.80162156151759,0.26290986584892795,0.18241210151622683,0.3191652202743671,0.10292810961628347,0.09323776406735355,0.0393469386768409,0.8907103825136612,0.9453551912568307,0.9344262295081968,0.9398907103825137,0.8524590163934426,0.9289617486338798,0.013171022622855449,0.04588680522757134,True,0.006967842443447747,46bbbf853561e26625ee3ecbccb6037051556f2f3ca26dcb4e311c165c08d8e9,True,False,ELIGIBLE_ENTRY
2026-09-15,VLO,LIVE_SHADOW,0.00023153941598743534,0.0034134417214642257,0.880016621243037,34.114795166993375,0.25309174468012774,0.18639722648649246,0.34500950097413235,0.09551814910228437,0.09001307752762565,0.0299703012293374,0.825136612021858,0.912568306010929,0.9398907103825137,0.8469945355191257,0.7923497267759563,0.73224043715847,0.007898919749496627,0.03799749667978509,True,0.009620934984738021,46bbbf853561e26625ee3ecbccb6037051556f2f3ca26dcb4e311c165c08d8e9,True,False,ELIGIBLE_ENTRY
2026-09-15,DOW,LIVE_SHADOW,0.00024309660761309118,0.0032995710050072453,1.0000000000000002,40.72895884620068,0.25719220906969237,0.18850198208943073,0.27890494844662567,0.11234254360306106,0.12008613209498661,0.042972184696203744,0.8469945355191257,0.9344262295081968,0.819672131147541,0.9672131147540983,0.9890710382513661,0.9562841530054644,0.009901071727124587,0.03315180420743563,True,0.006696609240111704,46bbbf853561e26625ee3ecbccb6037051556f2f3ca26dcb4e311c165c08d8e9,True,False,ELIGIBLE_ENTRY
