asof,rg_sy,rg_trend,sy_trend
2014-01-31,0.22260869565217392,0.020869565217391306,-0.25130434782608696
2014-02-28,0.12307692307692308,0.05,0.19692307692307692
2014-03-31,0.14384615384615385,-0.07230769230769231,-0.49230769230769234
2014-04-30,0.07692307692307693,0.2169230769230769,-0.14846153846153845
2014-05-30,-0.022307692307692306,0.3007692307692308,-0.26461538461538464
2014-06-30,-0.02,0.10384615384615385,-0.2323076923076923
2014-07-31,-0.027692307692307693,0.2453846153846154,0.11615384615384615
2014-08-29,0.016068376068376067,0.49273380785112003,-0.2838092023014779
2014-09-30,0.042735042735042736,0.0105982905982906,-0.2041025641025641
2014-10-31,0.017435897435897435,0.03592200635609462,-0.2015053499403784
2014-11-28,0.08991452991452992,-0.029064797826054964,-0.33851940997405194
2014-12-31,0.006495726495726496,0.07076923076923076,-0.27658119658119656
2015-01-30,-0.05982905982905983,0.20766340817285175,-0.05302772366852063
2015-02-27,0.009230769230769232,0.25884767005086595,0.021200205473122444
2015-03-31,0.017435897435897435,0.28073175311989557,-0.08001367872113954
2015-04-30,-0.022905982905982905,0.3360683760683761,-0.015384615384615385
2015-05-29,-0.016068376068376067,0.14598290598290597,-0.13230769230769232
2015-06-30,0.006495726495726496,0.13367521367521368,0.10256410256410256
2015-07-31,-0.035897435897435895,0.057777777777777775,-0.23687423687423687
2015-08-31,-0.057777777777777775,0.12,-0.028083028083028084
2015-09-30,-0.04888888888888889,0.009232347544746871,-0.25828118145521467
2015-10-30,-0.07145299145299146,0.13230769230769232,-0.4261294261294261
2015-11-30,-0.061196581196581196,0.16444444444444445,-0.554945054945055
2015-12-31,-0.040683760683760686,0.06393162393162394,-0.5323565323565324
2016-01-29,-0.10905982905982906,0.0441025641025641,-0.4053724053724054
2016-02-29,0.014700854700854702,-0.014361429514050688,-0.08609372715173823
2016-03-31,-0.021538461538461538,0.09948717948717949,0.13614163614163613
2016-04-29,0.0037606837606837607,0.016752136752136753,0.2765567765567766
2016-05-31,-0.08302808302808302,0.002442002442002442,-0.14652014652014653
2016-06-30,-0.10378510378510379,0.015873015873015872,0.13736263736263737
2016-07-29,-0.10195360195360195,0.2863247863247863,0.14041514041514042
2016-08-31,-0.10073260073260074,0.1623931623931624,-0.24603174603174602
2016-09-30,-0.10683760683760683,-0.11416361416361416,-0.2606837606837607
2016-10-31,-0.10012210012210013,0.12515262515262515,0.12515262515262515
2016-11-30,-0.10195360195360195,-0.2661782661782662,0.2509157509157509
2016-12-30,-0.09340659340659341,-0.2213402559752135,0.2668294947894298
2017-01-31,-0.11355311355311355,-0.1862026862026862,-0.045177045177045176
2017-02-28,-0.1111111111111111,0.11782661782661782,0.23504273504273504
2017-03-31,-0.12454212454212454,0.2802197802197802,0.12698412698412698
2017-04-28,-0.11843711843711843,0.21428571428571427,-0.08058608058608059
2017-05-31,-0.1452991452991453,0.3614163614163614,-0.11904761904761904
2017-06-30,-0.163003663003663,0.18742368742368742,-0.24053724053724054
2017-07-31,-0.18437118437118438,0.11477411477411477,-0.13064713064713065
2017-08-31,-0.19108669108669107,0.30952380952380953,0.0006105006105006105
2017-09-29,-0.19230769230769232,0.37423687423687424,0.31807081807081805
2017-10-31,-0.14163614163614163,0.11843711843711843,0.0115995115995116
2017-11-30,-0.1343101343101343,-0.28144078144078144,-0.11660561660561661
2017-12-29,-0.08180708180708181,-0.10989010989010989,0.1385836385836386
2018-01-31,-0.07326007326007326,0.018925518925518924,0.3083028083028083
2018-02-28,-0.07334428024083196,0.10180623973727422,0.331143951833607
2018-03-29,-0.10071154898741105,0.33420008524271083,0.12834092965928562
2018-04-30,-0.10290093048713739,0.21784345922276957,0.15714285714285714
2018-05-31,-0.11056376573617953,0.4318555008210181,-0.0645320197044335
2018-06-29,-0.11713191023535852,0.16803503010399562,0.035467980295566505
2018-07-31,-0.11986863711001643,-0.07827038861521621,-0.12118226600985221
2018-08-31,-0.22714833059660647,-0.013300492610837438,-0.05123152709359606
2018-09-28,-0.24630541871921183,-0.08719211822660099,0.03842364532019704
2018-10-31,-0.1982202447163515,-0.031464302680987745,0.05302953953756723
2018-11-30,-0.20241935483870968,-0.16868354636172012,-0.23077628178676526
2018-12-31,-0.16008064516129034,-0.05682338947886992,-0.15433965787486603
2019-01-31,-0.10962566844919786,0.42308771624336977,-0.1841662931826602
2019-02-28,0.10106018250081249,0.12307178260594138,-0.11898254860394704
2019-03-29,-0.057714237911082114,0.24442629147799796,-0.36468953032427576
2019-04-30,-0.03837532002690174,0.13389888642194922,-0.24746627551853972
2019-05-31,-0.04434289061118064,-0.015328788961019187,-0.3106166417117412
2019-06-28,-0.04410817772054089,-0.0032901653743533845,-0.35273282412427
2019-07-31,-0.04427583304841806,-0.067935012102643,-0.22431344528062055
2019-08-30,-0.06415995583452348,-0.009453389247611509,-0.18064946404691445
2019-09-30,-0.042155083207518367,-0.25955998512437517,-0.04758587563783962
2019-10-31,-0.06510809116941567,-0.09675698335106232,0.1100725584046508
2019-11-29,-0.06739096359575218,-0.11235841668244581,0.05005304783145089
2019-12-31,-0.08660154946806539,0.01918854177063579,0.014522245218285112
2020-01-31,-0.09582503984281178,0.09088037068313802,-0.2903150960789798
2020-02-28,-0.23837492878056848,0.2897164564186196,-0.2837036643723809
2020-03-31,-0.24895169124514147,0.3302163826538219,-0.33140869558220476
2020-04-30,-0.2399586256054079,0.3199381988342171,-0.3631852006629548
2020-05-29,-0.25096611437058036,0.3978573882902287,-0.31370513128802147
2020-06-30,-0.2541245652345075,0.29393349994563234,-0.23001796354685375
2020-07-31,-0.2783209219898881,0.35568068854093915,-0.17258600076536157
2020-08-31,-0.25966905154373227,0.2593547634899053,-0.21429362651174175
2020-09-30,-0.2687438441482371,0.11380186246088896,-0.2643104341979413
2020-10-30,-0.2609017117712964,-0.012910746081587,-0.1365875357800605
2020-11-30,-0.21342451347699953,-0.1822513818074425,0.03775435796007579
2020-12-31,-0.22706104271885133,-0.11591226410428859,-0.01528947858446512
2021-01-29,-0.24223758052760186,-0.044169792839219214,-0.04916034116878877
2021-02-26,-0.16565242291258425,-0.3600567521673072,-0.0184981138433286
2021-03-31,-0.12097221299039658,-0.4940063902046653,0.11819873313732787
2021-04-30,-0.12596581444968635,-0.4924065198997949,0.17594186708399176
2021-05-28,-0.11219688461614308,-0.3437923129550501,0.11549703873517245
2021-06-30,-0.1162042889220308,-0.024689013392508282,0.043604291572144176
2021-07-30,-0.11128895707809039,0.09388797032800071,-0.1300489834362584
2021-08-31,-0.1144875753587013,0.3777195619068315,-0.3117833774429645
2021-09-30,-0.1131511457893763,0.10350701678090511,-0.09747794796233036
2021-10-29,-0.11329907912246431,0.08077481544378137,-0.12826044128214953
2021-11-30,-0.16343229517750102,0.3396459051835691,-0.19523072045266085
2021-12-31,-0.17864005517616433,0.17828046065587808,-0.12763829880791233
2022-01-31,-0.1458952390426043,-0.21374353002820262,0.19235403151065802
2022-02-28,-0.12164750729671744,0.04799724437500969,0.1839198348719093
2022-03-31,-0.16520854384924566,0.12680182786336594,0.23568549239953682
2022-04-29,-0.1470576567236092,-0.016699283710437777,0.1195003807371053
2022-05-31,-0.17425131674868527,-0.012167211673631379,0.13645688609734283
2022-06-30,-0.14473803962372717,-0.18550910742209065,-0.08037591873444128
2022-07-29,-0.1899962428783676,0.08994819172407004,-0.14608863225007163
2022-08-31,-0.20636191161224374,0.017985067074727832,0.09546141589035831
2022-09-30,-0.20925180037430985,0.12271025721863353,-0.01500336211395176
2022-10-31,-0.1885037407647682,-0.029588382907103198,0.020149390899498482
2022-11-30,-0.20434890157331478,-0.054805481517917955,0.06558312795435631
2022-12-30,-0.19068565907934715,-0.1773228574265375,0.09405581153832054
2023-01-31,-0.20272704785285237,0.08748246659322749,0.059781014151271725
2023-02-28,-0.06112404964039186,0.11631893229147708,-0.07620069639393051
2023-03-31,-0.08346070824543826,0.24278357174576004,-0.12635510946201642
2023-04-28,-0.07142873811504599,0.08323226870017064,-0.15098070332471114
2023-05-31,-0.11596056239710102,0.2733398889530077,-0.30459005089401303
2023-06-30,-0.13451257219861742,0.30469589025248484,-0.287555225781878
2023-07-31,-0.11045329911011,0.2847290374642711,-0.3001279749467676
2023-08-31,-0.14017618575689167,0.18179911990646133,-0.15793247057259985
2023-09-29,-0.1267697333908902,0.2251014868400777,0.06922060887843311
2023-10-31,-0.1160189020505649,0.023408559841246037,0.11792024184852412
2023-11-30,-0.07804212123171234,0.1898044690129632,-0.01223467469324418
2023-12-29,-0.07808179219606778,0.06987660944206009,-0.13982039824736453
2024-01-31,-0.09801929334785871,0.19094523532613267,-0.2980753534017034
2024-02-29,-0.20932500670301188,0.2522915060645243,-0.17658236970089167
2024-03-28,-0.18490481723120922,0.1754995238383373,-0.028291305261276586
2024-04-30,-0.19640941996603808,0.014314012168183623,-0.052093224865602764
2024-05-31,-0.18916223840451354,-0.09989812482172773,-0.16486585187532363
2024-06-28,-0.19844737475125193,0.11990850872591259,-0.24308733213581668
2024-07-31,-0.2380852413129524,-0.0031149158599354616,-0.15206267290076775
2024-08-30,-0.28965754772682545,0.16883482855848933,-0.18990544419254712
2024-09-30,-0.29745566270856566,0.17796406762584888,-0.16830239016816462
2024-10-31,-0.2952098230881935,0.2598759363020983,-0.21667308129876062
2024-11-29,-0.316382383170417,0.28872077519142425,-0.10657062321323246
2024-12-31,-0.3377517549038903,0.21894495797398705,-0.14371825782742972
2025-01-31,-0.3169609983731484,0.2684690902346453,-0.16537482634881828
2025-02-28,-0.39270161409402726,0.03629013311281611,-0.03318695113371114
2025-03-31,-0.41361641666121923,-0.0896448379683118,0.11672803556075363
2025-04-30,-0.4317062539117203,0.12090715392831147,-0.15798380261214626
2025-05-30,-0.43069194885735945,0.23192322052148107,-0.18829431755851972
2025-06-30,-0.44178643430733083,0.2279161875370604,-0.3294291217146398
2025-07-31,-0.44158105849053875,0.22653892554473531,-0.243181618150435
2025-08-29,-0.43013030886858117,0.13980540390220542,-0.17780767576594508
2025-09-30,-0.44063381492737536,0.14219236293880125,-0.2566237968965436
2025-10-31,-0.44486288021601195,0.16737918757975262,-0.30189600581697706
2025-11-28,-0.46928164569826847,0.011308823052402368,-0.12132338302201937
2025-12-31,-0.4832136704945302,0.07039233292128828,-0.14726342824207178
2026-01-30,-0.5174820924964062,-0.2530645233314202,0.10879793113227391
2026-02-27,-0.5179347575619887,-0.34153682387221046,0.15332304362494156
2026-03-31,-0.5221093353890274,-0.27708216575310635,0.1626660295857151
2026-04-30,-0.5026531202553791,-0.13233610590920897,-0.05008864690966474
2026-05-29,-0.5267198129088493,0.12218793466412248,-0.3452021435871173
2026-06-30,-0.5125467858785968,0.06977850831945603,-0.4640267491614715
2026-07-31,-0.5199801330435097,0.08515502459175374,-0.21986426465768857
2026-08-31,-0.5655463206405491,0.15471605587982012,-0.1934607074676644
2026-09-02,-0.5630524714366455,0.043782923909459585,-0.04823801725156372
