strategy,sample,model,months,alpha_ann,alpha_hac_t,p_value_normal_approx,residual_vol_ann,r2,p_holm_across_v10_strategies
FULL_ALPHA_RISK,POST2021,FF5,66,0.2418642597968702,2.8867386756794273,0.003892573860485196,0.18128094111184243,0.3165282578750036,
FULL_ALPHA_RISK,POST2021,FF5_MOM,66,0.2154134001801603,2.6801042195815974,0.007359924146169935,0.1771083126431464,0.34762973136241815,
FULL_ALPHA_RISK,FULL,CAPM,149,0.21004245320625436,3.7739719318197658,0.00016066884548963573,0.22893134594133902,0.23212869624647547,
FULL_ALPHA_RISK,FULL,FF3,149,0.21267473093648376,3.8617089825009425,0.0001125966399163639,0.2287859264367493,0.23310390564159722,
FULL_ALPHA_RISK,FULL,FF5,149,0.21312210396229547,3.925131192268608,8.66824829871532e-05,0.22795165592157124,0.23868669906626006,
FULL_ALPHA_RISK,FULL,FF5_MOM,149,0.20066521514006963,3.638443847686689,0.00027429041542570713,0.2267696691111201,0.24656143259509689,0.0019200329079799498
RG_ONLY,PRE2021,CAPM,83,0.06909645572831183,1.5260085751350518,0.12700772893074205,0.11439044662311781,0.6948609301059032,
RG_ONLY,PRE2021,FF3,83,0.05393231132980393,1.185743231590751,0.2357237161914506,0.11218706566277355,0.7065028525901522,
RG_ONLY,PRE2021,FF5,83,0.06055372958594372,1.4953116038828944,0.13483313807923986,0.10792339680382286,0.7283876464707398,
RG_ONLY,PRE2021,FF5_MOM,83,0.06218972241170061,1.6020006099531128,0.10915547461183411,0.10276630222684299,0.7537253182270004,
RG_ONLY,POST2021,CAPM,66,0.05964350065063484,1.760847726501134,0.07826417942827084,0.09303723855480385,0.8254190920139542,
RG_ONLY,POST2021,FF3,66,0.08754414955617468,2.142337628519063,0.03216632295567331,0.08765940123034814,0.8450184056303205,
RG_ONLY,POST2021,FF5,66,0.08617982277933593,2.3525860189912122,0.01864337714127245,0.07541904643802964,0.8852783990654578,
RG_ONLY,POST2021,FF5_MOM,66,0.092044981929336,2.5689479303042493,0.010200778365922793,0.07493000684764803,0.8867613536178074,
RG_ONLY,FULL,CAPM,149,0.06368886764800193,2.13787786695959,0.0325266570388224,0.10574978715350607,0.7544593960120796,
RG_ONLY,FULL,FF3,149,0.05848412061298608,2.060768095099893,0.039325169649507635,0.10313998853383483,0.7664292401824395,
RG_ONLY,FULL,FF5,149,0.06314694204001207,2.341537722427983,0.019204485143268175,0.09622966089712684,0.7966790048296775,
RG_ONLY,FULL,FF5_MOM,149,0.0727233351189415,2.627859153117882,0.008592408420672493,0.09456480391257846,0.8036534075248569,0.017184816841344985
RG_SY_EQUAL,PRE2021,CAPM,83,0.034524926041922976,0.9776903828998728,0.3282274796861335,0.10122925604062107,0.737144841924158,
RG_SY_EQUAL,PRE2021,FF3,83,0.039625787896869755,1.1117209867294375,0.2662581334646108,0.09827526836063027,0.752261849903536,
RG_SY_EQUAL,PRE2021,FF5,83,0.040959096466367424,1.1285261273913505,0.25909778903934344,0.09721549862939848,0.7575761022771752,
RG_SY_EQUAL,PRE2021,FF5_MOM,83,0.04227857991925424,1.188573475283547,0.2346075507205465,0.09350966855533709,0.7757061070811048,
RG_SY_EQUAL,POST2021,CAPM,66,0.0949001872377145,2.9407600197143706,0.0032740808053099914,0.08106903566717248,0.7825213726510738,
RG_SY_EQUAL,POST2021,FF3,66,0.06722566408245412,2.156982281747557,0.031007045016838482,0.07504771170938421,0.8136276512358007,
RG_SY_EQUAL,POST2021,FF5,66,0.07155402533994135,2.564563846355738,0.01033055713244621,0.06723172600690837,0.8504263503173008,
RG_SY_EQUAL,POST2021,FF5_MOM,66,0.07972314047521223,3.146287262055763,0.0016535750797343825,0.06616242900704947,0.8551463472654225,
RG_SY_EQUAL,FULL,CAPM,149,0.0625546812825664,2.482207186844526,0.013057133139345685,0.09336213321220549,0.7500837664499442,
RG_SY_EQUAL,FULL,FF3,149,0.056344855394918035,2.586952812350435,0.009682885151494746,0.08940953723762943,0.7707968253272732,
