date,nav,net_return,turnover,entry_exit_notional,resize_notional,cost_fraction,holdings,cash_weight,max_name_weight,requested,executed,blocked,deviation
2019-01-02,1.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0
2019-01-03,0.9990619454853508,-0.0009380545146492336,0.9380545146492042,0.9380545146492043,0.0,0.0009380545146492042,21,0.061945485350795804,0.09876077928121187,0.9380545146492042,0.9380545146492042,0.0,0.0
2019-01-04,1.0385501020158687,0.03952523335410829,0.2501829578417572,0.24053194021961283,0.20027007295394295,0.0004408020131735558,22,0.0,0.09307504089051015,0.4408020131735558,0.4408020131735558,0.0,0.0
2019-01-07,1.0528451450373386,0.013764423106523704,0.0854387031131168,0.074841552317157,0.07482282494262629,0.00014966437725978332,21,0.021213028966450276,0.0917546520757791,0.14966437725978332,0.14966437725978332,0.0,0.0
2019-01-08,1.0591282754243523,0.005967763081427213,0.1322867575166757,0.1421639387907384,0.10132752515380897,0.0002434914639445474,21,0.0,0.1092629049989781,0.24349146394454738,0.24349146394454738,0.0,0.0
2019-01-09,1.0752798838141664,0.01524990765008405,0.1371352180451401,0.1740955656325595,0.09782308136689985,0.0002719186469994594,20,0.0023517890908207884,0.09207311132067916,0.2719186469994594,0.2719186469994594,0.0,0.0
2019-01-10,1.0827333891222866,0.006931688595978924,0.16486103618287698,0.24655351832966643,0.08137396626339904,0.0003279274845930655,21,0.004129421308236569,0.09126950627900535,0.3279274845930655,0.3279274845930655,0.0,0.0
2019-01-11,1.0813678627280872,-0.0012611843394857436,0.06381107008745575,0.04525080373063135,0.07823721117603785,0.0001234880149066692,23,0.0,0.08889284707416703,0.12348801490666922,0.12348801490666922,0.0,0.0
2019-01-14,1.0767928636452235,-0.0042307518473146954,0.06130389346942154,0.03308697044003972,0.08952081649880327,0.00012260778693884297,24,1.1102230246251565e-16,0.09211215790103369,0.12260778693884297,0.12260778693884297,0.0,0.0
2019-01-15,1.085220014277082,0.007826157579954973,0.09454247061687154,0.02712240616374737,0.16196253506999564,0.00018908494123374297,24,0.0,0.08017685703540425,0.18908494123374298,0.18908494123374298,0.0,0.0
