sample,benchmark,n,alpha_ann,beta,r2
PRE2025,SPY,1510,0.08304977121144518,1.2006607635807895,0.7658524630401371
PRE2025,QQQ,1510,0.06591156301710914,0.976312774490073,0.7619253161910826
PRE2025,UEW,1510,0.0099722836552219,0.7703157541799595,0.5283077724617598
HOLDOUT_POSTHOC,SPY,420,0.03540521863372265,1.0510579642957534,0.6168813184725453
HOLDOUT_POSTHOC,QQQ,420,0.05403809353381708,0.7676220476923955,0.5628554194058065
HOLDOUT_POSTHOC,UEW,420,0.17330378244637237,0.07211278992863863,0.04780979132334462
