ticker,target_weight,vehicle,byma_ticker,ratio,unit_usd,q_star,quantity,actual_weight,weight_error,signal_date,price_date
AMAT,0.017209483108857702,CEDEAR_BANCO_COMAFI,AMAT,5:1,90.94199829101564,0.06063493964685567,0,0.0,-0.017209483108857702,2026-09-04,2026-09-04
AMD,0.021093954423638508,CEDEAR_BANCO_COMAFI,AMD,10:1,47.75700073242188,0.14152741530591276,0,0.0,-0.021093954423638508,2026-09-04,2026-09-04
ARM,0.007886974654420344,CEDEAR_BANCO_COMAFI,ARM,27:1,9.336666531032986,0.2706688099408611,0,0.0,-0.007886974654420344,2026-09-04,2026-09-04
CAT,0.024374456447536077,CEDEAR_BANCO_COMAFI,CAT,20:1,40.697000122070314,0.19190759297966165,0,0.0,-0.024374456447536077,2026-09-04,2026-09-04
CEPU,0.09709291978640155,LOCAL_BYMA_SHARE,CEPU,1 ADR:10 LOCAL,1.4039999961853027,22.15848535789651,22,0.09639847673702222,-0.0006944430493793369,2026-09-04,2026-09-04
DOW,0.0891120033235274,CEDEAR_BANCO_COMAFI,DOW,6:1,4.9066667556762695,5.819280078862671,6,0.09187940994337937,0.0027674066198519753,2026-09-04,2026-09-04
FDX,0.1601336855731498,CEDEAR_BANCO_COMAFI,FDX,10:1,32.25199890136719,1.5909102467808154,2,0.201310772744318,0.04117708717116819,2026-09-04,2026-09-04
GOOGL,0.0327797418181028,CEDEAR_BANCO_COMAFI,GOOGL,58:1,5.835517094053071,1.7998893164172742,2,0.03642417510800244,0.0036444332898996415,2026-09-04,2026-09-04
KEEL,0.018253269501534698,CEDEAR_CAJA_DE_VALORES,KEEL,1:5,17.350000143051147,0.33710158878726104,0,0.0,-0.018253269501534698,2026-09-04,2026-09-04
LAR,0.035947177602610535,CEDEAR_BANCO_COMAFI,LAR,1:1,6.789999961853027,1.6963467911839414,2,0.042381873552543706,0.006434695949933171,2026-09-04,2026-09-04
MU,0.013561415963967519,CEDEAR_CAJA_DE_VALORES,MU,5:1,203.31800537109376,0.02137217948426845,0,0.0,-0.013561415963967519,2026-09-04,2026-09-04
NKE,0.01823074643164933,CEDEAR_BANCO_COMAFI,NKE,12:1,3.2000001271565752,1.8254673560965318,2,0.019973785201651426,0.0017430387700020956,2026-09-04,2026-09-04
NUE,0.09178714062644962,CEDEAR_BANCO_COMAFI,NUE,16:1,16.316875457763672,1.8024551131530098,2,0.10184679768905607,0.010059657062606447,2026-09-04,2026-09-04
ORCL,0.013814944830242471,CEDEAR_BANCO_COMAFI,ORCL,3:1,52.926666259765625,0.08363618824545808,0,0.0,-0.013814944830242471,2026-09-04,2026-09-04
OXY,0.092212794522113,CEDEAR_CAJA_DE_VALORES,OXY,5:1,12.00800018310547,2.4605948676071847,2,0.07495162713379608,-0.017261167388316928,2026-09-04,2026-09-04
VIST,0.16034166239769487,CEDEAR_BANCO_COMAFI,VIST,3:1,24.57666778564453,2.090465473740057,2,0.15340283244269728,-0.0069388299549975885,2026-09-04,2026-09-04
YPF,0.05026875926155595,LOCAL_BYMA_SHARE,YPFD,1 ADR:10 LOCAL,5.261999893188476,3.061025497822226,3,0.04926658660372457,-0.0010021726578313753,2026-09-04,2026-09-04
