capital_usd,pass,pre_cagr,pre_retention,pre_dd,pre_turnover,hold_cagr,hold_retention,hold_dd,hold_turnover,pre_median_holdings,hold_median_holdings,pre_mean_cash,hold_mean_cash
320.42,False,0.28977029806208043,0.8990552818753733,-0.3696706962570069,15.88416428273572,0.14387104336421608,0.47585681677211106,-0.23994152348388298,21.083089716821007,23.0,14.0,0.04380789437243126,0.1272464782459962
500.0,False,0.29411569640078117,0.9125375240319672,-0.37033585325560303,15.496915972294067,0.1387933675520978,0.45906228611427397,-0.2511582472685039,20.71127235891151,23.0,16.0,0.04080121151656561,0.08641669154146438
750.0,False,0.29725277215397594,0.922270766342912,-0.37114099490786634,15.519652451577546,0.1723255512455426,0.5699707623347854,-0.2500928445715179,21.42155793999487,24.0,18.0,0.03992310487432225,0.05172671754641032
1000.0,False,0.2955228014567386,0.9169032759436454,-0.37539977655348655,15.323959134179546,0.23037763479894613,0.7619793767213413,-0.24739632459228345,20.323031097263613,24.0,19.0,0.03837121210717606,0.034740307939059724
1500.0,False,0.2965084217150906,0.919961308823899,-0.3716198013816975,15.36271110220356,0.22550886408668425,0.7458758045322869,-0.25806104983296496,19.23647365363744,24.0,20.0,0.037912903492551324,0.030310037351832336
2000.0,False,0.29458723782383545,0.9140005511601967,-0.37188586021651693,15.392307900699334,0.22836339729779986,0.7553172394134744,-0.25665360703799944,18.83344194011299,24.0,20.0,0.037465635906426764,0.02724802145974603
3000.0,False,0.2946597187026585,0.9142254338254548,-0.37411236489206934,15.3954313588006,0.23164325476167646,0.766165444137169,-0.2574633820187122,18.493958615293078,24.0,20.0,0.03719452877125995,0.02528401867282876
5000.0,False,0.295554790533775,0.917002526794627,-0.3719350861658882,15.429086087695355,0.22573194063603275,0.7466136353993416,-0.2588070500576303,18.51965547631614,24.0,21.0,0.037083214611104955,0.02416253139274698
7500.0,False,0.296478425503379,0.9198682411328488,-0.3712701465389231,15.423073027578306,0.22678581572578072,0.7500993517308298,-0.2576138363406455,18.480336816930702,24.0,21.0,0.03704919032795497,0.022718276534854774
10000.0,False,0.2962414317060895,0.9191329327639449,-0.3721577064409922,15.428497379650251,0.2304060583472025,0.7620733882672255,-0.25586063369638357,18.39610030069194,24.0,21.0,0.0370106162406613,0.022560834615160757
15000.0,False,0.29592198253457225,0.9181417943799765,-0.3725485797227793,15.422089201167923,0.22959260918624658,0.7593828862781733,-0.25706986767032913,18.491870560187735,24.0,21.0,0.03695058299006989,0.02198937003039075
20000.0,False,0.2958502347919443,0.9179191863783845,-0.3722201562913434,15.42487604974854,0.23208915562029797,0.7676402715813715,-0.25664131726835504,18.49291673254933,24.0,21.0,0.0368616151470903,0.021981636620616172
30000.0,False,0.2958730209678837,0.9179898838652183,-0.3721569777146937,15.427452166934103,0.23083021528222947,0.7634762971792209,-0.25696075346193126,18.479458800230688,24.0,21.0,0.03686078319857484,0.02163941006651613
50000.0,False,0.29588429569890384,0.9180248653886636,-0.37222655532705884,15.427028540108727,0.22972878286698473,0.7598332838893185,-0.25687765522650974,18.495997832091117,24.0,21.0,0.036828698401172734,0.021619077861789106
75000.0,False,0.29592790769605215,0.9181601780713351,-0.3723186124506309,15.42695844648149,0.23031597773791734,0.7617754445602433,-0.2569901485040952,18.49684513674607,24.0,21.0,0.03682081866329314,0.021513128625184418
100000.0,False,0.2958948425470147,0.9180575885475402,-0.3722446364343568,15.42562311716995,0.2306364889398147,0.7628355428031439,-0.2568328484750778,18.498801319499147,24.0,21.0,0.03681657287107131,0.021475998831249746
150000.0,False,0.2959359314131682,0.9181850728424752,-0.37226020746517774,15.425443446263492,0.2302511066758488,0.7615608820160737,-0.2568038903138946,18.50217176056537,24.0,21.0,0.03681610379817522,0.021482253447533715
250000.0,False,0.2959262880821305,0.9181551529791825,-0.3722663271459179,15.425373802691785,0.2303161087106913,0.7617758777557345,-0.25689716505575644,18.502400918388517,24.0,21.0,0.03682013400795294,0.02142714848925835
500000.0,False,0.295924517683575,0.9181496600553631,-0.3722626965245629,15.42473634274196,0.2304994913666054,0.7623824201485188,-0.25687289308601136,18.50088486578973,24.0,21.0,0.036831319364133405,0.02142469839195255
