signal_date,execution_date,interval_end,status,gross_return,turnover,cost_return,net_return_approx,weighted_price_coverage
2014-01-31,2014-02-03,2014-02-10,OK,0.02148580151167375,0.5,0.002,0.019442829908650427,1.0
2014-02-07,2014-02-10,2014-02-18,OK,0.024084281014392424,0.2141769453327244,0.0008567077813308976,0.02320694004210888,1.0
2014-02-14,2014-02-18,2014-02-24,OK,0.029050111932763627,0.9279873886983339,0.0037119495547933354,0.02523032982791462,1.0
2014-02-21,2014-02-24,2014-03-03,OK,-0.044995860180807284,0.5369560509187284,0.0021478242036749137,-0.0470470411869206,1.0
2014-02-28,2014-03-03,2014-03-10,OK,-0.018399965518914443,0.43648246968149895,0.0017459298787259958,-0.02011377034807349,1.0
2014-03-07,2014-03-10,2014-03-17,OK,-0.0379244767841596,0.40974826804504993,0.0016389930721801998,-0.039501311901624425,1.0
2014-03-14,2014-03-17,2014-03-24,OK,-0.012822670123690589,0.9775208484325834,0.003910083393730334,-0.016682615807906975,1.0000000000000002
2014-03-21,2014-03-24,2014-03-31,OK,0.04670103473105927,0.5932585760439079,0.0023730343041756313,0.0442171772694262,1.0
2014-03-28,2014-03-31,2014-04-07,OK,0.004757746143789637,0.9279423226812166,0.0037117692907248662,0.0010283171970351113,1.0
2014-04-04,2014-04-07,2014-04-14,OK,-0.004790062362670378,0.8904910366328923,0.0035619641465315694,-0.00833496447880644,1.0000000000000002
2014-04-11,2014-04-14,2014-04-21,OK,0.013875500929130289,0.17720467165015144,0.0007088186866006057,0.013156847028185092,1.0
2014-04-17,2014-04-21,2014-04-28,OK,-0.016034706599926944,0.004919216138738143,1.967686455495257e-05,-0.01605406795173192,1.0000000000000002
2014-04-25,2014-04-28,2014-05-05,OK,0.03412495647858595,0.09549479463801228,0.00038197917855204913,0.03372994227718995,1.0
2014-05-02,2014-05-05,2014-05-12,OK,0.012887755617600246,0.1310801470246727,0.0005243205880986907,0.012356677713896813,1.0
2014-05-09,2014-05-12,2014-05-19,OK,-0.005586598659393868,0.3074443585745408,0.0012297774342981632,-0.006809505820726258,1.0
2014-05-16,2014-05-19,2014-05-27,OK,0.004112035779782454,0.14336021434730303,0.0005734408573892122,0.0035362369130700344,1.0
2014-05-23,2014-05-27,2014-06-02,OK,7.447441325528215e-05,0.1226486436936548,0.0004905945747746192,-0.0004161566982624487,1.0
2014-05-30,2014-06-02,2014-06-09,OK,0.035981391817867144,0.06904187888594836,0.00027616751554379343,0.03569528741073902,1.0
2014-06-06,2014-06-09,2014-06-16,OK,-0.0007857394676166647,0.4073014344482749,0.0016292057377930995,-0.0024136650741607424,1.0
2014-06-13,2014-06-16,2014-06-23,OK,0.01514604567715556,0.26461296665225376,0.001058451866609015,0.01407156245022767,1.0
2014-06-20,2014-06-23,2014-06-30,OK,-0.015438141851348536,0.23714597055669673,0.000948583882226787,-0.01637208136104351,1.0
2014-06-27,2014-06-30,2014-07-07,OK,0.014303130222982243,0.18393246594108598,0.000735729863764344,0.013556877119167643,1.0
2014-07-03,2014-07-07,2014-07-14,OK,0.018447262110918974,0.14695211635028152,0.000587808465401126,0.017848610188685665,1.0
2014-07-11,2014-07-14,2014-07-21,OK,0.019677136748988154,0.10296393580484942,0.0004118557432193977,0.019257176863988423,1.0
2014-07-18,2014-07-21,2014-07-28,OK,-0.018043714373038887,3.207206809852092e-08,1.282882723940837e-10,-0.01804371449901232,1.0
2014-07-25,2014-07-28,2014-08-04,OK,-0.02672639804855207,0.04460206484155665,0.0001784082593662266,-0.026900038097763312,1.0
2014-08-01,2014-08-04,2014-08-11,OK,0.013642637657594214,0.1463430558233254,0.0005853722232933016,0.013049279413163584,1.0
2014-08-08,2014-08-11,2014-08-18,OK,0.021167900397288143,0.11294618033932287,0.0004517847213572915,0.020706552341948292,1.0
2014-08-15,2014-08-18,2014-08-25,OK,0.03769241210628265,0.08510695320028466,0.00034042781280113865,0.03733915274806887,1.0
2014-08-22,2014-08-25,2014-09-02,OK,0.041915797570442274,0.04642609346740824,0.00018570437386963295,0.0417223092496295,1.0
2014-08-29,2014-09-02,2014-09-08,OK,-0.022209400467199325,0.06575240067253188,0.00026300960269012754,-0.022466568784296537,1.0
2014-09-05,2014-09-08,2014-09-15,OK,-0.041864435584684855,0.066591054203286,0.000266364216813144,-0.04211964861390116,1.0
2014-09-12,2014-09-15,2014-09-22,OK,-0.005812222774887838,0.11842391265733822,0.00047369565062935285,-0.006283165200868246,1.0
2014-09-19,2014-09-22,2014-09-29,OK,-0.026948048757973193,0.0966690154887493,0.0003866760619549972,-0.02732430465455704,1.0
2014-09-26,2014-09-29,2014-10-06,OK,0.015546298061242782,0.0828538550550996,0.0003314154202203984,0.015209730358117568,1.0
2014-10-03,2014-10-06,2014-10-13,OK,-0.023152812124337174,0.22897693903770902,0.000915907756150836,-0.0240475140402866,1.0
2014-10-10,2014-10-13,2014-10-20,OK,-0.06920597339244182,0.12597039342911237,0.0005038815737164495,-0.06967498335137479,1.0
2014-10-17,2014-10-20,2014-10-27,OK,-0.0067574569123785184,0.2511064596605972,0.0010044258386423888,-0.007755095386694499,1.0
2014-10-24,2014-10-27,2014-11-03,OK,0.030331493010152984,0.20596577218123185,0.0008238630887249275,0.029482640923911063,0.9999999999999998
2014-10-31,2014-11-03,2014-11-10,OK,-0.002272508046436169,0.15746359236614782,0.0006298543694645913,-0.002900931066778134,1.0
2014-11-07,2014-11-10,2014-11-17,OK,-0.005683449509383782,0.18106653004210374,0.0007242661201684149,-0.006403599299626861,1.0
2014-11-14,2014-11-17,2014-11-24,OK,0.010399084519455735,0.051540584047335525,0.0002061623361893421,0.010190778283707624,1.0
2014-11-21,2014-11-24,2014-12-01,OK,0.0022132032028399284,0.1607952010964765,0.000643180804385906,0.0015685989086378083,1.0
2014-11-28,2014-12-01,2014-12-08,OK,0.005358052119918207,0.0050398692241338285,2.0159476896535315e-05,0.005337784627493791,1.0
2014-12-05,2014-12-08,2014-12-15,OK,-0.02538906233518179,0.18923826758750636,0.0007569530703500255,-0.026126797076843955,1.0
2014-12-12,2014-12-15,2014-12-22,OK,0.03320042190892508,0.10315321097704262,0.0004126128439081705,0.032774110144514035,1.0
2014-12-19,2014-12-22,2014-12-29,OK,0.005303796014635758,0.08592630131062291,0.00034370520524249165,0.004958267867095634,1.0
2014-12-26,2014-12-29,2015-01-05,OK,-0.0378378531469153,0.08485646152716259,0.00033942584610865034,-0.03816443584770468,1.0
2015-01-02,2015-01-05,2015-01-12,OK,0.014820496545685242,0.0005686220256940627,2.274488102776251e-06,0.01481818834853943,1.0
2015-01-09,2015-01-12,2015-01-20,OK,0.0140066067035146,0.09635651399918985,0.0003854260559967594,0.013615782136338073,1.0
2015-01-16,2015-01-20,2015-01-26,OK,0.07158451868184579,0.009707401363329328,3.8829605453317314e-05,0.07154290947777553,1.0
2015-01-23,2015-01-26,2015-02-02,OK,-0.03314535092254204,0.08010789642500452,0.0003204315857000181,-0.03345516169088736,1.0
